---,AnnualEventId,BeginAt,EndAt,CurrentBeginAt,CurrentEndAt
1,101,2019-01-01 08:00:00,2019-01-08 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00
2,201,2019-01-27 08:00:00,2019-02-05 06:00:00,2019-02-03 08:00:00,2019-02-04 06:00:00
3,202,2019-02-07 08:00:00,2019-02-15 06:00:00,2019-02-14 08:00:00,2019-02-15 06:00:00
4,301,2019-02-25 08:00:00,2019-03-04 06:00:00,2019-03-03 08:00:00,2019-03-04 06:00:00
5,302,2019-03-07 08:00:00,2019-03-15 06:00:00,2019-03-14 08:00:00,2019-03-15 06:00:00
6,501,2019-05-01 08:00:00,2019-05-06 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00
7,701,2019-07-10 08:00:00,2019-07-16 06:00:00,2019-07-15 08:00:00,2019-07-17 06:00:00
8,1001,2019-10-27 08:00:00,2019-11-01 06:00:00,2019-10-31 08:00:00,2019-11-01 06:00:00
9,1201,2019-12-20 08:00:00,2019-12-26 06:00:00,2019-12-24 08:00:00,2019-12-25 06:00:00
10,1202,2019-12-26 08:00:00,2020-01-01 06:00:00,2019-12-31 08:00:00,2020-01-01 06:00:00
