---,ArmId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,WeaponChangeTime,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,ReloadAdjustBoth,ReloadAdjustRight,ReloadAdjustLeft,ReloadAdjustBullet,ReloadAdjustBeam,ReloadAdjustGrap,ReloadAdjustHeal,ReloadAdjustBuff,ReloadAdjustDebuff,HitStopAdjust,AttackAdjustBeam,AttackAdjustBullet,AttackAdjustGrap,MagazineSize,AbnormalAdjust,InstallationAdjust,ReloadAdjust_1st,ReloadAdjust_1stL,ReloadAdjust_1stBoth,AttackAdjust_1st,ReloadAdjust_2nd,ReloadAdjust_2ndL,ReloadAdjust_2ndBoth,AttackAdjust_2nd,DownValueAdjust,CriticalDamageAdjust,AttackAdjust_AR,AttackAdjust_Mob,AttackAdjust_Tower,AttackAdjust_Core,BulletSpeed,TAGBlowOff_TimeAdjust,TAGComboValueWait_StopTimer,CrossBurstDamage_50,CrossBurstDamage_25,Partner_CrossBurst,Partner_ReloadAdjust_1st,Partner_ReloadAdjust_2nd,Partner_ReloadAdjust_CrossBurst,FullDrive_AttackAdjust,Team_ReloadAdjust_Gauge25,Team_CrossBurstDamage_2,Team_CrossBurstDamage_3,Team_CrossBurstDamage_4,Team_CrossBurstDamage_5
1,1,ソリディア・A,RobotMaker001,150,0,0,0,0,0,0,0,0,0.9,2000,1800,0,1.1,1,1,1,1,1,1,1,1,1,1.05,1.05,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2,2,カーディナル・A,RobotMaker002,100,0,0,0,0,0,0,0.02,0,0.9,1800,1600,0,1,1,1,1,1.06,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,3,スクラッパー・A,RobotMaker001,160,0,0,0,0,0,0,-0.01,0,0.9,2100,1900,0,1,1,1,1,1.04,1,1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
4,4,サイトヘッド・A,RobotMaker003,120,0,0,0,0,0,0,-0.01,0,0.9,2100,1900,0,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
5,5,CU・レイター・A,RobotMaker003,120,0,0,0,0,0,0,0.02,0,0.9,1800,1600,0,1,1,1,1,1,1,1.2,1.2,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6,6,ゴールテン・D・A,RobotMaker001,170,0,0,0,0,0,0,-0.02,0,0.9,2200,2000,0,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
7,7,アンゼロイ・A,RobotMaker002,100,0,100,0,0,0,0,0.01,0,0.9,1900,1700,0,1,1,1,1,1,1,1,1,1,1,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1.08,1.08,1.08,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
8,8,ディスドス・A,RobotMaker002,130,0,100,0,0,0,0,-0.02,0,0.9,2200,2000,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
9,9,サブライガ・A,RobotMaker002,120,0,100,0,0,0,0,0,0,0.9,2000,1800,0,1,1.08,1.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
10,10,ファルマコン・A,RobotMaker001,110,0,0,0,0,0,0,0.03,0,0.8,1700,1500,20,1,1,1.1,1,1,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
