---,Attribute,DamageValue,CrossBreakDamageRate,TAGComboStart,ArmorDamageValue,ShieldDamageValue,ShieldAreaDamageValue,MobDamageValue,MobBigDamageValue,MidStrongholdDamageValue,GuardStrongholdDamageValue,StrongholdDamageValue,DownValue,CrossBreakDownValueRate,HeadShotRate,CriticalHitRate,ScoreRate,ScoreRateNonPlayer,MyDamageRate,FriendDamageRate,VsBossDamageRate,VsBossDownValueRate,FlinchValue,ReactionType,DamageType,AbnormalStateType,AbnormalStateValue,AbnormalStateTime,BlowOffPowerValue,BlowOffType,BlowOffPitchDeg,BlowOffYawDeg,FlinchTime,KnockBackPowerValue,KnockBackPowerValueShield,PeculiarDamageType,PeculiarDamageValue,Mob3Damage,AttackHitStopTime,DamageHitStopTime,ShakeType,StrengthShake,ShakeRate
Empty,None,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,None,1,1
ATK_MachineGun_Bullet01,Bullet,5.5,2,8,9,8,12,30,19,0,10,40,0,40,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_HandGun_Bullet01,Bullet,8,3.25,16,18,14,14,20,10,0,5,25,0,100,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.2,2000,0,None,0,False,0,0.03,ImpactStatic,0.1,0.7
ATK_PulseGun_Bullet01,Beam,15,1.5,15,12,12,12,20,4,0,3,6,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_PulseGun_Bullet02,Beam,15,1.5,15,12,12,12,20,4,0,3,6,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_PulseGun_Bullet03,Beam,15,1.5,15,12,12,12,20,4,0,3,6,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_PulseGun_Bullet04,Beam,15,1.5,15,12,12,12,20,4,0,3,6,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_PulseGun_Bullet05,Beam,15,1.5,15,12,12,12,20,4,0,3,6,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BeamRifle_Bullet01,Beam,56,2.5,112,80,120,120,150,150,0,80,180,0,500,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,ImpactStatic,1,1.2
ATK_RocketLauncher_Bullet01,Rocket,60,1.5,0,50,50,50,70,30,0,20,40,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.03,ImpactStatic,1,1
ATK_3WayBeam_Bullet01,Beam,60,2.2,150,100,180,180,100,190,0,120,340,0,500,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.5,5000,0,None,0,True,0,0.05,ImpactStatic,1,1.2
ATK_BoundGun_Bullet01,Bullet,25,1.5,15,20,20,20,26,6,0,4,8,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BoundGun_Bullet02,Bullet,25,1.5,15,20,20,20,26,6,0,4,8,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BoundGun_Bullet03,Bullet,25,1.5,15,20,20,20,26,6,0,4,8,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BoundGun_Bullet04,Bullet,25,1.5,15,20,20,20,26,6,0,4,8,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BoundGun_Bullet05,Bullet,25,1.5,15,20,20,20,26,6,0,4,8,0,60,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_Pressure_Bullet01,Bomb,200,1.5,145,500,200,200,200,280,0,140,400,0,580,0,1,1,1,1,1,1,1,1000,BlowOff,InvincibleBlowOff,None,0,0,10000,Center,40,0,0,0,0,None,0,True,0,0,ImpactStatic,1,1
