---,RankId,BattleResultId,Advantage,GiveRankPoint
1,25,1,1,0
2,25,1,0,0
3,25,1,-1,300
4,25,2,1,0
5,25,2,0,0
6,25,2,-1,300
7,26,1,1,0
8,26,1,0,0
9,26,1,-1,300
10,26,2,1,0
11,26,2,0,0
12,26,2,-1,300
13,27,1,1,0
14,27,1,0,0
15,27,1,-1,200
16,27,2,1,0
17,27,2,0,0
18,27,2,-1,200
19,28,1,1,0
20,28,1,0,0
21,28,1,-1,200
22,28,2,1,0
23,28,2,0,0
24,28,2,-1,200
25,29,1,1,0
26,29,1,0,0
27,29,1,-1,200
28,29,2,1,0
29,29,2,0,0
30,29,2,-1,200
31,30,1,1,0
32,30,1,0,0
33,30,1,-1,200
34,30,2,1,0
35,30,2,0,0
36,30,2,-1,200
37,31,1,1,0
38,31,1,0,0
39,31,1,-1,200
40,31,2,1,0
41,31,2,0,0
42,31,2,-1,200
43,32,1,1,0
44,32,1,0,0
45,32,1,-1,200
46,32,2,1,0
47,32,2,0,0
48,32,2,-1,200
49,33,1,1,0
50,33,1,0,0
51,33,1,-1,200
52,33,2,1,0
53,33,2,0,0
54,33,2,-1,200
55,34,1,1,0
56,34,1,0,0
57,34,1,-1,200
58,34,2,1,0
59,34,2,0,0
60,34,2,-1,200
