---,PrefId,RewardId
1,1,6020128
2,2,6020129
3,3,6020130
4,4,6020131
5,5,6020132
6,6,6020133
7,7,6020134
8,8,6020135
9,9,6020136
10,10,6020137
11,11,6020138
12,12,6020139
13,13,6020140
14,14,6020141
15,15,6020146
16,16,6020147
17,17,6020142
18,18,6020143
19,19,6020144
20,20,6020145
21,21,6020149
22,22,6020150
23,23,6020148
24,24,6020151
25,25,6020152
26,26,6020153
27,27,6020154
28,28,6020155
29,29,6020156
30,30,6020157
31,31,6020160
32,32,6020161
33,33,6020158
34,34,6020159
35,35,6020162
36,36,6020163
37,37,6020164
38,38,6020165
39,39,6020166
40,40,6020167
41,41,6020168
42,42,6020169
43,43,6020170
44,44,6020171
45,45,6020172
46,46,6020173
47,47,6020174
