---,BattleEventId,BattleEventTypeId,BattleEventTypeItemId,EventCode,BattleResultId,BattleCount,RewardId,ExceptionPlayerIds
1,3,1,13,185,1,0,6020140,0
2,3,1,17,185,1,0,6020142,0
3,3,1,27,185,1,0,6020154,0
4,3,1,21,185,1,0,6020149,0
5,3,1,1,391,1,0,6020128,0
6,3,1,11,391,1,0,6020138,0
7,3,1,28,391,1,0,6020155,0
8,3,1,41,391,1,0,6020168,0
9,3,1,12,826,1,0,6020139,0
10,3,1,9,826,1,0,6020136,0
11,3,1,24,826,1,0,6020151,0
12,3,1,44,826,1,0,6020171,0
13,4,1,11,932,1,0,6020138,"1000491,1073913"
14,4,1,15,932,1,0,6020146,"1000491,1073913"
15,4,1,28,932,1,0,6020155,"1000491,1073913"
16,4,1,40,932,1,0,6020167,"1000491,1073913"
17,4,1,11,206,1,0,6020138,0
18,4,1,13,206,1,0,6020140,0
19,4,1,30,206,1,0,6020157,0
20,4,1,31,206,1,0,6020160,0
21,4,1,13,518,1,0,6020140,0
22,4,1,3,518,1,0,6020130,0
23,4,1,26,518,1,0,6020153,0
24,4,1,29,518,1,0,6020156,0
