---,RankId,BattleResultId,OrderId,LowestRankPoint
1,4,1,1,0
2,4,1,2,0
3,4,1,3,0
4,4,1,4,0
5,5,1,1,0
6,5,1,2,0
7,5,1,3,0
8,5,1,4,0
9,6,1,1,0
10,6,1,2,0
11,6,1,3,0
12,6,1,4,0
13,7,1,1,0
14,7,1,2,0
15,7,1,3,0
16,7,1,4,0
17,8,1,1,0
18,8,1,2,0
19,8,1,3,0
20,8,1,4,0
21,9,1,1,0
22,9,1,2,0
23,9,1,3,0
24,9,1,4,0
25,10,1,1,0
26,10,1,2,0
27,10,1,3,0
28,11,1,1,0
29,11,1,2,0
30,11,1,3,0
31,12,1,1,0
32,12,1,2,0
33,12,1,3,0
34,13,1,1,0
35,13,1,2,0
36,13,1,3,0
37,14,1,1,0
38,14,1,2,0
39,14,1,3,0
40,15,1,1,0
41,15,1,2,0
42,15,1,3,0
43,16,1,1,0
44,16,1,2,0
45,17,1,1,0
46,17,1,2,0
47,18,1,1,0
48,18,1,2,0
49,19,1,1,0
50,19,1,2,0
51,20,1,1,0
52,20,1,2,0
53,21,1,1,0
54,21,1,2,0
55,22,1,1,0
56,23,1,1,0
57,24,1,1,0
58,25,1,1,0
59,26,1,1,0
60,27,1,1,0
61,28,1,1,0
62,29,1,1,0
63,30,1,1,0
64,31,1,1,0
65,32,1,1,0
66,33,1,1,0
67,34,1,1,0
