---,TeamPlayerNum,RankId,MagValue,FixedValue
1,0,4,1,0
2,0,5,1,0
3,0,6,1,0
4,0,7,1,0
5,0,8,1,0
6,0,9,1,0
7,0,10,1,0
8,0,11,1,0
9,0,12,1,0
10,0,13,1,0
11,0,14,1,0
12,0,15,1,0
13,0,16,1,0
14,0,17,1,0
15,0,18,1,0
16,0,19,1,0
17,0,20,1,0
18,0,21,1,0
19,0,22,1,0
20,0,23,1,0
21,0,24,1,0
22,0,25,1,0
23,0,26,1,0
24,0,27,1,0
25,0,28,1,0
26,0,29,1,0
27,0,30,1,0
28,0,31,1,0
29,0,32,1,0
30,0,33,1,0
31,0,34,1,0
32,1,4,1,0
33,1,5,1,0
34,1,6,1,0
35,1,7,1,0
36,1,8,1,0
37,1,9,1,0
38,1,10,1,0
39,1,11,1,0
40,1,12,1,0
41,1,13,1,0
42,1,14,1,0
43,1,15,1,0
44,1,16,1,0
45,1,17,1,0
46,1,18,1,0
47,1,19,1,0
48,1,20,1,0
49,1,21,1,0
50,1,22,1,0
51,1,23,1,0
52,1,24,1,0
53,1,25,1,0
54,1,26,1,0
55,1,27,1,0
56,1,28,1,0
57,1,29,1,0
58,1,30,1,0
59,1,31,1,0
60,1,32,1,0
61,1,33,1,0
62,1,34,1,0
63,2,4,1,0
64,2,5,1,0
65,2,6,1,0
66,2,7,1,0
67,2,8,1,0
68,2,9,1,0
69,2,10,1,0
70,2,11,1,0
71,2,12,1,0
72,2,13,1,0
73,2,14,1,0
74,2,15,1,0
75,2,16,1,0
76,2,17,1,0
77,2,18,1,0
78,2,19,1,0
79,2,20,1,0
80,2,21,1,0
81,2,22,1,0
82,2,23,1,0
83,2,24,1,0
84,2,25,1,0
85,2,26,1,0
86,2,27,1,0
87,2,28,1,0
88,2,29,1,0
89,2,30,1,0
90,2,31,1,0
91,2,32,1,0
92,2,33,1,0
93,2,34,1,0
94,3,4,1,0
95,3,5,1,0
96,3,6,1,0
97,3,7,1,0
98,3,8,1,0
99,3,9,1,0
100,3,10,1,0
101,3,11,1,0
102,3,12,1,0
103,3,13,1,0
104,3,14,1,0
105,3,15,1,0
106,3,16,1,0
107,3,17,1,0
108,3,18,1,0
109,3,19,1,0
110,3,20,1,0
111,3,21,1,0
112,3,22,1,0
113,3,23,1,0
114,3,24,1,0
115,3,25,1,0
116,3,26,1,0
117,3,27,1,0
118,3,28,1,0
119,3,29,1,0
120,3,30,1,0
121,3,31,1,0
122,3,32,1,0
123,3,33,1,0
124,3,34,1,0
125,4,4,1,0
126,4,5,1,0
127,4,6,1,0
128,4,7,1,0
129,4,8,1,0
130,4,9,1,0
131,4,10,1,0
132,4,11,1,0
133,4,12,1,0
134,4,13,1,0
135,4,14,1,0
136,4,15,1,0
137,4,16,1,0
138,4,17,1,0
139,4,18,1,0
140,4,19,1,0
141,4,20,1,0
142,4,21,1,0
143,4,22,1,0
144,4,23,1,0
145,4,24,1,0
146,4,25,1,0
147,4,26,1,0
148,4,27,1,0
149,4,28,1,0
150,4,29,1,0
151,4,30,1,0
152,4,31,1,0
153,4,32,1,0
154,4,33,1,0
155,4,34,1,0
156,5,4,1,0
157,5,5,1,0
158,5,6,1,0
159,5,7,1,0
160,5,8,1,0
161,5,9,1,0
162,5,10,1,0
163,5,11,1,0
164,5,12,1,0
165,5,13,1,0
166,5,14,1,0
167,5,15,1,0
168,5,16,1,0
169,5,17,1,0
170,5,18,1,0
171,5,19,1,0
172,5,20,1,0
173,5,21,1,0
174,5,22,1,0
175,5,23,1,0
176,5,24,1,0
177,5,25,1,0
178,5,26,1,0
179,5,27,1,0
180,5,28,1,0
181,5,29,1,0
182,5,30,1,0
183,5,31,1,0
184,5,32,1,0
185,5,33,1,0
186,5,34,1,0
187,6,4,1,0
188,6,5,1,0
189,6,6,1,0
190,6,7,1,0
191,6,8,1,0
192,6,9,1,0
193,6,10,1,0
194,6,11,1,0
195,6,12,1,0
196,6,13,1,0
197,6,14,1,0
198,6,15,1,0
199,6,16,1,0
200,6,17,1,0
201,6,18,1,0
202,6,19,1,0
203,6,20,1,0
204,6,21,1,0
205,6,22,1,0
206,6,23,1,0
207,6,24,1,0
208,6,25,1,0
209,6,26,1,0
210,6,27,1,0
211,6,28,1,0
212,6,29,1,0
213,6,30,1,0
214,6,31,1,0
215,6,32,1,0
216,6,33,1,0
217,6,34,1,0
218,7,4,1,0
219,7,5,1,0
220,7,6,1,0
221,7,7,1,0
222,7,8,1,0
223,7,9,1,0
224,7,10,1,0
225,7,11,1,0
226,7,12,1,0
227,7,13,1,0
228,7,14,1,0
229,7,15,1,0
230,7,16,1,0
231,7,17,1,0
232,7,18,1,0
233,7,19,1,0
234,7,20,1,0
235,7,21,1,0
236,7,22,1,0
237,7,23,1,0
238,7,24,1,0
239,7,25,1,0
240,7,26,1,0
241,7,27,1,0
242,7,28,1,0
243,7,29,1,0
244,7,30,1,0
245,7,31,1,0
246,7,32,1,0
247,7,33,1,0
248,7,34,1,0
249,8,4,1,0
250,8,5,1,0
251,8,6,1,0
252,8,7,1,0
253,8,8,1,0
254,8,9,1,0
255,8,10,1,0
256,8,11,1,0
257,8,12,1,0
258,8,13,1,0
259,8,14,1,0
260,8,15,1,0
261,8,16,1,0
262,8,17,1,0
263,8,18,1,0
264,8,19,1,0
265,8,20,1,0
266,8,21,1,0
267,8,22,1,0
268,8,23,1,0
269,8,24,1,0
270,8,25,1,0
271,8,26,1,0
272,8,27,1,0
273,8,28,1,0
274,8,29,1,0
275,8,30,1,0
276,8,31,1,0
277,8,32,1,0
278,8,33,1,0
279,8,34,1,0
