---,BattleResultId,IsBurst,OrderId,BattleResultRankPoint
1,1,False,1,800
2,1,False,2,800
3,1,False,3,800
4,1,False,4,800
5,1,False,5,800
6,1,False,6,800
7,1,False,7,800
8,1,False,8,800
9,2,False,1,0
10,2,False,2,0
11,2,False,3,0
12,2,False,4,0
13,2,False,5,0
14,2,False,6,0
15,2,False,7,0
16,2,False,8,0
17,1,True,1,800
18,1,True,2,800
19,1,True,3,800
20,1,True,4,800
21,1,True,5,800
22,1,True,6,800
23,1,True,7,800
24,1,True,8,800
25,2,True,1,0
26,2,True,2,0
27,2,True,3,0
28,2,True,4,0
29,2,True,5,0
30,2,True,6,0
31,2,True,7,0
32,2,True,8,0
