---,BodyId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,BarrierRecvValPerSec,BarrierRecvWaitSec,CollisionRadius,CollisionHeight,CollisionOffsetH,CollisionOffsetV,GutsVal1_Vital,GutsVal1,GutsVal2_Vital,GutsVal2,GutsVal3_Vital,GutsVal3,GutsVal4_Vital,GutsVal4,GutsVal5_Vital,GutsVal5,AbnormalityResistance,CameraOffsetRateX,CameraOffsetRateZ,NoFlinchNotAR,InPortGuts,AntiBulletDamage,AntiBeamDamage,AntiGrapDamage,AntiTAGComboDamage
1,1,ソリディア・B,RobotMaker001,300,0,0,0,0,0,0,0,0,2000,1800,200,40,17,64,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1,1,0,0,1,1,1,1
2,2,カーディナル・B,RobotMaker002,210,0,0,0,0,0,0,0.02,0,1800,1600,180,60,15,60,200,0,0,0.6,5,0.5,5,0.4,10,0.3,15,0.2,20,1.5,1,1,0,0,1,1,1,1
3,3,スクラッパー・B,RobotMaker001,350,0,0,0,0,0,0,-0.01,0,2100,1900,150,20,15,64,190,0,0,0.7,5,0.5,10,0.4,12,0.3,18,0.2,28,1,1,1,0,0,1,1,1,1
4,4,サイトヘッド・B,RobotMaker003,250,0,0,0,0,0,0,-0.01,0,2100,1900,250,40,16,60,190,0,0,0.5,5,0.4,10,0.3,12,0.2,17,0.1,27,1,1,1,0,0,1,1,1,1
5,5,CU・レイター・B,RobotMaker003,230,0,0,0,0,0,0,0.02,0,1800,1600,130,25,9,64,190,0,0,0.5,5,0.4,10,0.3,10,0.2,15,0.1,25,1.3,1,1,0,0,1,1,1,1
6,6,ゴールテン・D・B,RobotMaker001,230,0,0,0,0,0,0,-0.02,0,2200,2000,300,30,18,80,180,30,10,0.5,5,0.4,10,0.3,10,0.2,20,0.1,20,1,1.1,1.1,0,0,1,1,1,1
7,7,アンゼロイ・B,RobotMaker002,180,0,0,0,0,0,0,0.01,0,1900,1700,200,70,17,60,200,0,0,0.7,5,0.55,7,0.4,10,0.3,15,0.2,20,1,1,1,1,0,1,0.85,1,1
8,8,ディスドス・B,RobotMaker002,220,0,0,0,0,0,0,-0.02,-0.5,2200,2000,170,12,6,80,160,30,20,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1.1,1.1,0,0,1,1,1,1
9,9,サブライガ・B,RobotMaker002,260,0,0,0,0,0,0,0,-0.5,2000,1800,180,60,17,60,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1,1,0,0,1,1,1,1
10,10,ファルマコン・B,RobotMaker001,170,0,0,0,0,0,0,0.03,0,1700,1500,160,6,2,64,190,0,0,0.5,5,0.4,10,0.3,10,0.2,15,0.1,25,2,1,1,0,0,1,1,1,1
