---,DifficultyId,ModeIndex,StartDate,EndDate
1,10,1,2019-10-30 08:00:00,2019-11-06 06:00:00
2,10,2,2019-11-06 08:00:00,2019-11-13 06:00:00
3,10,3,2019-11-13 08:00:00,2019-11-20 06:00:00
4,10,4,2019-11-20 08:00:00,2019-11-27 06:00:00
5,10,5,2019-11-27 08:00:00,2019-12-04 06:00:00
6,10,6,2019-12-04 08:00:00,2019-12-11 06:00:00
7,10,7,2019-12-11 08:00:00,2019-12-18 06:00:00
8,10,1,2019-12-18 08:00:00,2019-12-25 06:00:00
9,10,2,2019-12-25 08:00:00,2020-01-01 06:00:00
10,10,3,2020-01-01 08:00:00,2020-01-08 06:00:00
11,10,4,2020-01-08 08:00:00,2020-01-15 06:00:00
12,10,5,2020-01-15 08:00:00,2020-01-22 06:00:00
13,10,6,2020-01-22 08:00:00,2020-01-29 06:00:00
14,10,7,2020-01-29 08:00:00,2020-02-05 06:00:00
15,10,1,2020-02-05 08:00:00,2020-02-12 06:00:00
16,10,2,2020-02-12 08:00:00,2020-02-19 06:00:00
17,10,3,2020-02-19 08:00:00,2020-02-26 06:00:00
18,10,4,2020-02-26 08:00:00,2020-03-04 06:00:00
19,10,5,2020-03-04 08:00:00,2020-03-11 06:00:00
20,10,6,2020-03-11 08:00:00,2020-03-18 06:00:00
21,10,7,2020-03-18 08:00:00,2020-03-25 06:00:00
22,10,1,2020-03-25 08:00:00,2020-04-01 06:00:00
23,10,2,2020-04-01 08:00:00,2020-04-08 06:00:00
24,10,3,2020-04-08 08:00:00,2020-04-15 06:00:00
25,10,4,2020-04-15 08:00:00,2020-04-22 06:00:00
26,10,5,2020-04-22 08:00:00,2020-04-29 06:00:00
27,10,6,2020-04-29 08:00:00,2020-05-06 06:00:00
28,10,7,2020-05-06 08:00:00,2020-05-13 06:00:00
29,10,1,2020-05-13 08:00:00,2020-05-20 06:00:00
30,10,2,2020-05-20 08:00:00,2020-05-27 06:00:00
31,10,3,2020-05-27 08:00:00,2020-06-03 06:00:00
32,10,4,2020-06-03 08:00:00,2020-06-10 06:00:00
33,10,5,2020-06-10 08:00:00,2020-06-17 06:00:00
34,10,6,2020-06-17 08:00:00,2020-06-24 06:00:00
35,10,7,2020-06-24 08:00:00,2020-07-01 06:00:00
36,10,1,2020-07-01 08:00:00,2020-07-08 06:00:00
37,10,2,2020-07-08 08:00:00,2020-07-15 06:00:00
38,10,3,2020-07-15 08:00:00,2020-07-22 06:00:00
39,10,4,2020-07-22 08:00:00,2020-07-29 06:00:00
40,10,5,2020-07-29 08:00:00,2020-08-05 06:00:00
41,10,6,2020-08-05 08:00:00,2020-08-12 06:00:00
42,10,7,2020-08-12 08:00:00,2020-08-19 06:00:00
43,10,1,2020-08-19 08:00:00,2020-08-26 06:00:00
44,10,2,2020-08-26 08:00:00,2020-09-02 06:00:00
45,10,3,2020-09-02 08:00:00,2020-09-09 06:00:00
46,10,4,2020-09-09 08:00:00,2020-09-16 06:00:00
47,10,5,2020-09-16 08:00:00,2020-09-23 06:00:00
48,10,6,2020-09-23 08:00:00,2020-09-30 06:00:00
49,10,7,2020-09-30 08:00:00,2020-10-07 06:00:00
50,10,1,2020-10-07 08:00:00,2020-10-14 06:00:00
51,10,2,2020-10-14 08:00:00,2020-10-21 06:00:00
52,10,3,2020-10-21 08:00:00,2020-10-28 06:00:00
53,10,4,2020-10-28 08:00:00,2020-11-04 06:00:00
54,10,5,2020-11-04 08:00:00,2020-11-11 06:00:00
55,10,6,2020-11-11 08:00:00,2020-11-18 06:00:00
56,10,7,2020-11-18 08:00:00,2020-11-25 06:00:00
57,10,1,2020-11-25 08:00:00,2020-12-02 06:00:00
58,10,2,2020-12-02 08:00:00,2020-12-09 06:00:00
59,10,3,2020-12-09 08:00:00,2020-12-16 06:00:00
60,10,4,2020-12-16 08:00:00,2020-12-23 06:00:00
61,10,5,2020-12-23 08:00:00,2020-12-30 06:00:00
62,10,6,2020-12-30 08:00:00,2021-01-06 06:00:00
63,10,7,2021-01-06 08:00:00,2021-01-13 06:00:00
64,10,1,2021-01-13 08:00:00,2021-01-20 06:00:00
65,10,2,2021-01-20 08:00:00,2021-01-27 06:00:00
66,10,3,2021-01-27 08:00:00,2021-02-03 06:00:00
67,10,4,2021-02-03 08:00:00,2021-02-10 06:00:00
68,10,5,2021-02-10 08:00:00,2021-02-17 06:00:00
69,10,6,2021-02-17 08:00:00,2021-02-24 06:00:00
70,10,7,2021-02-24 08:00:00,2021-03-03 06:00:00
71,10,1,2021-03-03 08:00:00,2021-03-10 06:00:00
72,10,2,2021-03-10 08:00:00,2021-03-17 06:00:00
73,10,3,2021-03-17 08:00:00,2021-03-24 06:00:00
74,10,4,2021-03-24 08:00:00,2021-03-31 06:00:00
75,10,5,2021-03-31 08:00:00,2021-04-07 06:00:00
76,10,6,2021-04-07 08:00:00,2021-04-14 06:00:00
77,10,7,2021-04-14 08:00:00,2021-04-21 06:00:00
78,10,1,2021-04-21 08:00:00,2021-04-28 06:00:00
79,10,2,2021-04-28 08:00:00,2021-05-05 06:00:00
80,10,3,2021-05-05 08:00:00,2021-05-12 06:00:00
81,10,4,2021-05-12 08:00:00,2021-05-19 06:00:00
82,10,5,2021-05-19 08:00:00,2021-05-26 06:00:00
83,10,6,2021-05-26 08:00:00,2021-06-02 06:00:00
84,10,7,2021-06-02 08:00:00,2021-06-09 06:00:00
85,10,1,2021-06-09 08:00:00,2021-06-16 06:00:00
86,10,2,2021-06-16 08:00:00,2021-06-23 06:00:00
87,10,3,2021-06-23 08:00:00,2021-06-30 06:00:00
88,10,4,2021-06-30 08:00:00,2021-07-07 06:00:00
89,10,5,2021-07-07 08:00:00,2021-07-14 06:00:00
90,10,6,2021-07-14 08:00:00,2021-07-21 06:00:00
91,10,7,2021-07-21 08:00:00,2021-07-28 06:00:00
92,10,1,2021-07-28 08:00:00,2021-08-04 06:00:00
93,10,2,2021-08-04 08:00:00,2021-08-11 06:00:00
94,10,3,2021-08-11 08:00:00,2021-08-18 06:00:00
95,10,4,2021-08-18 08:00:00,2021-08-25 06:00:00
96,10,5,2021-08-25 08:00:00,2021-09-01 06:00:00
97,10,6,2021-09-01 08:00:00,2021-09-08 06:00:00
98,10,7,2021-09-08 08:00:00,2021-09-15 06:00:00
99,10,1,2021-09-15 08:00:00,2021-09-22 06:00:00
100,10,2,2021-09-22 08:00:00,2021-09-29 06:00:00
101,10,3,2021-09-29 08:00:00,2021-10-06 06:00:00
102,10,4,2021-10-06 08:00:00,2021-10-13 06:00:00
103,10,5,2021-10-13 08:00:00,2021-10-20 06:00:00
104,10,6,2021-10-20 08:00:00,2021-10-27 06:00:00
105,10,7,2021-10-27 08:00:00,2021-11-03 06:00:00
106,10,1,2021-11-03 08:00:00,2021-11-10 06:00:00
107,10,2,2021-11-10 08:00:00,2021-11-17 06:00:00
108,10,3,2021-11-17 08:00:00,2021-11-24 06:00:00
109,10,4,2021-11-24 08:00:00,2021-12-01 06:00:00
110,10,5,2021-12-01 08:00:00,2021-12-08 06:00:00
111,10,6,2021-12-08 08:00:00,2021-12-15 06:00:00
112,10,7,2021-12-15 08:00:00,2021-12-22 06:00:00
113,10,1,2021-12-22 08:00:00,2021-12-29 06:00:00
114,10,2,2021-12-29 08:00:00,2022-01-05 06:00:00
115,10,3,2022-01-05 08:00:00,2022-01-12 06:00:00
116,10,4,2022-01-12 08:00:00,2022-01-19 06:00:00
117,10,5,2022-01-19 08:00:00,2022-01-26 06:00:00
118,10,6,2022-01-26 08:00:00,2022-02-02 06:00:00
119,10,7,2022-02-02 08:00:00,2030-12-31 06:00:00
