---,BossModeIdx,ScoreRankId,Score
1,0,10,12000
2,0,11,10000
3,0,12,8000
4,0,13,6000
5,0,14,0
6,1,10,12000
7,1,11,10000
8,1,12,8000
9,1,13,6000
10,1,14,0
11,2,10,12000
12,2,11,10000
13,2,12,8000
14,2,13,6000
15,2,14,0
16,3,10,12000
17,3,11,10000
18,3,12,8000
19,3,13,6000
20,3,14,0
21,4,10,12000
22,4,11,10000
23,4,12,8000
24,4,13,6000
25,4,14,0
26,5,10,12000
27,5,11,10000
28,5,12,8000
29,5,13,6000
30,5,14,0
31,6,10,12000
32,6,11,10000
33,6,12,8000
34,6,13,6000
35,6,14,0
36,7,10,12000
37,7,11,10000
38,7,12,8000
39,7,13,6000
40,7,14,0
