---,BuddyId,Name,FirstName,Sex,Age,BirthMonth,BirthDay,AirReal,Favorite,Profile,DefaultUserName,ReleaseLevel,PersonalLEDColorVec,PersonalAirRealColorVec,IsDefault
0,0,未選択,未選択,Male,0,0,0,None,None,None,ＮｏＮａｍｅ,999999,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)",False
1,1,ヒカリ・ソラ,ヒカリ,Female,16,4,26,ソリディア,空を飛ぶこと、イチゴ,明るく、ポジティブ。\n楽しみながら空を駆け抜け、\n周囲の人間を元気にする存在。,ヒカリのアズワン,90000,"(X=159,Y=146,Z=207)","(X=28,Y=16,Z=250)",True
2,2,レイカ・フロストエッジ,レイカ,Female,16,2,22,シーユー・レイター,読書、小動物,礼儀正しく真面目。\n常に任務を第一に考え、\n的確な分析で味方を勝利へ導く。,レイカのアズワン,90000,"(X=34,Y=130,Z=198)","(X=6,Y=20,Z=255)",True
3,3,シャルロッテ・ダヴェーヌ,シャーリー,Female,14,8,12,ゴールテン・ダー,メカいじり,自信たっぷりで怖いものなし。\n高飛車で少しうるさいが、\nその技術と知識は確かなもの。,シャーリーのアズワン,90000,"(X=255,Y=150,Z=177)","(X=120,Y=25,Z=112)",True
4,4,イサドラ・エザルタード,イサドラ,Female,23,9,13,サイトヘッド,美容、お酒,優しく指導してくれるお姉さん。\n豊富な経験を活かして、\n手取り足取り導いてくれる。,イサドラのアズワン,90000,"(X=67,Y=200,Z=57)","(X=40,Y=130,Z=40)",True
5,5,ナギ・オネス,ナギ,Male,17,12,25,カーディナル,料理、掃除、洗濯,心優しく、物静か。\n穏やかで動じない性格だが、\n胸に強い正義感を秘めている。,ナギのアズワン,90000,"(X=255,Y=64,Z=32)","(X=133,Y=20,Z=18)",True
6,6,カズマ・アブレイズ,カズマ,Male,17,6,17,サブライガ,ジャンクフード,常に前向きで勇敢。\nひとたび戦闘が始まれば、\n何ものをも恐れず豪快に暴れ回る。,カズマのアズワン,90000,"(X=249,Y=241,Z=21)","(X=60,Y=50,Z=18)",True
7,7,no_name,no_name,Male,0,0,0,None,None,None,女ボスのアズワン,999999,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)",False
8,8,no_name,no_name,Male,0,0,0,None,None,None,ゴウゼンのアズワン,999999,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)",False
9,9,no_name,no_name,Male,0,0,0,None,None,None,シュリのアズワン,999999,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)",False
