---,BuddyID,InitialIntimacyLevel,InitialIntimacyRank,InitialIntimacyVal,RequiredIntimacyVal
1,1,1,1,0,500
2,1,2,1,500,1000
3,1,3,1,1000,1500
4,1,4,2,1500,2000
5,1,5,2,2000,2500
6,1,6,2,2500,3000
7,1,7,2,3000,3500
8,1,8,2,3500,4000
9,1,9,2,4000,4500
10,1,10,2,4500,5000
11,1,11,2,5000,5500
12,1,12,3,5500,6000
13,1,13,3,6000,6500
14,1,14,3,6500,7000
15,1,15,3,7000,7500
16,1,16,3,7500,8000
17,1,17,3,8000,8500
18,1,18,3,8500,9000
19,1,19,3,9000,9500
20,1,20,4,9500,10000
21,1,21,4,10000,11000
22,1,22,4,11000,12000
23,1,23,4,12000,13000
24,1,24,4,13000,14000
25,1,25,4,14000,15000
26,1,26,4,15000,16000
27,1,27,4,16000,17000
28,1,28,4,17000,18000
29,1,29,4,18000,19000
30,1,30,4,19000,20000
31,1,31,4,20000,21000
32,1,32,4,21000,22000
33,1,33,4,22000,23000
34,1,34,4,23000,24000
35,1,35,4,24000,25000
36,1,36,4,25000,26000
37,1,37,4,26000,27000
38,1,38,4,27000,28000
39,1,39,4,28000,29000
40,1,40,4,29000,31000
41,1,41,4,31000,33000
42,1,42,4,33000,35000
43,1,43,4,35000,37000
44,1,44,4,37000,39000
45,1,45,4,39000,41000
46,1,46,4,41000,43000
47,1,47,4,43000,45000
48,1,48,4,45000,47000
49,1,49,4,47000,49000
50,1,50,4,49000,51000
51,1,51,4,51000,53000
52,1,52,4,53000,55000
53,1,53,4,55000,57000
54,1,54,4,57000,59000
55,1,55,4,59000,61000
56,1,56,4,61000,63000
57,1,57,4,63000,65000
58,1,58,4,65000,67000
59,1,59,4,67000,69000
60,1,60,4,69000,72000
61,1,61,4,72000,75000
62,1,62,4,75000,78000
63,1,63,4,78000,81000
64,1,64,4,81000,84000
65,1,65,4,84000,87000
66,1,66,4,87000,90000
67,1,67,4,90000,93000
68,1,68,4,93000,96000
69,1,69,4,96000,99000
70,1,70,4,99000,102000
71,1,71,4,102000,105000
72,1,72,4,105000,108000
73,1,73,4,108000,111000
74,1,74,4,111000,114000
75,1,75,4,114000,117000
76,1,76,4,117000,120000
77,1,77,4,120000,123000
78,1,78,4,123000,126000
79,1,79,4,126000,129000
80,1,80,4,129000,133000
81,1,81,4,133000,137000
82,1,82,4,137000,141000
83,1,83,4,141000,145000
84,1,84,4,145000,149000
85,1,85,4,149000,153000
86,1,86,4,153000,157000
87,1,87,4,157000,161000
88,1,88,4,161000,165000
89,1,89,4,165000,169000
90,1,90,4,169000,174000
91,1,91,4,174000,179000
92,1,92,4,179000,184000
93,1,93,4,184000,189000
94,1,94,4,189000,194000
95,1,95,4,194000,199000
96,1,96,4,199000,204000
97,1,97,4,204000,209000
98,1,98,4,209000,214000
99,1,99,4,214000,999999
100,2,1,1,0,500
101,2,2,1,500,1000
102,2,3,1,1000,1500
103,2,4,2,1500,2000
104,2,5,2,2000,2500
105,2,6,2,2500,3000
106,2,7,2,3000,3500
107,2,8,2,3500,4000
108,2,9,2,4000,4500
109,2,10,2,4500,5000
110,2,11,2,5000,5500
111,2,12,3,5500,6000
112,2,13,3,6000,6500
113,2,14,3,6500,7000
114,2,15,3,7000,7500
115,2,16,3,7500,8000
116,2,17,3,8000,8500
117,2,18,3,8500,9000
118,2,19,3,9000,9500
119,2,20,4,9500,10000
120,2,21,4,10000,11000
121,2,22,4,11000,12000
122,2,23,4,12000,13000
123,2,24,4,13000,14000
124,2,25,4,14000,15000
125,2,26,4,15000,16000
126,2,27,4,16000,17000
127,2,28,4,17000,18000
128,2,29,4,18000,19000
129,2,30,4,19000,20000
130,2,31,4,20000,21000
131,2,32,4,21000,22000
132,2,33,4,22000,23000
133,2,34,4,23000,24000
134,2,35,4,24000,25000
135,2,36,4,25000,26000
136,2,37,4,26000,27000
137,2,38,4,27000,28000
138,2,39,4,28000,29000
139,2,40,4,29000,31000
140,2,41,4,31000,33000
141,2,42,4,33000,35000
142,2,43,4,35000,37000
143,2,44,4,37000,39000
144,2,45,4,39000,41000
145,2,46,4,41000,43000
146,2,47,4,43000,45000
147,2,48,4,45000,47000
148,2,49,4,47000,49000
149,2,50,4,49000,51000
150,2,51,4,51000,53000
151,2,52,4,53000,55000
152,2,53,4,55000,57000
153,2,54,4,57000,59000
154,2,55,4,59000,61000
155,2,56,4,61000,63000
156,2,57,4,63000,65000
157,2,58,4,65000,67000
158,2,59,4,67000,69000
159,2,60,4,69000,72000
160,2,61,4,72000,75000
161,2,62,4,75000,78000
162,2,63,4,78000,81000
163,2,64,4,81000,84000
164,2,65,4,84000,87000
165,2,66,4,87000,90000
166,2,67,4,90000,93000
167,2,68,4,93000,96000
168,2,69,4,96000,99000
169,2,70,4,99000,102000
170,2,71,4,102000,105000
171,2,72,4,105000,108000
172,2,73,4,108000,111000
173,2,74,4,111000,114000
174,2,75,4,114000,117000
175,2,76,4,117000,120000
176,2,77,4,120000,123000
177,2,78,4,123000,126000
178,2,79,4,126000,129000
179,2,80,4,129000,133000
180,2,81,4,133000,137000
181,2,82,4,137000,141000
182,2,83,4,141000,145000
183,2,84,4,145000,149000
184,2,85,4,149000,153000
185,2,86,4,153000,157000
186,2,87,4,157000,161000
187,2,88,4,161000,165000
188,2,89,4,165000,169000
189,2,90,4,169000,174000
190,2,91,4,174000,179000
191,2,92,4,179000,184000
192,2,93,4,184000,189000
193,2,94,4,189000,194000
194,2,95,4,194000,199000
195,2,96,4,199000,204000
196,2,97,4,204000,209000
197,2,98,4,209000,214000
198,2,99,4,214000,999999
199,3,1,1,0,500
200,3,2,1,500,1000
201,3,3,1,1000,1500
202,3,4,2,1500,2000
203,3,5,2,2000,2500
204,3,6,2,2500,3000
205,3,7,2,3000,3500
206,3,8,2,3500,4000
207,3,9,2,4000,4500
208,3,10,2,4500,5000
209,3,11,2,5000,5500
210,3,12,3,5500,6000
211,3,13,3,6000,6500
212,3,14,3,6500,7000
213,3,15,3,7000,7500
214,3,16,3,7500,8000
215,3,17,3,8000,8500
216,3,18,3,8500,9000
217,3,19,3,9000,9500
218,3,20,4,9500,10000
219,3,21,4,10000,11000
220,3,22,4,11000,12000
221,3,23,4,12000,13000
222,3,24,4,13000,14000
223,3,25,4,14000,15000
224,3,26,4,15000,16000
225,3,27,4,16000,17000
226,3,28,4,17000,18000
227,3,29,4,18000,19000
228,3,30,4,19000,20000
229,3,31,4,20000,21000
230,3,32,4,21000,22000
231,3,33,4,22000,23000
232,3,34,4,23000,24000
233,3,35,4,24000,25000
234,3,36,4,25000,26000
235,3,37,4,26000,27000
236,3,38,4,27000,28000
237,3,39,4,28000,29000
238,3,40,4,29000,31000
239,3,41,4,31000,33000
240,3,42,4,33000,35000
241,3,43,4,35000,37000
242,3,44,4,37000,39000
243,3,45,4,39000,41000
244,3,46,4,41000,43000
245,3,47,4,43000,45000
246,3,48,4,45000,47000
247,3,49,4,47000,49000
248,3,50,4,49000,51000
249,3,51,4,51000,53000
250,3,52,4,53000,55000
251,3,53,4,55000,57000
252,3,54,4,57000,59000
253,3,55,4,59000,61000
254,3,56,4,61000,63000
255,3,57,4,63000,65000
256,3,58,4,65000,67000
257,3,59,4,67000,69000
258,3,60,4,69000,72000
259,3,61,4,72000,75000
260,3,62,4,75000,78000
261,3,63,4,78000,81000
262,3,64,4,81000,84000
263,3,65,4,84000,87000
264,3,66,4,87000,90000
265,3,67,4,90000,93000
266,3,68,4,93000,96000
267,3,69,4,96000,99000
268,3,70,4,99000,102000
269,3,71,4,102000,105000
270,3,72,4,105000,108000
271,3,73,4,108000,111000
272,3,74,4,111000,114000
273,3,75,4,114000,117000
274,3,76,4,117000,120000
275,3,77,4,120000,123000
276,3,78,4,123000,126000
277,3,79,4,126000,129000
278,3,80,4,129000,133000
279,3,81,4,133000,137000
280,3,82,4,137000,141000
281,3,83,4,141000,145000
282,3,84,4,145000,149000
283,3,85,4,149000,153000
284,3,86,4,153000,157000
285,3,87,4,157000,161000
286,3,88,4,161000,165000
287,3,89,4,165000,169000
288,3,90,4,169000,174000
289,3,91,4,174000,179000
290,3,92,4,179000,184000
291,3,93,4,184000,189000
292,3,94,4,189000,194000
293,3,95,4,194000,199000
294,3,96,4,199000,204000
295,3,97,4,204000,209000
296,3,98,4,209000,214000
297,3,99,4,214000,999999
298,4,1,1,0,500
299,4,2,1,500,1000
300,4,3,1,1000,1500
301,4,4,2,1500,2000
302,4,5,2,2000,2500
303,4,6,2,2500,3000
304,4,7,2,3000,3500
305,4,8,2,3500,4000
306,4,9,2,4000,4500
307,4,10,2,4500,5000
308,4,11,2,5000,5500
309,4,12,3,5500,6000
310,4,13,3,6000,6500
311,4,14,3,6500,7000
312,4,15,3,7000,7500
313,4,16,3,7500,8000
314,4,17,3,8000,8500
315,4,18,3,8500,9000
316,4,19,3,9000,9500
317,4,20,4,9500,10000
318,4,21,4,10000,11000
319,4,22,4,11000,12000
320,4,23,4,12000,13000
321,4,24,4,13000,14000
322,4,25,4,14000,15000
323,4,26,4,15000,16000
324,4,27,4,16000,17000
325,4,28,4,17000,18000
326,4,29,4,18000,19000
327,4,30,4,19000,20000
328,4,31,4,20000,21000
329,4,32,4,21000,22000
330,4,33,4,22000,23000
331,4,34,4,23000,24000
332,4,35,4,24000,25000
333,4,36,4,25000,26000
334,4,37,4,26000,27000
335,4,38,4,27000,28000
336,4,39,4,28000,29000
337,4,40,4,29000,31000
338,4,41,4,31000,33000
339,4,42,4,33000,35000
340,4,43,4,35000,37000
341,4,44,4,37000,39000
342,4,45,4,39000,41000
343,4,46,4,41000,43000
344,4,47,4,43000,45000
345,4,48,4,45000,47000
346,4,49,4,47000,49000
347,4,50,4,49000,51000
348,4,51,4,51000,53000
349,4,52,4,53000,55000
350,4,53,4,55000,57000
351,4,54,4,57000,59000
352,4,55,4,59000,61000
353,4,56,4,61000,63000
354,4,57,4,63000,65000
355,4,58,4,65000,67000
356,4,59,4,67000,69000
357,4,60,4,69000,72000
358,4,61,4,72000,75000
359,4,62,4,75000,78000
360,4,63,4,78000,81000
361,4,64,4,81000,84000
362,4,65,4,84000,87000
363,4,66,4,87000,90000
364,4,67,4,90000,93000
365,4,68,4,93000,96000
366,4,69,4,96000,99000
367,4,70,4,99000,102000
368,4,71,4,102000,105000
369,4,72,4,105000,108000
370,4,73,4,108000,111000
371,4,74,4,111000,114000
372,4,75,4,114000,117000
373,4,76,4,117000,120000
374,4,77,4,120000,123000
375,4,78,4,123000,126000
376,4,79,4,126000,129000
377,4,80,4,129000,133000
378,4,81,4,133000,137000
379,4,82,4,137000,141000
380,4,83,4,141000,145000
381,4,84,4,145000,149000
382,4,85,4,149000,153000
383,4,86,4,153000,157000
384,4,87,4,157000,161000
385,4,88,4,161000,165000
386,4,89,4,165000,169000
387,4,90,4,169000,174000
388,4,91,4,174000,179000
389,4,92,4,179000,184000
390,4,93,4,184000,189000
391,4,94,4,189000,194000
392,4,95,4,194000,199000
393,4,96,4,199000,204000
394,4,97,4,204000,209000
395,4,98,4,209000,214000
396,4,99,4,214000,999999
397,5,1,1,0,500
398,5,2,1,500,1000
399,5,3,1,1000,1500
400,5,4,2,1500,2000
401,5,5,2,2000,2500
402,5,6,2,2500,3000
403,5,7,2,3000,3500
404,5,8,2,3500,4000
405,5,9,2,4000,4500
406,5,10,2,4500,5000
407,5,11,2,5000,5500
408,5,12,3,5500,6000
409,5,13,3,6000,6500
410,5,14,3,6500,7000
411,5,15,3,7000,7500
412,5,16,3,7500,8000
413,5,17,3,8000,8500
414,5,18,3,8500,9000
415,5,19,3,9000,9500
416,5,20,4,9500,10000
417,5,21,4,10000,11000
418,5,22,4,11000,12000
419,5,23,4,12000,13000
420,5,24,4,13000,14000
421,5,25,4,14000,15000
422,5,26,4,15000,16000
423,5,27,4,16000,17000
424,5,28,4,17000,18000
425,5,29,4,18000,19000
426,5,30,4,19000,20000
427,5,31,4,20000,21000
428,5,32,4,21000,22000
429,5,33,4,22000,23000
430,5,34,4,23000,24000
431,5,35,4,24000,25000
432,5,36,4,25000,26000
433,5,37,4,26000,27000
434,5,38,4,27000,28000
435,5,39,4,28000,29000
436,5,40,4,29000,31000
437,5,41,4,31000,33000
438,5,42,4,33000,35000
439,5,43,4,35000,37000
440,5,44,4,37000,39000
441,5,45,4,39000,41000
442,5,46,4,41000,43000
443,5,47,4,43000,45000
444,5,48,4,45000,47000
445,5,49,4,47000,49000
446,5,50,4,49000,51000
447,5,51,4,51000,53000
448,5,52,4,53000,55000
449,5,53,4,55000,57000
450,5,54,4,57000,59000
451,5,55,4,59000,61000
452,5,56,4,61000,63000
453,5,57,4,63000,65000
454,5,58,4,65000,67000
455,5,59,4,67000,69000
456,5,60,4,69000,72000
457,5,61,4,72000,75000
458,5,62,4,75000,78000
459,5,63,4,78000,81000
460,5,64,4,81000,84000
461,5,65,4,84000,87000
462,5,66,4,87000,90000
463,5,67,4,90000,93000
464,5,68,4,93000,96000
465,5,69,4,96000,99000
466,5,70,4,99000,102000
467,5,71,4,102000,105000
468,5,72,4,105000,108000
