---,LevelId,LevelName
0,0,
1,1,レベル1
2,2,レベル2
3,3,レベル3
4,4,レベル4
5,5,レベル5
6,6,レベル6
7,7,レベル7
8,8,レベル8
9,9,レベル9
10,10,レベル10
11,11,レベル11
12,12,レベル12
13,13,レベル13
14,14,レベル14
15,15,レベル15
16,16,レベル16
17,17,レベル17
18,18,レベル18
19,19,レベル19
20,20,レベル20
21,21,レベル21
22,22,レベル22
23,23,レベル23
24,24,レベル24
25,25,レベル25
26,26,レベル26
27,27,レベル27
28,28,レベル28
29,29,レベル29
30,30,レベル30
31,31,レベル31
32,32,レベル32
33,33,レベル33
34,34,レベル34
35,35,レベル35
36,36,レベル36
37,37,レベル37
38,38,レベル38
39,39,レベル39
40,40,レベル40
41,41,レベル41
42,42,レベル42
43,43,レベル43
44,44,レベル44
45,45,レベル45
46,46,レベル46
47,47,レベル47
48,48,レベル48
49,49,レベル49
50,50,レベル50
51,51,レベル51
52,52,レベル52
53,53,レベル53
54,54,レベル54
55,55,レベル55
56,56,レベル56
57,57,レベル57
58,58,レベル58
59,59,レベル59
60,60,レベル60
61,61,レベル61
62,62,レベル62
63,63,レベル63
64,64,レベル64
65,65,レベル65
66,66,レベル66
67,67,レベル67
68,68,レベル68
69,69,レベル69
70,70,レベル70
71,71,レベル71
72,72,レベル72
73,73,レベル73
74,74,レベル74
75,75,レベル75
76,76,レベル76
77,77,レベル77
78,78,レベル78
79,79,レベル79
80,80,レベル80
81,81,レベル81
82,82,レベル82
83,83,レベル83
84,84,レベル84
85,85,レベル85
86,86,レベル86
87,87,レベル87
88,88,レベル88
89,89,レベル89
90,90,レベル90
91,91,レベル91
92,92,レベル92
93,93,レベル93
94,94,レベル94
95,95,レベル95
96,96,レベル96
97,97,レベル97
98,98,レベル98
99,99,レベル99
