---,BuddyNormalMissionId,BuddyNormalMissionName,BuddyId,BuddyNormalMissionTypeId,ValueInt,RewardId
1,10010400,ヒカリで全国対戦10回勝利,1,400,10,7000076
2,30010400,ヒカリで全国対戦30回勝利,1,400,30,7000077
3,60010400,ヒカリで全国対戦60回勝利,1,400,60,7000078
4,100010400,ヒカリで全国対戦100回勝利,1,400,100,7000079
5,600010400,ヒカリで全国対戦600回勝利,1,400,600,7000080
6,10020400,レイカで全国対戦10回勝利,2,400,10,7000081
7,30020400,レイカで全国対戦30回勝利,2,400,30,7000082
8,60020400,レイカで全国対戦60回勝利,2,400,60,7000083
9,100020400,レイカで全国対戦100回勝利,2,400,100,7000084
10,600020400,レイカで全国対戦600回勝利,2,400,600,7000085
11,10030400,シャーリーで全国対戦10回勝利,3,400,10,7000086
12,30030400,シャーリーで全国対戦30回勝利,3,400,30,7000087
13,60030400,シャーリーで全国対戦60回勝利,3,400,60,7000088
14,100030400,シャーリーで全国対戦100回勝利,3,400,100,7000089
15,600030400,シャーリーで全国対戦600回勝利,3,400,600,7000090
16,10040400,イサドラで全国対戦10回勝利,4,400,10,7000091
17,30040400,イサドラで全国対戦30回勝利,4,400,30,7000092
18,60040400,イサドラで全国対戦60回勝利,4,400,60,7000093
19,100040400,イサドラで全国対戦100回勝利,4,400,100,7000094
20,600040400,イサドラで全国対戦600回勝利,4,400,600,7000095
21,10050400,ナギで全国対戦10回勝利,5,400,10,7000096
22,30050400,ナギで全国対戦30回勝利,5,400,30,7000097
23,60050400,ナギで全国対戦60回勝利,5,400,60,7000098
24,100050400,ナギで全国対戦100回勝利,5,400,100,7000099
25,600050400,ナギで全国対戦600回勝利,5,400,600,7000100
26,10060400,カズマで全国対戦10回勝利,6,400,10,7000101
27,30060400,カズマで全国対戦30回勝利,6,400,30,7000102
28,60060400,カズマで全国対戦60回勝利,6,400,60,7000103
29,100060400,カズマで全国対戦100回勝利,6,400,100,7000104
30,600060400,カズマで全国対戦600回勝利,6,400,600,7000105
31,3010401,ヒカリで全国対戦3連続勝利,1,401,3,7000106
32,5010401,ヒカリで全国対戦5連続勝利,1,401,5,7000107
33,10010401,ヒカリで全国対戦10連続勝利,1,401,10,7000108
34,3020401,レイカで全国対戦3連続勝利,2,401,3,7000109
35,5020401,レイカで全国対戦5連続勝利,2,401,5,7000110
36,10020401,レイカで全国対戦10連続勝利,2,401,10,7000111
37,3030401,シャーリーで全国対戦3連続勝利,3,401,3,7000112
38,5030401,シャーリーで全国対戦5連続勝利,3,401,5,7000113
39,10030401,シャーリーで全国対戦10連続勝利,3,401,10,7000114
40,3040401,イサドラで全国対戦3連続勝利,4,401,3,7000115
41,5040401,イサドラで全国対戦5連続勝利,4,401,5,7000116
42,10040401,イサドラで全国対戦10連続勝利,4,401,10,7000117
43,3050401,ナギで全国対戦3連続勝利,5,401,3,7000118
44,5050401,ナギで全国対戦5連続勝利,5,401,5,7000119
45,10050401,ナギで全国対戦10連続勝利,5,401,10,7000120
46,3060401,カズマで全国対戦3連続勝利,6,401,3,7000121
47,5060401,カズマで全国対戦5連続勝利,6,401,5,7000122
48,10060401,カズマで全国対戦10連続勝利,6,401,10,7000123
