---,Id,SkillId,SkillCategory,Texture,SkillName,SkillInfo,ReleaseLevel
0,0,0,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_None.Tex_Skill_None',スキル無し,スキル装備無し,999
1,1,1,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_LockOnSizeUp.Tex_Skill_LockOnSizeUp'Icon',ロックオンエリア拡大,ロックオンエリアのサイズを\n拡大する。\n発動条件：チームレベル６達成,90
2,2,2,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_LockOnDisranceUp.Tex_Skill_LockOnDisranceUp',ロックオン距離延長,ロックオンできる最大距離が\n伸びる。\n発動条件：チームレベル６達成,90
3,3,3,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_SearchAreaUp.Tex_Skill_SearchAreaUp',対象ロスト耐性上昇,壁に隠れたターゲットを\n見失いづらくする。\n発動条件：チームレベル４達成,999
4,4,4,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_StrengthUp.Tex_Skill_StrengthUp',耐久値最大量上昇,耐久値の最大値が上がる。\n\n発動条件：チームレベル７達成,100
5,5,5,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BarrierUp.Tex_Skill_BarrierUp',アーマー値最大量上昇,アーマーの最大値が上がる。\n\n発動条件：チームレベル７達成,90
6,6,6,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BarrierRecoverrySpeedUp.Tex_Skill_BarrierRecoverrySpeedUp',アーマー回復速度上昇,アーマーの回復するまでの時間を\n短くする。\n発動条件：チームレベル７達成,999
7,7,7,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_ReloadSpeedUp.Tex_Skill_ReloadSpeedUp',リロード速度上昇,弾のリロード速度が上がる。\n\n発動条件：チームレベル５達成,999
8,8,8,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BoostDashSpeedUp.Tex_Skill_BoostDashSpeedUp',ダッシュ速度上昇,地上と空中のダッシュ速度が\n上がる。\n発動条件：チームレベル６達成,999
9,9,9,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BoostGaugeSaving.Tex_Skill_BoostGaugeSaving',ブースト消費量減少,ダッシュやジャンプなどの\nブースト消費が減る。\n発動条件：チームレベル７達成,999
10,10,10,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_FullDriveQuickCharge.Tex_Skill_FullDriveQuickCharge',フルドライブ溜め短縮,フルドライブの開始時間を\n短くする。\n発動条件：チームレベル５達成,999
11,11,11,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_FullDriveGaugeSaving.Tex_Skill_FullDriveGaugeSaving',フルドライブ時間延長,フルドライブのゲージ消費量が\n減る。\n発動条件：チームレベル６達成,999
12,12,12,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BarrelRoll.Tex_Skill_BarrelRoll',回避性能上昇,回避時の無敵時間が長くなり\nブースト消費量が減る。\n発動条件：チームレベル７達成,999
