---,BuddyWinPoseId,BuddyWinPoseName,BuddyId,WinPoseId,Texture,Description,IsDefault,MotionName,HasFlag,RotY,RotZ,GameModeId
1,1001,共通　旗あり,1,1,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common02.Tex_ARCustomize_WinPose_Common02',共通勝利ポーズ,True,81540,1,0,180,0
2,1002,共通　旗なし,1,2,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common01.Tex_ARCustomize_WinPose_Common01',共通勝利ポーズ,True,81550,0,0,180,0
3,1003,一番星！　旗なし,1,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari01.Tex_ARCustomize_WinPose_hikari01',ヒカリ用勝利ポーズ,False,81000,0,0,180,0
4,1004,一番星！　旗あり,1,4,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari02.Tex_ARCustomize_WinPose_hikari02',ヒカリ用勝利ポーズ,False,81010,1,0,180,0
5,1005,ジャンプ！,1,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari03.Tex_ARCustomize_WinPose_hikari03',ヒカリ用勝利ポーズ,False,81020,0,0,180,0
6,1006,大歓喜,1,6,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari04.Tex_ARCustomize_WinPose_hikari04',ヒカリ用勝利ポーズ,False,81030,1,180,180,0
7,1007,ロボフラッグ,1,7,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari05.Tex_ARCustomize_WinPose_hikari05',ヒカリ用勝利ポーズ,False,81040,1,180,180,0
8,1008,ダブルピース！,1,8,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_hikari06.Tex_ARCustomize_WinPose_hikari06',ヒカリ用勝利ポーズ,False,81050,0,0,180,0
9,2001,共通　旗あり,2,1,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common02.Tex_ARCustomize_WinPose_Common02',共通勝利ポーズ,True,81540,1,0,180,0
10,2002,共通　旗なし,2,2,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common01.Tex_ARCustomize_WinPose_Common01',共通勝利ポーズ,True,81550,0,0,180,0
11,2003,華麗,2,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika01.Tex_ARCustomize_WinPose_reika01',レイカ用勝利ポーズ,False,81060,0,0,180,0
12,2004,敬礼,2,4,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika02.Tex_ARCustomize_WinPose_reika02',レイカ用勝利ポーズ,False,81070,1,0,180,0
13,2005,優雅に翻す,2,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika03.Tex_ARCustomize_WinPose_reika03',レイカ用勝利ポーズ,False,81080,0,0,180,0
14,2006,ジャンプ！,2,6,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika04.Tex_ARCustomize_WinPose_reika04',レイカ用勝利ポーズ,False,81090,1,0,180,0
15,2007,大・勝利,2,7,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika05.Tex_ARCustomize_WinPose_reika05',レイカ用勝利ポーズ,False,81100,1,0,180,0
16,2008,最の高！,2,8,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_reika06.Tex_ARCustomize_WinPose_reika06',レイカ用勝利ポーズ,False,81110,0,0,180,0
17,3001,共通　旗あり,3,1,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common02.Tex_ARCustomize_WinPose_Common02',共通勝利ポーズ,True,81540,1,0,180,0
18,3002,共通　旗なし,3,2,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_Common01.Tex_ARCustomize_WinPose_Common01',共通勝利ポーズ,True,81550,0,0,180,0
19,3003,私が一番！,3,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/VictoryPose/Tex_ARCustomize_WinPose_shirley01.Tex_ARCustomize_WinPose_shirley01',シャーリー用勝利ポーズ,False,81180,0,180,180,0
