---,SymbolChatCategoryId,SlotId,SubSlotId,SymbolChatId
1,1,1,1,1001
2,1,2,1,2016
3,1,3,1,2030
4,2,1,1,2004
5,2,2,1,2017
6,2,2,2,2018
7,2,2,3,2021
8,2,2,4,2022
9,2,2,5,2020
10,2,2,6,2025
11,2,3,1,2001
12,2,3,2,2012
13,2,3,3,2008
14,2,4,1,2031
15,2,4,2,2005
16,2,4,3,2006
17,2,5,1,2003
18,2,5,2,2011
19,2,6,1,2027
20,2,6,2,2028
21,2,6,3,2029
22,4,1,1,3001
23,4,2,1,5002
24,4,3,1,5005
25,3,1,1,7001
26,3,2,1,8001
27,3,3,1,9001
28,5,1,1,2054
29,5,2,1,2055
30,5,3,1,2056
31,6,1,1,2033
32,6,1,2,2034
33,6,1,3,2035
34,6,1,4,2036
35,6,2,1,2037
36,6,2,2,2038
37,6,2,3,2039
38,6,2,4,2040
39,6,3,1,2041
40,6,4,1,2042
41,6,5,1,2043
42,7,1,1,2052
43,7,2,1,2053
44,7,3,1,2044
45,7,4,1,2045
46,7,5,1,2057
47,7,6,1,2048
48,7,7,1,2051
49,7,8,1,2050
