---,EmblemPartsId,Name,EmblemPartsType,DefaultEmblemPartsFlag,IsEditable,Texture,FlagTexture,Descprition
0,0,-,OutLine,False,False,-,-,※削除不可
1,90001,デザイン確認用エンブレム,Main,False,False,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02.Tex_Emblem_Temporaryp_02',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02_Flag.Tex_Emblem_Temporaryp_02_Flag',
2,90002,デザイン確認用エンブレム,OutLine,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_01.Tex_Emblem_Temporaryp_01',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_01_Flag.Tex_Emblem_Temporaryp_01_Flag',
3,90003,デザイン確認用エンブレム,Main,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02.Tex_Emblem_Temporaryp_02',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02_Flag.Tex_Emblem_Temporaryp_02_Flag',
4,90004,デザイン確認用エンブレム,Sub,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_03.Tex_Emblem_Temporaryp_03',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_03_Flag.Tex_Emblem_Temporaryp_03_Flag',
5,10001,シールドフレームA,OutLine,True,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0001.Tex_Emblem_01_0001',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0001_Flag.Tex_Emblem_01_0001_Flag',
6,10002,ヘキサフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0002.Tex_Emblem_01_0002',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0002_Flag.Tex_Emblem_01_0002_Flag',
7,10003,シールドフレームB,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0003.Tex_Emblem_01_0003',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0003_Flag.Tex_Emblem_01_0003_Flag',
8,10004,シールドフレームC,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0004.Tex_Emblem_01_0004',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0004_Flag.Tex_Emblem_01_0004_Flag',
9,10005,バニシングサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0005.Tex_Emblem_01_0005',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0005_Flag.Tex_Emblem_01_0005_Flag',
10,10006,バニシングスクウェア,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0006.Tex_Emblem_01_0006',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0006_Flag.Tex_Emblem_01_0006_Flag',
11,10007,オメガサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0007.Tex_Emblem_01_0007',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0007_Flag.Tex_Emblem_01_0007_Flag',
12,10008,コースターフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0008.Tex_Emblem_01_0008',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0008_Flag.Tex_Emblem_01_0008_Flag',
13,10009,リーフフレームA,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0009.Tex_Emblem_01_0009',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0009_Flag.Tex_Emblem_01_0009_Flag',
14,10010,リーフダイヤ,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0010.Tex_Emblem_01_0010',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0010_Flag.Tex_Emblem_01_0010_Flag',
15,10011,リーフフレームB,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0011.Tex_Emblem_01_0011',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0011_Flag.Tex_Emblem_01_0011_Flag',
16,10012,リーフシールド,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0012.Tex_Emblem_01_0012',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0012_Flag.Tex_Emblem_01_0012_Flag',
17,10013,プリンセスフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0013.Tex_Emblem_01_0013',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0013_Flag.Tex_Emblem_01_0013_Flag',
18,10014,ギアフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0014.Tex_Emblem_01_0014',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0014_Flag.Tex_Emblem_01_0014_Flag',
19,10015,ハートフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0015.Tex_Emblem_01_0015',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0015_Flag.Tex_Emblem_01_0015_Flag',
20,10016,アンティークサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0016.Tex_Emblem_01_0016',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0016_Flag.Tex_Emblem_01_0016_Flag',
21,10017,サーマルスクウェア,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0017.Tex_Emblem_01_0017',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0017_Flag.Tex_Emblem_01_0017_Flag',
22,10018,コントロールサークルA,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0018.Tex_Emblem_01_0018',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0018_Flag.Tex_Emblem_01_0018_Flag',
23,10019,コネクトフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0019.Tex_Emblem_01_0019',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0019_Flag.Tex_Emblem_01_0019_Flag',
24,10020,フォースガード,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0020.Tex_Emblem_01_0020',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0020_Flag.Tex_Emblem_01_0020_Flag',
25,10021,ライトネット,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0021.Tex_Emblem_01_0021',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0021_Flag.Tex_Emblem_01_0021_Flag',
26,10022,コントロールサークルB,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0022.Tex_Emblem_01_0022',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0022_Flag.Tex_Emblem_01_0022_Flag',
27,10023,送受信,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0023.Tex_Emblem_01_0023',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0023_Flag.Tex_Emblem_01_0023_Flag',
28,10024,イコライザーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0024.Tex_Emblem_01_0024',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0024_Flag.Tex_Emblem_01_0024_Flag',
29,10025,チェーンフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0025.Tex_Emblem_01_0025',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0025_Flag.Tex_Emblem_01_0025_Flag',
30,10026,ピアノフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0026.Tex_Emblem_01_0026',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0026_Flag.Tex_Emblem_01_0026_Flag',
31,10027,ラブフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0027.Tex_Emblem_01_0027',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0027_Flag.Tex_Emblem_01_0027_Flag',
32,10028,スターフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0028.Tex_Emblem_01_0028',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0028_Flag.Tex_Emblem_01_0028_Flag',
