---,EmblemPartsId,Name,EmblemPartsType,DefaultEmblemPartsFlag,IsEditable,Texture,FlagTexture,Descprition,GameModeId
0,0,-,OutLine,False,False,-,-,※削除不可,0
1,90001,デザイン確認用エンブレム,Main,False,False,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02.Tex_Emblem_Temporaryp_02',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02_Flag.Tex_Emblem_Temporaryp_02_Flag',,0
2,90002,デザイン確認用エンブレム,OutLine,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_01.Tex_Emblem_Temporaryp_01',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_01_Flag.Tex_Emblem_Temporaryp_01_Flag',,0
3,90003,デザイン確認用エンブレム,Main,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02.Tex_Emblem_Temporaryp_02',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_02_Flag.Tex_Emblem_Temporaryp_02_Flag',,0
4,90004,デザイン確認用エンブレム,Sub,False,True,Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_03.Tex_Emblem_Temporaryp_03',Texture2D'/Game/_Test/Texture/Emblem/Tex_Emblem_Temporaryp_03_Flag.Tex_Emblem_Temporaryp_03_Flag',,0
5,10001,シールドフレームA,OutLine,True,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0001.Tex_Emblem_01_0001',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0001_Flag.Tex_Emblem_01_0001_Flag',,0
6,10002,ヘキサフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0002.Tex_Emblem_01_0002',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0002_Flag.Tex_Emblem_01_0002_Flag',,0
7,10003,シールドフレームB,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0003.Tex_Emblem_01_0003',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0003_Flag.Tex_Emblem_01_0003_Flag',,0
8,10004,シールドフレームC,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0004.Tex_Emblem_01_0004',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0004_Flag.Tex_Emblem_01_0004_Flag',,0
9,10005,バニシングサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0005.Tex_Emblem_01_0005',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0005_Flag.Tex_Emblem_01_0005_Flag',,0
