---,GachaId,GachaName,BeginAt,EndAt,GachaTypeId,MiniRankId,MaxRankId
1,100,基本報酬1,1970-01-01 08:00:00,2036-01-09 06:00:00,1,0,0
2,201,通常ガチャ01,1970-01-01 08:00:00,2020-03-11 06:00:00,2,3,0
3,202,新武器追加_1.14 01,2020-03-11 08:00:00,2020-03-18 06:00:00,2,3,0
4,203,通常ガチャ02,2020-03-18 08:00:00,2020-04-01 06:00:00,2,3,0
5,204,エンブレム追加,2020-04-01 08:00:00,2020-04-22 06:00:00,2,3,0
6,205,新武器追加_1.14 02,2020-04-22 08:00:00,2020-04-29 06:00:00,2,3,0
7,206,通常ガチャ03,2020-04-29 08:00:00,2020-06-03 06:00:00,2,3,0
8,207,新武器追加_1.14 03,2020-06-03 08:00:00,2020-06-10 06:00:00,2,3,0
9,208,通常ガチャ04,2020-06-10 08:00:00,2020-07-01 06:00:00,2,3,0
10,209,新AR追加_1.14 01,2020-07-01 08:00:00,2020-07-15 06:00:00,2,3,0
11,210,新武器追加_新AR追加_1.14 04,2020-07-15 08:00:00,2020-07-22 06:00:00,2,3,0
12,211,新AR追加_1.14 02,2020-07-22 08:00:00,2020-07-29 06:00:00,2,3,0
13,212,通常ガチャ05,2020-07-29 08:00:00,2036-01-01 06:00:00,2,3,0
14,301,迷彩カラーガチャ#1「岩塊」,2020-02-12 08:00:00,2020-03-04 06:00:00,3,3,0
15,302,戦闘報酬プラスワン#1,2020-03-18 08:00:00,2020-03-25 06:00:00,3,3,0
16,303,迷彩カラーガチャ#2「桜花」,2020-03-25 08:00:00,2020-04-22 06:00:00,3,3,0
17,304,戦闘報酬プラスワン#2,2010-04-22 08:00:00,2010-04-29 06:00:00,3,3,0
18,305,迷彩カラーガチャ#3「土漠」,2010-05-06 08:00:00,2010-05-27 06:00:00,3,3,0
19,306,戦闘報酬プラスワン#3,2020-06-03 08:00:00,2020-06-10 06:00:00,3,3,0
20,307,迷彩カラーガチャ#4「深森」,2020-06-17 08:00:00,2020-07-08 06:00:00,3,3,0
21,308,戦闘報酬プラスワン#4,2020-07-15 08:00:00,2020-07-22 06:00:00,3,3,0
22,309,迷彩カラーガチャ#5「海響」,2020-07-29 08:00:00,2020-08-19 06:00:00,3,3,0
23,401,初心者ガチャ,2019-05-29 08:00:00,2036-01-01 06:00:00,4,3,9
