---,GachaId,GachaRealityId,Ratio
1,100,1,100
2,201,1,33
3,201,2,29
4,201,3,24
5,201,4,14
6,202,1,31
7,202,2,27
8,202,3,23
9,202,4,13
10,202,5,6
11,203,1,33
12,203,2,29
13,203,3,24
14,203,4,14
15,204,1,33
16,204,2,29
17,204,3,24
18,204,4,14
19,205,1,33
20,205,2,29
21,205,3,24
22,205,4,14
23,205,5,0
24,206,1,33
25,206,2,29
26,206,3,24
27,206,4,14
28,207,1,31
29,207,2,27
30,207,3,23
31,207,4,13
32,207,5,6
33,208,1,33
34,208,2,29
35,208,3,24
36,208,4,14
37,209,1,33
38,209,2,29
39,209,3,24
40,209,4,14
41,210,1,31
42,210,2,27
43,210,3,23
44,210,4,13
45,210,5,6
46,211,1,33
47,211,2,29
48,211,3,24
49,211,4,14
50,212,1,33
51,212,2,29
52,212,3,24
53,212,4,14
54,301,3,88
55,301,4,12
56,302,2,45
57,302,3,39
58,302,4,13
59,302,5,3
60,303,3,88
61,303,4,12
62,304,2,45
63,304,3,39
64,304,4,13
65,304,5,3
66,305,3,88
67,305,4,12
68,306,2,45
69,306,3,39
70,306,4,13
71,306,5,3
72,307,3,88
73,307,4,12
74,308,2,45
75,308,3,39
76,308,4,13
77,308,5,3
78,309,3,88
79,309,4,12
80,401,3,60
81,401,4,20
82,401,5,20
