---,GachaId,RewardId,RewardName,GachaRealityId,Weight,Rate,ExchangeRewardId1,ExchangeRewardId2
1,100,1000050,CP × 50,1,1,100,0,0
2,201,4060061,ゴールテン・D・Ｈ,3,1,0.470588235294118,1000040,9000005
3,201,4060062,ゴールテン・D・Ｂ,3,1,0.470588235294118,1000040,9000005
4,201,4060063,ゴールテン・D・Ａ,3,1,0.470588235294118,1000040,9000005
5,201,4060064,ゴールテン・D・Ｌ,3,1,0.470588235294118,1000040,9000005
6,201,4060065,ゴールテン・D・Ｗ,4,1,0.666666666666667,1000040,9000005
7,201,4090091,サブライガ・Ｈ,3,1,0.470588235294118,1000040,9000005
8,201,4090092,サブライガ・Ｂ,3,1,0.470588235294118,1000040,9000005
9,201,4090093,サブライガ・Ａ,3,1,0.470588235294118,1000040,9000005
10,201,4090094,サブライガ・Ｌ,3,1,0.470588235294118,1000040,9000005
11,201,4090095,サブライガ・Ｗ,4,1,0.666666666666667,1000040,9000005
12,201,4040041,サイトヘッド・Ｈ,3,1,0.470588235294118,1000040,9000005
13,201,4040042,サイトヘッド・Ｂ,3,1,0.470588235294118,1000040,9000005
14,201,4040043,サイトヘッド・Ａ,3,1,0.470588235294118,1000040,9000005
15,201,4040044,サイトヘッド・Ｌ,3,1,0.470588235294118,1000040,9000005
16,201,4040045,サイトヘッド・Ｗ,4,1,0.666666666666667,1000040,9000005
17,201,4080081,ディスドス・Ｈ,3,1,0.470588235294118,1000040,9000005
18,201,4080082,ディスドス・Ｂ,3,1,0.470588235294118,1000040,9000005
19,201,4080083,ディスドス・Ａ,3,1,0.470588235294118,1000040,9000005
20,201,4080084,ディスドス・Ｌ,3,1,0.470588235294118,1000040,9000005
21,201,4080085,ディスドス・Ｗ,4,1,0.666666666666667,1000040,9000005
22,201,4030031,スクラッパー・Ｈ,3,1,0.470588235294118,1000040,9000005
23,201,4030032,スクラッパー・Ｂ,3,1,0.470588235294118,1000040,9000005
24,201,4030033,スクラッパー・Ａ,3,1,0.470588235294118,1000040,9000005
25,201,4030034,スクラッパー・Ｌ,3,1,0.470588235294118,1000040,9000005
26,201,4030035,スクラッパー・Ｗ,4,1,0.666666666666667,1000040,9000005
27,201,4100101,ファルマコン・Ｈ,3,1,0.470588235294118,1000040,9000005
28,201,4100102,ファルマコン・Ｂ,3,1,0.470588235294118,1000040,9000005
29,201,4100103,ファルマコン・Ａ,3,1,0.470588235294118,1000040,9000005
30,201,4100104,ファルマコン・Ｌ,3,1,0.470588235294118,1000040,9000005
31,201,4100105,ファルマコン・Ｗ,4,1,0.666666666666667,1000040,9000005
32,201,4110111,ラピスヘッジ・Ｈ,3,1,0.470588235294118,1000040,9000005
33,201,4110112,ラピスヘッジ・Ｂ,3,1,0.470588235294118,1000040,9000005
34,201,4110113,ラピスヘッジ・Ａ,3,1,0.470588235294118,1000040,9000005
35,201,4110114,ラピスヘッジ・Ｌ,3,1,0.470588235294118,1000040,9000005
36,201,4110115,ラピスヘッジ・Ｗ,4,1,0.666666666666667,1000040,9000005
37,201,4120121,パ・フェクト・Ｈ,3,1,0.470588235294118,1000040,9000005
38,201,4120122,パ・フェクト・Ｂ,3,1,0.470588235294118,1000040,9000005
39,201,4120123,パ・フェクト・Ａ,3,1,0.470588235294118,1000040,9000005
40,201,4120124,パ・フェクト・Ｌ,3,1,0.470588235294118,1000040,9000005
41,201,4120125,パ・フェクト・Ｗ,4,1,0.666666666666667,1000040,9000005
42,201,4070071,アンゼロイ・Ｈ,3,1,0.470588235294118,1000040,9000005
43,201,4070072,アンゼロイ・Ｂ,3,1,0.470588235294118,1000040,9000005
44,201,4070073,アンゼロイ・Ａ,3,1,0.470588235294118,1000040,9000005
45,201,4070074,アンゼロイ・Ｌ,3,1,0.470588235294118,1000040,9000005
46,201,4070075,アンゼロイ・Ｗ,4,1,0.666666666666667,1000040,9000005
47,201,6010018,コントロールサークルA,1,1,0.942857142857143,1000020,9000005
48,201,6020028,ドラゴンヘッド,1,1,0.942857142857143,1000020,9000005
49,201,6020029,ユニコーンヘッド,1,1,0.942857142857143,1000020,9000005
50,201,6020037,ビー,1,1,0.942857142857143,1000020,9000005
51,201,6020039,ライオンヘッド,1,1,0.942857142857143,1000020,9000005
52,201,6020053,フィーバー,1,1,0.942857142857143,1000020,9000005
53,201,6020080,フォーリンラブ,1,1,0.942857142857143,1000020,9000005
54,201,6030007,ビーハウス,1,1,0.942857142857143,1000020,9000005
55,201,6030020,スプラッシュ,1,1,0.942857142857143,1000020,9000005
56,201,6030021,ダスト,1,1,0.942857142857143,1000020,9000005
57,201,6030030,ハナマル,1,1,0.942857142857143,1000020,9000005
58,201,6030031,音符記号,1,1,0.942857142857143,1000020,9000005
59,201,6030051,スペースサークル,1,1,0.942857142857143,1000020,9000005
60,201,6030062,ツインユニコーン,1,1,0.942857142857143,1000020,9000005
61,201,6030074,オールドクラウン,1,1,0.942857142857143,1000020,9000005
62,201,6010016,アンティークサークル,1,1,0.942857142857143,1000020,9000005
