---,Type,Param1,Param2,Param3,Position,Rotation
Empty,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap01_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap02_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap03_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap03_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap03_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap03_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSaber_Grap03_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSickle_Grap01_01,Sphere,1000,0,0,"(X=500,Y=100,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSickle_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSickle_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSickle_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_BeamSickle_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap01_01,Sphere,600,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap02_01,Sphere,600,0,0,"(X=300,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Lance_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Whip_Grap01_01,Box,1000,550,500,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Whip_Grap01_02,Box,2000,550,1000,"(X=1250,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Whip_Grap01_03,Box,3000,550,1500,"(X=2500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Whip_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Whip_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R01_01,MoveCapsule,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R02_01,MoveCapsule,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R03_01,MoveCapsule,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R03_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R03_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R03_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R03_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R04_01,MoveCapsule,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R04_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R04_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R04_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R04_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R05_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R05_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
