---,MinMoveTime,MaxMoveTime,EnableTargetRange,BoostGaugeDecStart,BoostGaugeDecDuration,BrakeRange,BrakeRate,BrakeMinSpeed,EnableVirtualWall,VirtualWallBrakeRange,EndFriction,InitSpeed,InitSpeedUseType,LimitSpeed,LimitSpeedArrivalTime,LimitSpeedArrivalEaseType,LimitSpeedArrivalEaseExp,MoveOffset,IgnorePitchMoveOffset,UpdateMoveOffset,BasisSelfMoveOffset,BasisSelfDirectionMoveOffset,UseControllerMoveOffset,HorizontalInitTurnSpeed,HorizontalLimitTurnSpeed,HorizontalLimitTurnSpeedArrivalTime,VerticalInitTurnSpeed,VerticalLimitTurnSpeed,VerticalLimitTurnSpeedArrivalTime,HorizontalDirectionOffset,VerticalDirectionOffset,DirectionOffsetTime,DirectionOffsetEaseType,DirectionOffsetEaseExp,HorizontalPrefetchingSec,VerticalPrefetchingSec,LookAtOffset,IgnorePitchLookAtOffset,UpdateLookAtOffset,HorizontalLookAtInitTurnSpeed,HorizontalLookAtLimitTurnSpeed,HorizontalLookAtLimitTurnSpeedArrivalTime,VerticalLookAtInitTurnSpeed,VerticalLookAtLimitTurnSpeed,VerticalLookAtLimitTurnSpeedArrivalTime,BestRange,BestMag
Empty,0,0,100,0,0,0,0,0,False,0,0,0,Default,0,0,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,0,0,0
GrapMove_BeamSaber_StandBy,0.5,1,0,-100,-40,0,0,0,False,0,2,0,Inherit,2000,0.5,Linear,0,"(X=-500,Y=200,Z=0)",False,False,False,False,True,0,90,1,0,180,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,360,1,0,0
GrapMove_BeamSaber_Homing,0.2,0.74,1000,0,-40,100,0.1,1000,False,0,2,12000,AbsImpact,12000,0.5,Linear,0,"(X=-500,Y=200,Z=0)",False,False,False,False,True,180,50,2,360,50,2,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_BeamSaber_Grap01,0,0.5,200,0,-40,300,0,0,False,0,10,12000,AbsImpact,6000,0.3,Linear,0,"(X=-100,Y=-400,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap02,0,0.3,50,0,-40,300,0,0,False,0,10,0,AbsImpact,6000,0.3,Linear,0,"(X=-300,Y=300,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap03_1,0,1,10,0,-40,300,0,0,False,0,10,4000,AbsImpact,4000,0.2,Linear,0,"(X=-200,Y=0,Z=500)",True,True,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap03_2,0,0.1,50,0,-40,0,0,0,False,0,3,6000,AbsImpact,6000,0.1,Linear,0,"(X=1500,Y=0,Z=-1500)",True,False,False,False,True,100,100,0.1,100,100,0.1,0,0,0,Linear,0,0,0,"(X=5000,Y=0,Z=0)",True,True,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Lost,0,0.1,50,0,-40,0,0,0,False,0,2,6000,AbsImpact,0,0.2,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_Anchor,0,3,2000,0,0,0,0,0,False,0,0,12000,AbsImpact,12000,1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,1,0,0
GrapMove_BeamSickle_StandBy,0.5,1,0,-100,-40,500,0,0,False,0,0,0,Inherit,0,1,Linear,0,"(X=-700,Y=0,Z=0)",False,True,False,False,True,0,90,1,0,180,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,360,1,0,0
