---,LockOnDistance,HorizontalFieldOfView,VerticalFieldOfView,BoostGaugeRecvDisableSec,GrapProgressDataIndex01,GrapProgressDataIndex02,GrapProgressDataIndex03,MotionID01,MotionSpeed01,MotionSync01,MotionID02,MotionSpeed02,MotionSync02,MotionID03,MotionSpeed03,MotionSync03,AttackCollisionIndex01,AttackCollisionIndex02,AttackCollisionIndex03,AttackCollisionIndex04,AttackCollisionIndex05,SeFileName01,SeFileName02,SeFileName03,MoveDataID01,MoveDataID02,MoveDataID03,TargetNotice
Empty,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,False
Grap_BeamSaber_Grap01,10000,75,75,0,2,0,0,2000,0.7,0,0,1,-1,0,1,-1,1,2,3,4,5,0,0,0,1,0,0,False
Grap_BeamSaber_Grap02,10000,75,75,0,3,0,0,2001,1,0,0,1,-1,0,1,-1,6,7,8,9,10,Robot_Dash_Start,Robot_Dash_Loop,0,2,0,0,True
Grap_BeamSaber_Grap03,10000,0,0,0,4,0,0,2002,1.7,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,3,0,7,False
Grap_BeamSaber_Grap04,10000,0,0,0,5,0,0,2003,1.7,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,4,0,7,False
Grap_BeamSaber_Grap05,10000,0,0,0,0,0,0,2004,1,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,5,6,7,False
Grap_Anchor_Grap01,10000,75,75,0,0,0,0,2130,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,8,0,0,False
Grap_BeamSickle_StandBy,11000,75,75,0,8,9,0,2030,0.9,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,9,0,0,False
Grap_BeamSickle_Homing,11000,75,75,0,9,0,0,2031,1,0,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,10,0,0,True
Grap_BeamSickle_Grap01,11000,0,0,0,0,0,0,2032,2.5,0,0,1,-1,0,1,-1,16,17,18,19,20,0,0,0,11,0,0,False
Grap_Lance_StandBy,10000,75,75,0,11,0,0,2120,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,12,0,0,False
Grap_Lance_Homing,10000,75,75,0,12,13,0,2121,1,-1,0,1,-1,0,1,-1,21,22,23,24,25,Robot_Dash_Start,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,13,0,0,False
Grap_Lance_Grap01,10000,0,0,0,0,0,0,2122,1.2,-1,0,1,-1,0,1,-1,26,27,28,29,30,0,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,14,15,0,False
Grap_Lance_Miss,10000,0,0,0,12,0,0,2123,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,16,0,0,False
Grap_Whip_StandBy,8000,75,75,0,15,0,0,2040,0.95,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,17,0,0,False
Grap_Whip_Grap01,8000,75,75,0,0,0,0,2042,0.95,-1,0,1,-1,0,1,-1,31,32,33,34,35,0,0,0,18,0,0,False
Grap_TwinSword_StandBy_R,10000,0,0,0,17,0,0,2140,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,19,0,0,False
Grap_TwinSword_Homing_R,10000,0,0,0,18,23,0,2141,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,20,0,0,False
Grap_TwinSword_Grap_R01,10000,0,0,0,19,23,0,2142,0.7,-1,0,1,-1,0,1,-1,36,37,38,39,40,0,0,0,21,0,0,False
Grap_TwinSword_Grap_R02,10000,0,0,0,20,23,0,2143,0.5,0.05,0,1,-1,0,1,-1,41,42,43,44,45,0,0,0,22,23,0,False
Grap_TwinSword_Grap_R03,10000,0,0,0,21,23,0,2144,0.5,0.05,0,1,-1,0,1,-1,46,47,48,49,50,0,0,0,24,25,0,False
Grap_TwinSword_Grap_R04,10000,0,0,0,22,23,0,2145,1.3,0.1,0,1,-1,0,1,-1,51,52,53,54,55,0,0,0,26,27,0,False
Grap_TwinSword_Grap_R05,10000,0,0,0,0,0,0,2146,0.13,0.1,0,1,-1,0,1,-1,56,57,58,59,60,0,0,0,28,0,0,False
Grap_TwinSword_End_R,10000,0,0,0,0,0,0,2147,2,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,29,0,0,False
Grap_TwinSword_StandBy_L,10000,0,0,0,25,0,0,2050,1.4,-1,2080,1.4,-1,0,1,-1,0,0,0,0,0,0,0,0,30,31,32,False
Grap_TwinSword_Homing_L,10000,0,0,0,26,27,0,2051,1,-1,2081,1,-1,0,1,-1,61,62,63,64,65,Robot_Dash_Start,Robot_Dash_Loop,0,33,34,0,False
Grap_TwinSword_Grap_L01,10000,0,0,0,27,0,0,0,1,-1,0,1,-1,0,1,-1,61,62,63,64,65,Robot_Dash_Start,Robot_Dash_Loop,0,35,36,0,False
Grap_TwinSword_Grap_L02,10000,0,0,0,0,0,0,2052,3,0,2082,3,0,0,1,-1,66,67,68,69,70,0,0,0,37,0,0,False
Grap_LargeSword_StandBy,12000,75,75,0,29,0,0,2010,2,0.5,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,38,0,0,False
Grap_LargeSword_Homing,12000,75,75,0,30,0,0,2011,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,39,0,0,False
Grap_LargeSword_Grap01,12000,0,0,0,31,0,0,2012,0.8,-1,0,1,-1,0,1,-1,71,72,73,74,75,0,0,0,40,0,0,False
Grap_LargeSword_Grap02,12000,0,0,0,0,0,0,2014,0.7,0.2,0,1,-1,0,1,-1,76,77,78,79,80,0,0,0,41,42,0,False
Grap_HammerCanon_StandBy,7000,75,75,0,33,0,0,2110,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,43,0,0,False
Grap_HammerCanon_Homing,7000,75,75,0,34,0,0,2113,1,0.2,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,44,45,0,False
Grap_HammerCanon_Grap01,7000,75,75,0,0,0,0,2114,1.1,-1,0,1,-1,0,1,-1,81,82,83,84,85,0,0,0,46,0,0,False
Grap_LargeBeamSaber_StandBy_R,22000,75,75,0,36,0,0,2020,1.4,-1,2021,10,-1,0,1,-1,0,0,0,0,0,Wp_BemaSlash_SetUp,0,0,47,0,0,False
Grap_LargeBeamSaber_Grap_R01,22000,75,75,0,37,0,0,2022,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,48,0,0,False
Grap_LargeBeamSaber_Grap_R02,22000,75,75,0,0,0,0,2023,1,0.2,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,49,50,0,False
Grap_LargeBeamSaber_StandBy_L,22000,75,75,0,39,0,0,2060,1.8,-1,2061,10,-1,0,1,-1,0,0,0,0,0,Wp_BemaSlash_SetUp,0,0,49,0,0,False
Grap_LargeBeamSaber_Grap_L01,22000,75,75,0,40,0,0,2062,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,50,0,0,False
Grap_LargeBeamSaber_Grap_L02,22000,75,75,0,0,0,0,2022,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,47,48,0,False
Grap_Pressure,20000,75,0,0,42,0,0,40,0.5,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,51,0,0,False
Grap_Pressure_2,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,51,0,0,False
Grap_MachineJack,20000,75,0,0,44,0,0,40,0.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,52,0,0,False
Grap_MachineJack2,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,53,0,0,False
Grap_LargeSword_L,20000,75,0,0,46,0,0,40,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,54,0,0,False
Grap_LargeSword_L2,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,54,0,0,False
Grap_Boss_LargeSword_StandBy,35000,75,75,0,48,0,0,2010,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,55,0,0,False
Grap_Boss_LargeSword_Homing,35000,75,75,0,49,0,0,2011,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,56,0,0,False
Grap_Boss_LargeSword_Grap01,35000,0,0,0,50,0,0,2012,0.5,0.2,0,1,-1,0,1,-1,104,105,106,107,108,0,0,0,57,0,0,False
