---,GreetingId,GreetingName,GreetingTypeId,GreetingItemId,GreetingSceneId,IsBuddy,NeedIntimacyRankId,Priority,TriggerId,IsDailyReset
1001,1001,お正月(開始挨拶),1,101,1,True,1,1,26,False
1002,1002,節分(開始挨拶),1,201,1,True,1,1,27,False
1003,1003,バレンタインデー(開始挨拶),1,202,1,True,1,1,28,False
1004,1004,ひな祭り(開始挨拶),1,301,1,True,1,1,29,False
1005,1005,ホワイトデー(開始挨拶),1,302,1,True,1,1,30,False
1006,1006,ゴールデンウィーク(開始挨拶),1,501,1,True,1,1,31,False
1007,1007,海の日(開始挨拶),1,701,1,True,1,1,32,False
1008,1008,ハロウィン(開始挨拶),1,1001,1,True,1,1,33,False
1009,1009,クリスマス(開始挨拶),1,1201,1,True,1,1,34,False
1010,1010,大晦日(開始挨拶),1,1202,1,True,1,1,35,False
1011,1011,プレイヤー誕生日(開始挨拶),1,1301,1,True,1,8,11,False
1012,1012,バディ誕生日(開始挨拶),1,1302,1,True,1,7,13,False
1013,1013,プレイヤー誕生日(終了挨拶),1,1301,2,True,1,11,1,False
1014,1014,エイプリルフール(開始挨拶),1,401,1,True,1,1,47,False
1015,1015,お花見(開始挨拶),1,402,1,True,1,1,48,False
1016,1016,こどもの日(開始挨拶),1,502,1,True,1,1,49,False
1017,1017,母の日(開始挨拶),1,503,1,True,1,1,50,False
1018,1018,ジューンブライド(開始挨拶),1,601,1,True,1,1,51,False
1019,1019,梅雨(開始挨拶),1,602,1,True,1,1,53,False
1020,1020,父の日(開始挨拶),1,603,1,True,1,1,52,False
1021,1021,七夕(開始挨拶),1,702,1,True,1,1,54,False
1022,1022,夏休み(開始挨拶),1,703,1,True,1,1,55,False
1023,1023,花火(開始挨拶),1,801,1,True,1,1,56,False
1024,1024,月見(開始挨拶),1,901,1,True,1,1,61,False
1025,1025,敬老の日(開始挨拶),1,902,1,True,1,1,57,False
1026,1026,運動会(開始挨拶),1,903,1,True,1,1,59,False
1027,1027,衣替え(開始挨拶),1,1002,1,True,1,1,58,False
1028,1028,文化の日(開始挨拶),1,1101,1,True,1,1,60,False
1029,1029,七五三(開始挨拶),1,1102,1,True,1,1,46,False
1030,1030,1周年記念(開始挨拶),1,1401,1,True,1,1,38,False
2001,2001,バディ記念日10日目(開始挨拶),2,10,1,True,1,11,18,False
2002,2002,バディ記念日30日目(開始挨拶),2,30,1,True,1,11,19,False
2003,2003,バディ記念日50日目(開始挨拶),2,50,1,True,1,11,20,False
2004,2004,バディ記念日100日目(開始挨拶),2,100,1,True,1,11,21,False
2005,2005,バディ記念日180日目(開始挨拶),2,180,1,True,1,11,22,False
2006,2006,バディ記念日222日目(開始挨拶),2,222,1,True,1,11,23,False
2007,2007,バディ記念日300日目(開始挨拶),2,300,1,True,1,11,24,False
2008,2008,バディ記念日365日目(開始挨拶),2,365,1,True,1,11,25,False
2009,2009,バディ記念日500日目(開始挨拶),2,500,1,True,1,11,39,False
2010,2010,バディ記念日600日目(開始挨拶),2,600,1,True,1,11,40,False
2011,2011,バディ記念日700日目(開始挨拶),2,700,1,True,1,11,41,False
2012,2012,バディ記念日1095日目(開始挨拶),2,1095,1,True,1,11,62,False
3001,3001,都道府県ランキング15位以内に入賞(開始挨拶),3,1,1,False,1,9,36,False
4001,4001,遠征ログイン(開始挨拶),4,101,1,False,3,6,9,True
4002,4002,店舗ログイン(開始挨拶),4,201,1,False,3,5,10,True
4003,4003,曜日ログイン(開始挨拶),4,301,1,False,3,4,8,True
5001,5001,2日以上連続ログイン(開始挨拶),5,101,1,False,1,3,6,True
6001,6001,14日以上ぶりにログイン(開始挨拶),6,101,1,False,1,2,7,True
