---,Id,Name,TypeId,BeginAt,EndAt,CurrentBeginAt,CurrentEndAt,IsBatchCheck
101,101,お正月,1,2020-01-01 08:00:00,2020-01-09 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
201,201,節分,1,2020-01-27 08:00:00,2020-02-04 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
202,202,バレンタインデー,1,2020-02-07 08:00:00,2020-02-15 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
301,301,ひな祭り,1,2020-02-24 08:00:00,2020-03-04 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
302,302,ホワイトデー,1,2020-03-07 08:00:00,2020-03-15 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
401,401,エイプリルフール,1,2020-04-01 08:00:00,2020-04-02 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
402,402,お花見,1,2020-04-02 08:00:00,2020-05-01 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
501,501,ゴールデンウィーク,1,2020-05-01 08:00:00,2020-05-11 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
502,502,こどもの日,1,2020-05-03 08:00:00,2020-05-06 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
503,503,母の日,1,2020-05-08 08:00:00,2020-05-11 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
601,601,ジューンブライド,1,2020-06-01 08:00:00,2020-07-01 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
602,602,梅雨,1,2020-06-01 08:00:00,2020-07-22 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
603,603,父の日,1,2020-06-19 08:00:00,2020-06-22 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
701,701,海の日,1,2020-07-15 08:00:00,2020-07-21 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
702,702,七夕,1,2020-07-01 08:00:00,2020-07-08 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
703,703,夏休み,1,2020-07-22 08:00:00,2020-09-01 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
801,801,花火,1,2020-08-08 08:00:00,2020-08-23 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
901,901,月見,1,2020-09-06 08:00:00,2020-09-14 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
902,902,敬老の日,1,2020-09-14 08:00:00,2020-09-17 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
903,903,運動会,1,2020-09-24 08:00:00,2020-10-08 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1001,1001,ハロウィン,1,2019-10-24 08:00:00,2019-11-01 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1002,1002,衣替え,1,2019-10-01 08:00:00,2019-10-09 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1101,1101,文化の日,1,2019-11-01 08:00:00,2019-11-04 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1102,1102,七五三,1,2019-11-07 08:00:00,2019-11-16 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1201,1201,クリスマス,1,2019-12-18 08:00:00,2019-12-26 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1202,1202,大晦日,1,2019-12-26 08:00:00,2020-01-01 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,True
1301,1301,プレイヤー誕生日,11,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,False
1302,1302,バディ誕生日,12,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,False
1401,1401,1周年記念,1,2019-11-21 08:00:00,2019-11-29 06:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,False
