---,HeadId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,LockRange,LockX,LockY,LockYExpansion,LockX2,LockY2,LockY2Expansion,LockOnSiteMinX_Assult,LockOnSiteMinY_Assult,LockOnSiteMinX_Vanguard,LockOnSiteMinY_Vanguard,LockOnSiteMinX_Support,LockOnSiteMinY_Support,LockOnSiteMinX_Ranger,LockOnSiteMinY_Ranger,LockObstacleCnt,LockSpeed,ScopeLockAdjust,GatlingLockSpeed,GatlingLockSize,AimPriorityPlayer,ReduceSkillLv,CameraSpeedX_Attack,CameraSpeedY_Attack,CameraSpeedX_NoAttack,CameraSpeedY_NoAttack,ARSkillGauge_100,ARSkillGauge_75,ARSkillGauge_50,ARSkillGauge_25,Team_ARSkillGauge_25,Team_ARSkill_LVUP,Fulldrive_HomingPower
1,1,ソリディア・H,RobotMaker001,100,0,0,0,0,0,0,0,0,2000,1800,0,2400,660,470,10,660,470,10,135,135,135,135,135,135,135,135,0.5,0.6,0.95,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
2,2,カーディナル・H,RobotMaker002,100,0,0,0,0,0,0,0.02,0,1800,1600,0,2000,780,560,20,780,560,20,145,145,145,145,145,145,145,145,0.9,0.6,0.85,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
3,3,スクラッパー・H,RobotMaker001,100,0,0,0,0,0,0,-0.01,0,2100,1900,0,2500,1030,350,0,1030,350,0,125,125,125,125,125,125,125,125,0.5,0.6,1,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
4,4,サイトヘッド・H,RobotMaker003,70,0,0,0,0,0,0,-0.01,0,2100,1900,0,3000,450,330,10,450,330,10,90,90,90,90,90,90,90,90,0.5,0.6,1.3,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
5,5,CU・レイター・H,RobotMaker003,80,0,0,0,0,0,0,0.02,0,1800,1600,0,2600,520,380,0,520,380,0,120,120,120,120,120,120,120,120,0.5,1,1.1,0.4,275,0,0,1,1,1,1,1,1,1,1,1,0,0
6,6,ゴールテン・D・H,RobotMaker001,120,0,0,0,0,0,0,-0.02,0,2200,2000,0,2200,590,640,80,590,640,80,140,140,140,140,140,140,140,140,0.5,0.6,0.85,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
7,7,アンゼロイ・H,RobotMaker002,70,0,0,0,0,0,0,0.01,0,1900,1700,0,2300,530,470,10,530,470,10,125,125,125,125,125,125,125,125,0.5,0.6,1.1,0.1,275,0,0,0.92,0.92,1.2,1.2,1,1,1,1,1,0,0
8,8,ディスドス・H,RobotMaker002,80,0,0,0,0,0,0,-0.02,0,2200,2000,0,2700,660,340,10,660,340,10,100,100,100,100,100,100,100,100,0.9,0.6,1.1,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
9,9,サブライガ・H,RobotMaker002,100,0,0,0,0,0,0,0,0,2000,1800,0,2100,660,460,10,660,460,10,220,160,220,160,220,160,220,160,0.9,0.6,0.8,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
10,10,ファルマコン・H,RobotMaker001,100,0,0,0,0,0,0,0.03,0,1700,1500,10,1900,510,660,90,510,660,90,100,160,100,160,100,160,100,160,0.5,1,0.9,0.4,275,1,0,1,1,1,1,1,1,1,1,1,0,0
