---,LegId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,MidStrongholdAttackAdjust,IdleBoostGaugeDecStart,IdleBoostGaugeDecDuration,IdleBoostGaugeRecvDisableSec,WalkMoveInitSpeed,WalkMoveLimitSpeed,WalkMoveAcceleration,WalkMoveAcceleEaseType,WalkMoveAcceleEaseExp,WalkMoveTurningAbility,WalkReverseAcceleration,WalkReverseInitSpeed,WalkBoostGaugeDecStart,WalkBoostGaugeDecDuration,WalkBoostGaugeRecvDisableSec,LandMinimumDuration,LandActionReservoirTime,LandActionDirRejecSec,LandBoostGaugeDecStart,LandBoostGaugeDecDuration,LandBoostGaugeRecvDisableSec,WallJumpUpMoveInitSpeed,WallJumpUpMoveLimitSpeed,WallJumpUpMoveAcceleration,WallJumpUpMoveAcceleEaseType,WallJumpUpMoveAcceleEaseExp,WallJumpUpMoveTurningAbility,WallJumpUpJumpInitSpeed,WallJumpUpJumpLimitSpeed,WallJumpUpJumpAcceleration,WallJumpUpJumpAcceleEaseType,WallJumpUpJumpAcceleEaseExp,WallJumpUpActionGravity,WallJumpUpActionMoveMaxSpeed,WallJumpUpMinimumDuration,WallJumpUpActionReservoirTime,WallJumpUpActionDirRejecSec,WallJumpUpBoostGaugeDecStart,WallJumpUpBoostGaugeDecDuration,WallJumpUpBoostGaugeRecvDisableSec,RotateDegSpdSec,RotateDegLimit,GetUpSec,GetUpJumpSec,GetUpJumpSpeed,OverHeatBoostGaugeAddPer,MidStrongholdDownAdjust,GutsVal1_Bonus,GutsVal2_Bonus,GutsVal3_Bonus,GutsVal4_Bonus,GutsVal5_Bonus,CameraOffsetRateX_adjust,CameraOffsetRateZ_adjust,PortAreaSizeBonus
1,1,ソリディア・L,RobotMaker001,200,0,0,0,0,0,0,0,0,2000,1800,0,1,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.2,0,0,0,550,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
2,2,カーディナル・L,RobotMaker002,130,0,0,0,0,0,0,0.02,0,1800,1600,0,1.06,0,550,0,450,820,0.3,Linear,5,1,3,500,0,550,0,0.2,0,0,0,550,0,5200,3500,1,Linear,5,10,7500,3000,1,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,0
3,3,スクラッパー・L,RobotMaker001,170,0,0,0,0,0,0,-0.01,0,2100,1900,0,1,0,1000,0,450,800,0.3,Linear,5,1,5,400,0,1000,0,0.25,0,0,0,1000,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,1000,1,0,0,0,0,0,0,0,0,0
4,4,サイトヘッド・L,RobotMaker003,170,0,0,0,0,0,0,-0.01,0,2100,1900,0,1,0,550,0,550,700,1,EaseIn,2,1,1,800,0,550,0,0.2,0,0,0,550,0,5500,3000,1,Linear,5,1,4300,2000,1,Linear,5,4.5,4000,0.45,0.16,0.45,-10,0,0,800,160,0.4,0.4,1500,1,0.5,0,0,0,0,0,0,0,0
5,5,CU・レイター・L,RobotMaker003,140,0,0,0,0,0,0,0.02,0,1800,1600,0,1,0,550,0,400,700,0.3,EaseIn,5,1,1,800,0,550,0,0.3,0,0,0,550,0,6000,4000,1,Linear,5,10,6000,2000,0.5,Linear,5,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,200
6,6,ゴールテン・D・L,RobotMaker001,220,0,0,0,0,0,0,-0.02,0,2200,2100,0,0.95,0,1000,0,450,800,1,EaseIn,5,1,1,800,0,1000,0,0.3,0,0,0,1000,0,5500,3000,1,Linear,5,1,4300,2000,1,Linear,5,4.5,4000,0.45,0.16,0.45,-10,0,0,800,160,0.5,0.5,1000,1,0,0,0,0,0,0,0,0,0
7,7,アンゼロイ・L,RobotMaker002,130,0,0,0,0,0,0,0.01,0,1900,1700,0,1.03,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.2,0,0,0,550,0,3500,4500,0.4,Linear,5,10,7200,3000,0.7,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1.1,0,0,0,0,0,0,0,0,0
8,8,ディスドス・L,RobotMaker002,130,0,0,0,0,-0.07,-0.1,-0.02,0,2200,2000,0,1,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.1,0,0,0,550,0,5000,3000,1,Linear,5,10,7200,2300,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
9,9,サブライガ・L,RobotMaker002,120,0,0,-0.07,-0.07,0,0,0,0,2000,1800,0,1,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.2,0,0,0,550,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
10,10,ファルマコン・L,RobotMaker001,160,0,0,0,0,0,0,0.03,0,1700,1500,30,1,0,550,0,400,800,0.3,EaseIn,5,1,3,800,0,550,0,0.3,0,0,0,550,0,6000,4000,1,Linear,5,10,8000,3000,1,Linear,5,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,0
