---,LineColorId,LineColorName,R,G,B,Texture,ReleaseLevel,LineColorDescprition,IsDefault
0,0,None,0,0,0,None,999,※削除不可,False
1,1,装備なし,0,0,0,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_00.Tex_Custom_AR_Sub_ColorIcon_00',90,,True
2,2,レッド,130,5,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_01.Tex_Custom_AR_Sub_ColorIcon_01',999,,False
3,3,バーミリオン,140,12,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_02.Tex_Custom_AR_Sub_ColorIcon_02',999,,False
4,4,オレンジ,140,30,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_03.Tex_Custom_AR_Sub_ColorIcon_03',999,,False
5,5,イエロー,100,40,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_04.Tex_Custom_AR_Sub_ColorIcon_04',999,,False
6,6,クリームイエロー,90,40,20,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_05.Tex_Custom_AR_Sub_ColorIcon_05',999,,False
7,7,リーフグリーン,80,70,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_06.Tex_Custom_AR_Sub_ColorIcon_06',999,,False
8,8,ライトグリーン,20,80,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_07.Tex_Custom_AR_Sub_ColorIcon_07',999,,False
9,9,グリーン,5,60,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_08.Tex_Custom_AR_Sub_ColorIcon_08',999,,False
10,10,ビリジアン,5,60,20,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_09.Tex_Custom_AR_Sub_ColorIcon_09',999,,False
11,11,ピーコックグリーン,2,50,40,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_10.Tex_Custom_AR_Sub_ColorIcon_10',999,,False
12,12,ブルーグリーン,2,45,60,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_11.Tex_Custom_AR_Sub_ColorIcon_11',999,,False
13,13,ターコイズブルー,2,35,80,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_12.Tex_Custom_AR_Sub_ColorIcon_12',999,,False
14,14,スカイブルー,2,15,70,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_13.Tex_Custom_AR_Sub_ColorIcon_13',999,,False
15,15,ブルー,0,12,60,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_14.Tex_Custom_AR_Sub_ColorIcon_14',999,,False
16,16,コバルトブルー,0,5,50,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_15.Tex_Custom_AR_Sub_ColorIcon_15',999,,False
17,17,マリンブルー,5,2,100,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_16.Tex_Custom_AR_Sub_ColorIcon_16',999,,False
18,18,ウルトラマリン,10,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_17.Tex_Custom_AR_Sub_ColorIcon_17',999,,False
19,19,ディープパープル,15,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_18.Tex_Custom_AR_Sub_ColorIcon_18',999,,False
20,20,バイオレット,24,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_19.Tex_Custom_AR_Sub_ColorIcon_19',999,,False
21,21,ディープマゼンタ,40,5,160,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_20.Tex_Custom_AR_Sub_ColorIcon_20',999,,False
22,22,マゼンタ,70,5,120,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_21.Tex_Custom_AR_Sub_ColorIcon_21',999,,False
23,23,ローズ,80,5,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_22.Tex_Custom_AR_Sub_ColorIcon_22',999,,False
24,24,モンザレッド,100,5,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_23.Tex_Custom_AR_Sub_ColorIcon_23',999,,False
