---,Id,Name,LoginBonusTypeId,BeginAt,ReceptionEndAt,EndAt
1,1,ログインボーナス,1,2019-05-01 08:00:00,2019-05-16 06:00:00,2019-05-16 06:00:00
2,2,ログインボーナス,1,2019-05-16 08:00:00,2019-06-01 06:00:00,2019-06-01 06:00:00
3,3,ゴールデンログインボーナス,2,2019-04-24 08:00:00,2019-05-09 06:00:00,2019-05-09 06:00:00
4,4,ログインボーナス,1,2019-06-01 08:00:00,2019-06-16 06:00:00,2019-06-16 06:00:00
5,5,ログインボーナス,1,2019-06-16 08:00:00,2019-07-01 06:00:00,2019-07-01 06:00:00
6,6,ログインボーナス,1,2019-07-01 08:00:00,2019-07-16 06:00:00,2019-07-16 06:00:00
7,7,ジューンブライドログイン,2,2019-05-29 08:00:00,2019-06-13 06:00:00,2019-06-13 06:00:00
8,8,ログインボーナス,1,2019-07-16 08:00:00,2019-08-01 06:00:00,2019-08-01 06:00:00
9,9,【8月前半】ログインボーナス,1,2019-08-01 08:00:00,2019-08-16 06:00:00,2019-08-16 06:00:00
10,10,【8月後半】ログインボーナス,1,2019-08-16 08:00:00,2019-09-01 06:00:00,2019-09-01 06:00:00
11,11,廃止【9月前半】ログインボーナス,1,2019-08-01 08:00:00,2019-08-16 06:00:00,2019-08-16 06:00:00
12,12,あっちぃーぜ！夏休みログボ1,2,2019-07-03 08:00:00,2019-07-18 06:00:00,2019-07-18 06:00:00
13,13,あっちぃーぜ！夏休みログボ2,2,2019-07-18 08:00:00,2019-08-02 06:00:00,2019-08-02 06:00:00
14,14,冷静に考えても残の暑ログインボーナス1,2,2019-08-07 08:00:00,2019-08-22 06:00:00,2019-08-22 06:00:00
15,15,冷静に考えても残の暑ログインボーナス2,2,2019-08-22 08:00:00,2019-09-06 06:00:00,2019-09-06 06:00:00
16,16,【9月前半】ログインボーナス,1,2019-09-01 08:00:00,2019-09-16 06:00:00,2019-09-16 06:00:00
17,17,【9月後半】ログインボーナス,1,2019-09-16 08:00:00,2019-10-01 06:00:00,2019-10-01 06:00:00
18,18,お月見キャンペーンログインボーナス,2,2019-09-11 08:00:00,2019-10-11 06:00:00,2019-10-11 06:00:00
19,19,【10月前半】ログインボーナス,1,2019-10-01 08:00:00,2019-10-16 06:00:00,2019-10-16 06:00:00
20,20,【10月後半】ログインボーナス,1,2019-10-16 08:00:00,2019-11-01 06:00:00,2019-11-01 06:00:00
21,21,月が奇麗だべログインボーナス1,2,2019-09-11 08:00:00,2019-09-26 06:00:00,2019-09-26 06:00:00
22,22,月が奇麗だべログインボーナス2,2,2019-09-26 08:00:00,2019-10-11 06:00:00,2019-10-11 06:00:00
23,23,ハロウィンログインボーナス1,2,2019-10-16 08:00:00,2019-10-31 06:00:00,2019-10-31 06:00:00
24,24,ハロウィンログインボーナス2,2,2019-10-31 08:00:00,2019-11-15 06:00:00,2019-11-15 06:00:00
25,25,【11月前半】ログインボーナス,1,2019-11-01 08:00:00,2019-11-16 06:00:00,2019-11-16 06:00:00
26,26,【11月後半】ログインボーナス,1,2019-11-16 08:00:00,2019-12-01 06:00:00,2019-12-01 06:00:00
27,27,一周年記念ログインボーナス1,2,2019-11-20 08:00:00,2019-12-04 06:00:00,2019-12-04 06:00:00
28,28,一周年記念ログインボーナス2,2,2019-12-04 08:00:00,2019-12-18 06:00:00,2019-12-18 06:00:00
29,29,一周年記念ログインボーナス3,2,2019-12-18 08:00:00,2020-01-01 06:00:00,2020-01-01 06:00:00
