---,LoginBonusId,LoginDays,RewardId,RewardRealityId,ExchangeRewardId,ExchangeRewardRealityId
1,1,1,1000100,1,1000040,1
2,1,2,1000100,1,1000040,1
3,1,3,1000500,3,1000040,1
4,1,4,1000100,1,1000040,1
5,1,5,6020103,3,1000040,1
6,2,1,1000100,1,1000040,1
7,2,2,1000100,1,1000040,1
8,2,3,1000500,3,1000040,1
9,2,4,1000100,1,1000040,1
10,2,5,6020105,3,1000040,1
11,3,1,4010061,3,1000040,1
12,3,2,4010062,3,1000040,1
13,3,3,4010063,4,1000040,1
14,3,4,4010064,3,1000040,1
15,3,5,4010065,4,1000040,1
16,4,1,1000100,1,1000040,1
17,4,2,1000100,1,1000040,1
18,4,3,1000500,3,1000040,1
19,4,4,1000100,1,1000040,1
20,4,5,6020106,3,1000040,1
21,5,1,1000100,1,1000040,1
22,5,2,1000100,1,1000040,1
23,5,3,1000500,3,1000040,1
24,5,4,1000100,1,1000040,1
25,5,5,6020107,3,1000040,1
26,6,1,1000100,1,1000040,1
27,6,2,1000100,1,1000040,1
28,6,3,1000500,3,1000040,1
29,6,4,1000100,1,1000040,1
30,6,5,6020109,3,1000040,1
31,7,1,6020190,3,1000040,1
32,7,2,4050031,3,1000040,1
33,7,3,3000127,4,1002000,3
34,7,4,4050034,3,1000040,1
35,7,5,4050035,4,1000040,1
36,8,1,1000100,1,1000040,1
37,8,2,1000100,1,1000040,1
38,8,3,1000500,3,1000040,1
39,8,4,1000100,1,1000040,1
40,8,5,6020111,3,1000040,1
41,9,1,1000100,1,1000040,1
42,9,2,1000100,1,1000040,1
43,9,3,1000500,3,1000040,1
44,9,4,1000100,1,1000040,1
45,9,5,6020113,3,1000040,1
46,10,1,1000100,1,1000040,1
47,10,2,1000100,1,1000040,1
48,10,3,1000500,3,1000040,1
49,10,4,1000100,1,1000040,1
50,10,5,6020115,3,1000040,1
51,11,1,1000100,1,1000040,1
52,11,2,1000100,1,1000040,1
53,11,3,1000500,3,1000040,1
54,11,4,1000100,1,1000040,1
55,11,5,6020121,3,1000040,1
56,12,1,4090021,1,1000040,1
57,12,2,4090022,1,1000040,1
58,12,3,4090023,3,1000040,1
59,12,4,4090024,1,1000040,1
60,12,5,4090025,3,1000040,1
61,13,1,4020091,1,1000040,1
62,13,2,4020092,1,1000040,1
63,13,3,4020093,3,1000040,1
64,13,4,4020094,1,1000040,1
65,13,5,4020095,3,1000040,1
66,14,1,4010051,4,1000040,1
67,14,2,4010052,4,1000040,1
68,14,3,4010053,4,1000040,1
69,14,4,4010054,4,1000040,1
70,14,5,4010055,5,1000040,1
71,15,1,4050011,4,1000040,1
72,15,2,4050012,4,1000040,1
73,15,3,4050013,4,1000040,1
74,15,4,4050014,4,1000040,1
75,15,5,4050015,5,1000040,1
76,16,1,1000100,1,1000040,1
77,16,2,1000100,1,1000040,1
78,16,3,1000500,3,1000040,1
79,16,4,1000100,1,1000040,1
80,16,5,6020121,3,1000040,1
81,17,1,1000500,1,1000040,1
82,17,2,1000500,1,1000040,1
83,17,3,1001000,3,1000040,1
84,17,4,1000500,1,1000040,1
85,17,5,6020119,3,1000040,1
86,18,1,1000500,1,1000040,1
87,18,2,1001000,3,1000040,1
88,18,3,1000500,1,1000040,1
89,18,4,1001000,3,1000040,1
90,18,5,6020117,3,1000040,1
91,19,1,1000500,1,1000040,1
92,19,2,1000500,1,1000040,1
93,19,3,1001000,3,1000040,1
94,19,4,1000500,1,1000040,1
95,19,5,6020075,3,1000040,1
96,20,1,1000500,1,1000040,1
97,20,2,1000500,1,1000040,1
98,20,3,1001000,3,1000040,1
99,20,4,1000500,1,1000040,1
100,20,5,6020069,3,1000040,1
101,21,1,4040061,4,1000040,1
102,21,2,4040062,4,1000040,1
103,21,3,4040063,4,1000040,1
104,21,4,4040064,4,1000040,1
105,21,5,4040065,5,1000040,1
106,22,1,4060041,4,1000040,1
107,22,2,4060042,4,1000040,1
108,22,3,4060043,4,1000040,1
109,22,4,4060044,4,1000040,1
110,22,5,4060045,5,1000040,1
111,23,1,4030081,4,1000040,1
112,23,2,4030082,4,1000040,1
113,23,3,4030083,4,1000040,1
114,23,4,4030084,4,1000040,1
115,23,5,4030085,5,1000040,1
116,24,1,4080031,4,1000040,1
117,24,2,4080032,4,1000040,1
118,24,3,4080033,4,1000040,1
119,24,4,4080034,4,1000040,1
120,24,5,4080035,5,1000040,1
121,25,1,1000500,1,1000040,1
122,25,2,1000500,1,1000040,1
123,25,3,1001000,1,1000040,1
124,25,4,1000500,1,1000040,1
125,25,5,6020204,3,1000040,1
126,26,1,1000500,1,1000040,1
127,26,2,1000500,1,1000040,1
128,26,3,1001000,1,1000040,1
129,26,4,1000500,1,1000040,1
130,26,5,6020205,3,1000040,1
131,27,1,99010012,4,1000040,1
132,27,2,99010013,4,1000040,1
133,27,3,99010014,4,1000040,1
134,27,4,99010015,4,1000040,1
135,27,5,99010016,5,1000040,1
136,28,1,99010017,4,1000040,1
137,28,2,99010018,4,1000040,1
138,28,3,99010019,4,1000040,1
139,28,4,99010020,4,1000040,1
140,28,5,99010021,5,1000040,1
141,29,1,99010022,4,1000040,1
142,29,2,99010023,4,1000040,1
143,29,3,99010024,4,1000040,1
144,29,4,99010025,4,1000040,1
145,29,5,99010026,5,1000040,1
146,30,1,1000500,1,1000040,1
147,30,2,1000500,1,1000040,1
148,30,3,1001000,1,1000040,1
149,30,4,1000500,1,1000040,1
150,30,5,6020206,3,1000040,1
151,31,1,1000500,1,1000040,1
152,31,2,1000500,1,1000040,1
153,31,3,1001000,1,1000040,1
154,31,4,1000500,1,1000040,1
155,31,5,6020207,3,1000040,1
156,32,1,1000100,1,1000040,1
157,32,2,1000100,1,1000040,1
158,32,3,1000200,1,1000040,1
159,32,4,1000100,1,1000040,1
160,32,5,6020093,3,1000040,1
161,33,1,1000100,1,1000040,1
162,33,2,1000100,1,1000040,1
163,33,3,1000200,1,1000040,1
164,33,4,1000100,1,1000040,1
165,33,5,99010027,5,1000040,1
166,34,1,1000100,1,1000040,1
167,34,2,1000100,1,1000040,1
168,34,3,1000200,1,1000040,1
169,34,4,1000100,1,1000040,1
170,34,5,6020095,3,1000040,1
171,35,1,1000100,1,1000040,1
172,35,2,1000100,1,1000040,1
173,35,3,1000200,1,1000040,1
174,35,4,1000100,1,1000040,1
175,35,5,99010028,5,1000040,1
176,36,1,1000100,1,1000040,1
177,36,2,1000100,1,1000040,1
178,36,3,6020099,3,1000040,1
179,36,4,1000100,1,1000040,1
180,36,5,99010031,5,1000040,1
181,37,1,1000100,1,1000040,1
182,37,2,1000100,1,1000040,1
183,37,3,1000200,1,1000040,1
184,37,4,1000100,1,1000040,1
185,37,5,99010032,5,1000040,1
186,38,1,1000100,1,1000040,1
187,38,2,1000100,1,1000040,1
188,38,3,6020101,3,1000040,1
189,38,4,1000100,1,1000040,1
190,38,5,99010033,5,1000040,1
191,39,1,1000100,1,1000040,1
192,39,2,1000100,1,1000040,1
193,39,3,1000200,1,1000040,1
194,39,4,1000100,1,1000040,1
195,39,5,99010034,5,1000040,1
196,40,1,1000100,1,1000040,1
197,40,2,1000100,1,1000040,1
198,40,3,6020104,3,1000040,1
199,40,4,1000100,1,1000040,1
200,40,5,99010035,5,1000040,1
201,41,1,1000100,1,1000040,1
202,41,2,1000100,1,1000040,1
203,41,3,1000200,1,1000040,1
204,41,4,1000100,1,1000040,1
205,41,5,99010036,5,1000040,1
206,42,1,1000100,1,1000040,1
207,42,2,1000100,1,1000040,1
208,42,3,6020108,3,1000040,1
209,42,4,1000100,1,1000040,1
210,42,5,99010037,5,1000040,1
211,43,1,1000100,1,1000040,1
212,43,2,1000100,1,1000040,1
213,43,3,1000200,1,1000040,1
214,43,4,1000100,1,1000040,1
215,43,5,99010038,5,1000040,1
216,44,1,1000100,1,1000040,1
217,44,2,1000100,1,1000040,1
218,44,3,6020110,3,1000040,1
219,44,4,1000100,1,1000040,1
220,44,5,99010039,5,1000040,1
221,45,1,1000100,1,1000040,1
222,45,2,1000100,1,1000040,1
223,45,3,1000200,1,1000040,1
224,45,4,1000100,1,1000040,1
225,45,5,99010040,5,1000040,1
226,46,1,1000100,1,1000040,1
227,46,2,1000100,1,1000040,1
228,46,3,6020112,3,1000040,1
229,46,4,1000100,1,1000040,1
230,46,5,99010041,5,1000040,1
231,47,1,1000100,1,1000040,1
232,47,2,1000100,1,1000040,1
233,47,3,1000200,1,1000040,1
234,47,4,1000100,1,1000040,1
235,47,5,99010042,5,1000040,1
