---,ID,Name,TypeID,ReferenceID,Num,EffectID
1000,1,ボーナス効果なし,1,0,0,1
2011,2,ソリディア　1パーツ,2,1,1,1
2012,3,ソリディア　2パーツ,2,1,2,1
2013,4,ソリディア　3パーツ,2,1,3,1
2014,5,ソリディア　4パーツ,2,1,4,1
2015,6,ソリディア　5パーツ,2,1,5,1
2021,7,カーディナル　1パーツ,2,2,1,1
2022,8,カーディナル　2パーツ,2,2,2,1
2023,9,カーディナル　3パーツ,2,2,3,1
2024,10,カーディナル　4パーツ,2,2,4,1
2025,11,カーディナル　5パーツ,2,2,5,1
2031,12,スクラッパー　1パーツ,2,3,1,1
2032,13,スクラッパー　2パーツ,2,3,2,1
2033,14,スクラッパー　3パーツ,2,3,3,1
2034,15,スクラッパー　4パーツ,2,3,4,1
2035,16,スクラッパー　5パーツ,2,3,5,1
2041,17,サイトヘッド　1パーツ,2,4,1,1
2042,18,サイトヘッド　2パーツ,2,4,2,1
2043,19,サイトヘッド　3パーツ,2,4,3,1
2044,20,サイトヘッド　4パーツ,2,4,4,1
2045,21,サイトヘッド　5パーツ,2,4,5,1
2051,22,シーユー・レイター　1パーツ,2,5,1,1
2052,23,シーユー・レイター　2パーツ,2,5,2,1
2053,24,シーユー・レイター　3パーツ,2,5,3,1
2054,25,シーユー・レイター　4パーツ,2,5,4,1
2055,26,シーユー・レイター　5パーツ,2,5,5,1
2061,27,ゴールテン・ダー　1パーツ,2,6,1,1
2062,28,ゴールテン・ダー　2パーツ,2,6,2,1
2063,29,ゴールテン・ダー　3パーツ,2,6,3,1
2064,30,ゴールテン・ダー　4パーツ,2,6,4,1
2065,31,ゴールテン・ダー　5パーツ,2,6,5,1
2071,32,アンゼロイ　1パーツ,2,7,1,1
2072,33,アンゼロイ　2パーツ,2,7,2,1
2073,34,アンゼロイ　3パーツ,2,7,3,1
2074,35,アンゼロイ　4パーツ,2,7,4,1
2075,36,アンゼロイ　5パーツ,2,7,5,5
2081,37,ディスドス　1パーツ,2,8,1,1
2082,38,ディスドス　2パーツ,2,8,2,1
2083,39,ディスドス　3パーツ,2,8,3,1
2084,40,ディスドス　4パーツ,2,8,4,1
2085,41,ディスドス　5パーツ,2,8,5,1
2091,42,サブライガ　1パーツ,2,9,1,1
2092,43,サブライガ　2パーツ,2,9,2,1
2093,44,サブライガ　3パーツ,2,9,3,1
2094,45,サブライガ　4パーツ,2,9,4,1
2095,46,サブライガ　5パーツ,2,9,5,1
2101,47,ファルマコン　1パーツ,2,10,1,1
2102,48,ファルマコン　2パーツ,2,10,2,1
2103,49,ファルマコン　3パーツ,2,10,3,1
2104,50,ファルマコン　4パーツ,2,10,4,1
2105,51,ファルマコン　5パーツ,2,10,5,1
2111,52,ラピスヘッジ　1パーツ,2,11,1,1
2112,53,ラピスヘッジ　2パーツ,2,11,2,1
2113,54,ラピスヘッジ　3パーツ,2,11,3,1
2114,55,ラピスヘッジ　4パーツ,2,11,4,1
2115,56,ラピスヘッジ　5パーツ,2,11,5,1
2121,57,パ・フェクト　1パーツ,2,12,1,1
2122,58,パ・フェクト　2パーツ,2,12,2,1
2123,59,パ・フェクト　3パーツ,2,12,3,1
2124,60,パ・フェクト　4パーツ,2,12,4,1
2125,61,パ・フェクト　5パーツ,2,12,5,1
2131,62,エタニティ　1パーツ,2,13,1,1
2132,63,エタニティ　2パーツ,2,13,2,1
2133,64,エタニティ　3パーツ,2,13,3,1
2134,65,エタニティ　4パーツ,2,13,4,1
2135,66,エタニティ　5パーツ,2,13,5,1
2141,67,オキサイド　1パーツ,2,14,1,1
2142,68,オキサイド　2パーツ,2,14,2,1
2143,69,オキサイド　3パーツ,2,14,3,1
2144,70,オキサイド　4パーツ,2,14,4,1
2145,71,オキサイド　5パーツ,2,14,5,4
3011,72,ゾーイ・バーサス　1パーツ,3,1,1,1
3012,73,ゾーイ・バーサス　2パーツ,3,1,2,1
3013,74,ゾーイ・バーサス　3パーツ,3,1,3,1
3014,75,ゾーイ・バーサス　4パーツ,3,1,4,1
3015,76,ゾーイ・バーサス　5パーツ,3,1,5,1
3021,77,カイサル・ファガーストロム　1パーツ,3,2,1,1
3022,78,カイサル・ファガーストロム　2パーツ,3,2,2,1
3023,79,カイサル・ファガーストロム　3パーツ,3,2,3,1
3024,80,カイサル・ファガーストロム　4パーツ,3,2,4,1
3025,81,カイサル・ファガーストロム　5パーツ,3,2,5,1
3031,82,イドム・ドッド　1パーツ,3,3,1,1
3032,83,イドム・ドッド　2パーツ,3,3,2,1
3033,84,イドム・ドッド　3パーツ,3,3,3,1
3034,85,イドム・ドッド　4パーツ,3,3,4,1
3035,86,イドム・ドッド　5パーツ,3,3,5,1
3041,87,ザン・バーサス　1パーツ,3,4,1,1
3042,88,ザン・バーサス　2パーツ,3,4,2,1
3043,89,ザン・バーサス　3パーツ,3,4,3,1
3044,90,ザン・バーサス　4パーツ,3,4,4,1
3045,91,ザン・バーサス　5パーツ,3,4,5,1
