---,MissionId,MissionName,BuddyId,GroupId,OrderId,Difficulty,ModeId,IsDev,RewardId,GameModeId
1,1001,ディスドスキャンペーン１,0,1,1,1,1,False,99010001,0
2,1002,ディスドスキャンペーン２,0,1,2,1,1,False,99010002,0
3,1003,ディスドスキャンペーン３,0,1,3,1,1,False,4080015,0
4,1004,ディスドスキャンペーン４,0,1,4,2,1,False,7002004,0
5,2001,バレンタインキャンペーン１,0,2,1,1,1,False,3000127,0
6,2002,バレンタインキャンペーン２,0,2,2,3,1,False,7002003,0
7,2101,ジューンブライドキャンペーン１,0,6,1,3,1,False,4050032,0
8,2102,ジューンブライドキャンペーン２,0,6,2,3,1,False,7002020,0
9,4001,スクラッパーキャンペーン１,0,4,1,1,1,False,99010003,0
10,4002,スクラッパーキャンペーン２,0,4,2,1,1,False,99010004,0
11,4003,スクラッパーキャンペーン３,0,4,3,1,1,False,4030055,0
12,4004,スクラッパーキャンペーン４,0,4,4,2,1,False,99010005,0
13,9001,ソリキャン１,0,9,1,1,1,True,99010001,0
14,9002,ソリキャン２,0,9,2,1,1,True,99010002,0
15,9003,ソリキャン３,0,9,3,1,1,True,4080015,0
16,9004,ソリキャン４,0,9,4,2,1,True,7002004,0
17,5001,ファルマコンキャンペーン１,0,5,1,1,1,False,99010006,0
18,5002,ファルマコンキャンペーン２,0,5,2,1,1,False,99010007,0
19,5003,ファルマコンキャンペーン３,0,5,3,1,1,False,4100025,0
20,5004,ファルマコンキャンペーン４,0,5,4,2,1,False,99010008,0
21,7001,ラピスヘッジキャンペーン1-1,0,7,1,1,1,False,1000100,0
22,7002,ラピスヘッジキャンペーン1-2,0,7,2,1,1,False,1000100,0
23,7003,ラピスヘッジキャンペーン1-3,0,7,3,1,1,False,1000100,0
24,7004,ラピスヘッジキャンペーン1-4,0,7,4,1,1,False,1000100,0
25,7005,ラピスヘッジキャンペーン1-5,0,7,5,1,1,False,6030094,0
26,7011,ラピスヘッジキャンペーン2-1,0,7,11,2,1,False,1000200,0
27,7012,ラピスヘッジキャンペーン3-1,0,7,12,2,1,False,1000200,0
28,7013,ラピスヘッジキャンペーン4-1,0,7,13,2,1,False,1000200,0
29,7021,ラピスヘッジキャンペーン2-2,0,7,21,3,1,False,1000300,0
30,7022,ラピスヘッジキャンペーン3-2,0,7,22,3,1,False,1000300,0
31,7023,ラピスヘッジキャンペーン4-2,0,7,23,3,1,False,1000300,0
32,7101,ラピスヘッジキャンペーンA,0,7,101,1,1,False,4110041,0
33,7102,ラピスヘッジキャンペーンB,0,7,102,1,1,False,4110042,0
34,7103,ラピスヘッジキャンペーンC,0,7,103,1,1,False,4110043,0
35,7104,ラピスヘッジキャンペーンD,0,7,104,1,1,False,4110044,0
36,7105,ラピスヘッジキャンペーンE,0,7,105,1,1,False,4110045,0
37,7106,ラピスヘッジキャンペーンF,0,7,106,1,1,False,7002007,0
38,10001,パ・フェクトキャンペーン1-1,0,10,1,1,1,False,1001000,0
39,10002,パ・フェクトキャンペーン1-2,0,10,2,1,1,False,1002000,0
40,10003,パ・フェクトキャンペーン1-3,0,10,3,1,1,False,1002000,0
41,10004,パ・フェクトキャンペーン1-4,0,10,4,1,1,False,1003000,0
42,10005,パ・フェクトキャンペーン1-5,0,10,5,1,1,False,6030095,0
43,10011,パ・フェクトキャンペーン2-1,0,10,11,2,1,False,1002000,0
44,10012,パ・フェクトキャンペーン3-1,0,10,12,2,1,False,1002000,0
45,10013,パ・フェクトキャンペーン4-1,0,10,13,2,1,False,1002000,0
46,10021,パ・フェクトキャンペーン2-2,0,10,21,3,1,False,1002000,0
47,10022,パ・フェクトキャンペーン3-2,0,10,22,3,1,False,1002000,0
48,10023,パ・フェクトキャンペーン4-2,0,10,23,3,1,False,1003000,0
49,10101,パ・フェクトキャンペーンA,0,10,101,1,1,False,4120101,0
50,10102,パ・フェクトキャンペーンB,0,10,102,1,1,False,4120102,0
51,10103,パ・フェクトキャンペーンC,0,10,103,1,1,False,4120103,0
52,10104,パ・フェクトキャンペーンD,0,10,104,1,1,False,4120104,0
53,10105,パ・フェクトキャンペーンE,0,10,105,1,1,False,4120105,0
54,10106,パ・フェクトキャンペーンF,0,10,106,1,1,False,7002008,0
55,8001,夏休みキャンペーン1,0,8,1,1,1,False,6020116,0
56,8002,夏休みキャンペーン2,0,8,2,1,1,False,3000136,0
57,8003,夏休みキャンペーン3,0,8,3,1,1,False,7002021,0
58,91001,マッチングミッション（ヒカリ1）,0,91,1,1,1,False,7003105,0
59,91002,マッチングミッション（ヒカリ2）,0,91,2,1,1,False,7003106,0
60,91003,マッチングミッション（ヒカリ3）,0,91,3,2,1,False,7003107,0
61,91004,マッチングミッション（ヒカリ4）,0,91,4,2,1,False,7003108,0
62,91005,マッチングミッション（ヒカリ5）,0,91,5,3,1,False,7003109,0
63,91006,マッチングミッション（ヒカリ6）,0,91,6,3,1,False,7003110,0
64,92001,マッチングミッション（レイカ1）,0,92,1,1,1,False,7003205,0
65,92002,マッチングミッション（レイカ2）,0,92,2,1,1,False,7003206,0
66,92003,マッチングミッション（レイカ3）,0,92,3,2,1,False,7003207,0
67,92004,マッチングミッション（レイカ4）,0,92,4,2,1,False,7003208,0
68,92005,マッチングミッション（レイカ5）,0,92,5,3,1,False,7003209,0
69,92006,マッチングミッション（レイカ6）,0,92,6,3,1,False,7003210,0
70,93001,マッチングミッション（シャーリー1）,0,93,1,1,1,False,7003305,0
71,93002,マッチングミッション（シャーリー2）,0,93,2,1,1,False,7003306,0
72,93003,マッチングミッション（シャーリー3）,0,93,3,2,1,False,7003307,0
73,93004,マッチングミッション（シャーリー4）,0,93,4,2,1,False,7003308,0
74,93005,マッチングミッション（シャーリー5）,0,93,5,3,1,False,7003309,0
75,93006,マッチングミッション（シャーリー6）,0,93,6,3,1,False,7003310,0
76,94001,マッチングミッション（イサドラ1）,0,94,1,1,1,False,7003405,0
77,94002,マッチングミッション（イサドラ2）,0,94,2,1,1,False,7003406,0
78,94003,マッチングミッション（イサドラ3）,0,94,3,2,1,False,7003407,0
79,94004,マッチングミッション（イサドラ4）,0,94,4,2,1,False,7003408,0
80,94005,マッチングミッション（イサドラ5）,0,94,5,3,1,False,7003409,0
81,94006,マッチングミッション（イサドラ6）,0,94,6,3,1,False,7003410,0
82,95001,マッチングミッション（ナギ1）,0,95,1,1,1,False,7003505,0
83,95002,マッチングミッション（ナギ2）,0,95,2,1,1,False,7003506,0
84,95003,マッチングミッション（ナギ3）,0,95,3,2,1,False,7003507,0
85,95004,マッチングミッション（ナギ4）,0,95,4,2,1,False,7003508,0
86,95005,マッチングミッション（ナギ5）,0,95,5,3,1,False,7003509,0
87,95006,マッチングミッション（ナギ6）,0,95,6,3,1,False,7003510,0
88,96001,マッチングミッション（カズマ1）,0,96,1,1,1,False,7003605,0
89,96002,マッチングミッション（カズマ2）,0,96,2,1,1,False,7003606,0
90,96003,マッチングミッション（カズマ3）,0,96,3,2,1,False,7003607,0
91,96004,マッチングミッション（カズマ4）,0,96,4,2,1,False,7003608,0
92,96005,マッチングミッション（カズマ5）,0,96,5,3,1,False,7003609,0
93,96006,マッチングミッション（カズマ6）,0,96,6,3,1,False,7003610,0
94,97001,ハロウィンキャンペーン1,0,97,1,1,1,False,3000121,0
95,97002,ハロウィンキャンペーン2,0,97,2,1,1,False,6020123,0
96,98001,キザナ共闘戦線ミッション1,0,98,1,3,20,False,7000229,0
97,98002,キザナ共闘戦線ミッション2,0,98,2,3,20,False,7000230,0
98,98003,キザナ共闘戦線ミッション3,0,98,3,3,20,False,7000231,0
99,98004,キザナ共闘戦線ミッション4,0,98,4,3,20,False,7000232,0
100,99001,O.G. グングニル精製ミッション1,0,99,1,3,30,False,1000500,0
101,99002,O.G. グングニル精製ミッション2,0,99,2,3,30,False,1000500,0
102,99003,O.G. グングニル精製ミッション3,0,99,3,3,30,False,3000047,0
103,100001,新武器グラン・ラーゴ先行配備1,0,100,1,3,30,False,1000050,0
104,100002,新武器グラン・ラーゴ先行配備2,0,100,2,3,30,False,1000050,0
105,100003,新武器グラン・ラーゴ先行配備3,0,100,3,3,30,False,3000113,0
106,101001,新武器フォルツパレット先行配備1,0,101,1,3,30,False,1000050,0
107,101002,新武器フォルツパレット先行配備2,0,101,2,3,30,False,1000050,0
108,101003,新武器フォルツパレット先行配備3,0,101,3,3,30,False,3000143,0
109,102001,新武器ハープーン・エギユ先行配備1,0,102,1,3,30,False,1000050,0
110,102002,新武器ハープーン・エギユ先行配備2,0,102,2,3,30,False,1000050,0
111,102003,新武器ハープーン・エギユ先行配備3,0,102,3,3,30,False,3000040,0
112,103001,アンゼロイ先行配備1,0,103,1,3,30,False,99010029,0
113,103002,アンゼロイ先行配備2,0,103,2,3,30,False,99010030,0
114,103003,アンゼロイ先行配備3,0,103,3,3,30,False,4070075,0
115,104001,キザナ共闘戦線ミッション5,0,104,1,3,20,False,7000236,0
116,104002,キザナ共闘戦線ミッション6,0,104,2,3,20,False,7000237,0
117,105001,X7133精製ミッション1,0,105,1,3,30,False,1000300,0
118,105002,X7133精製ミッション2,0,105,2,3,30,False,1000300,0
119,105003,X7133精製ミッション3,0,105,3,3,30,False,3000099,0
120,106001,アンゼロイキャンペーン1-1,0,106,1,1,1,False,1000100,0
121,106002,アンゼロイキャンペーン1-2,0,106,2,1,30,False,1000200,0
122,106003,アンゼロイキャンペーン1-3,0,106,3,1,30,False,1000200,0
123,106004,アンゼロイキャンペーン1-4,0,106,4,1,30,False,1000300,0
124,106005,アンゼロイキャンペーン1-5,0,106,5,1,1,False,6030090,0
125,106011,アンゼロイキャンペーン2-1,0,106,11,2,30,False,1000200,0
126,106012,アンゼロイキャンペーン3-1,0,106,12,2,30,False,1000200,0
