---,MissionId,OptionClearTypeId,OptionClearNum,ClearTypeId,ClearNum,Text
1,1001,0,0,500,50,全国対戦で、「ディスドス・Ｈ」か「ディスドス・Ａ」パーツを装備して、敵ARを50体撃破する
2,1002,0,0,505,100000,全国対戦で、「ディスドス・Ｂ」か「ディスドス・Ｌ」パーツを装備して、自機がポート内にいる状態で敵ARに100000ダメージ与える
3,1003,0,0,701,100,全国対戦で、「ディスドス・Ｗ」パーツを装備して、ポートを100回占拠する
4,1004,0,0,2000,3,ディスドスキャンペーンを3個、クリアする
5,2001,103,15,1100,5,全国対戦で、15回チーム内で5位以上になる
6,2002,103,20,1100,1,全国対戦で、20回チーム内で1位以上になる
7,2101,0,0,1101,5,全国対戦で5回勝利する
8,2102,103,20,1100,4,全国対戦で、20回チーム内で4位以上になる
9,9001,0,0,500,10,全国対戦で、「ソリディア・Ｈ」と、「ソリディア・Ａ」パーツを装備して、敵ARを10体撃破する
10,9002,0,0,505,10000,全国対戦で、「ソリディア・Ｂ」か「ソリディア・Ｌ」パーツを装備して、自機がポート内にいる状態で敵ARに10000ダメージ与える
11,9003,0,0,701,10,全国対戦で、「ソリディア・Ｗ」パーツを装備して、ポートを10回占拠する
12,9004,0,0,2000,3,ソリディアキャンペーンを3個、クリアする
13,4001,0,0,507,10000,全国対戦で、「スクラッパー・Ｈ」か「スクラッパー・Ａ」パーツを装備して、ビーム武器で10000ダメージ与える
14,4002,0,0,700,450,全国対戦で、「スクラッパー・Ｂ」か「スクラッパー・Ｌ」パーツを装備して、ポート占拠時間を450秒達成する
15,4003,101,2,1200,1,全国対戦で、「スクラッパー・Ｗ」パーツを装備して、2試合敵コアへの攻撃を行う
16,4004,0,0,1102,1000,全国対戦で、「スクラッパー」パーツをいずれか１つ装備して、ナイスプレイを1000回達成する
17,5001,0,0,503,8000,全国対戦で、「ファルマコン・Ｈ」か「ファルマコン・Ａ」パーツを装備して、格闘武器で8000ダメージ与える
18,5002,0,0,1102,100,全国対戦で、「ファルマコン・Ｂ」か「ファルマコン・Ｌ」パーツを装備して、ナイスプレイを100回達成する
19,5003,0,0,701,10,全国対戦で、「ファルマコン・Ｗ」パーツを装備して、ポートを10回占拠する
20,5004,0,0,700,4500,全国対戦で、「ファルマコン」パーツをいずれか１つ装備して、ポート占拠時間を4500秒達成する
21,7001,0,0,1103,3,全国対戦で、3回出撃する
22,7002,101,5,100,20,全国対戦で、5試合敵マグを20体撃破する
23,7003,0,0,1102,200,全国対戦で、ナイスプレイを200回達成する
24,7004,0,0,504,45000,全国対戦で、敵ARに45000ダメージ与える
25,7005,0,0,1101,5,全国対戦で5回勝利する
26,7011,0,0,701,10,全国対戦で、「ラピスヘッジ」パーツをいずれか１つ装備して、ポートを10回占拠する
27,7012,0,0,500,20,全国対戦で、「ラピスヘッジ」パーツをいずれか１つ装備して、敵ARを20体撃破する
28,7013,0,0,900,50,全国対戦で、「ラピスヘッジ」パーツをいずれか１つ装備して、50回フルドライブする
29,7021,0,0,501,40,全国対戦で、「ラピスヘッジ・Ｈ」か「ラピスヘッジ・Ａ」パーツを装備して、自機がポート内にいる状態で、敵ARを40体撃破する
30,7022,103,5,1100,4,全国対戦で、「ラピスヘッジ・Ｗ」パーツを装備して、5回チーム内で4位以上になる
31,7023,0,0,700,6000,全国対戦で、「ラピスヘッジ・Ｂ」か「ラピスヘッジ・Ｌ」パーツを装備して、ポート占拠時間を6000秒達成する
32,7101,0,0,2000,3,ラピスヘッジキャンペーンを3個、クリアする
33,7102,0,0,2000,5,ラピスヘッジキャンペーンを5個、クリアする
34,7103,0,0,2000,8,ラピスヘッジキャンペーンを8個、クリアする
35,7104,0,0,2000,11,ラピスヘッジキャンペーンを11個、クリアする
36,7105,0,0,2000,14,ラピスヘッジキャンペーンを14個、クリアする
37,7106,0,0,2000,16,ラピスヘッジキャンペーンを16個、クリアする
38,10001,0,0,1103,3,全国対戦で、3回出撃する
39,10002,101,3,100,20,全国対戦で、3試合敵マグを20体撃破する
40,10003,0,0,1102,300,全国対戦で、ナイスプレイを300回達成する
41,10004,0,0,504,30000,全国対戦で、敵ARに30000ダメージ与える
42,10005,0,0,1101,3,全国対戦で3回勝利する
43,10011,0,0,701,20,全国対戦で、「パ・フェクト」パーツをいずれか１つ装備して、ポートを20回占拠する
44,10012,0,0,500,30,全国対戦で、「パ・フェクト」パーツをいずれか１つ装備して、敵ARを30体撃破する
45,10013,0,0,900,40,全国対戦で、「パ・フェクト」パーツをいずれか１つ装備して、40回フルドライブする
46,10021,0,0,501,20,全国対戦で、「パ・フェクト・Ｈ」か「パ・フェクト・Ａ」パーツを装備して、自機がポート内にいる状態で、敵ARを20体撃破する
47,10022,0,0,1103,3,全国対戦で、「パ・フェクト・Ｗ」パーツを装備して、3回出撃する
48,10023,0,0,700,3000,全国対戦で、「パ・フェクト・Ｂ」か「パ・フェクト・Ｌ」パーツを装備して、ポート占拠時間を3000秒達成する
49,10101,0,0,2000,3,パ・フェクトキャンペーンを3個、クリアする
50,10102,0,0,2000,5,パ・フェクトキャンペーンを5個、クリアする
51,10103,0,0,2000,8,パ・フェクトキャンペーンを8個、クリアする
52,10104,0,0,2000,11,パ・フェクトキャンペーンを11個、クリアする
53,10105,0,0,2000,14,パ・フェクトキャンペーンを14個、クリアする
54,10106,0,0,2000,16,パ・フェクトキャンペーンを16個、クリアする
55,8001,101,5,1102,35,全国対戦で、5試合ナイスプレイを35回達成する
56,8002,0,0,1101,10,全国対戦で10回勝利する
57,8003,0,0,505,90000,全国対戦で、自機がポート内にいる状態で敵ARに90000ダメージ与える
58,91001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
59,91002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
60,91003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
61,91004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
62,91005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
63,91006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
64,92001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
65,92002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
66,92003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
67,92004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
68,92005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
69,92006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
70,93001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
71,93002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
72,93003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
73,93004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
74,93005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
75,93006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
76,94001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
77,94002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
78,94003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
79,94004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
80,94005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
81,94006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
82,95001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
83,95002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
84,95003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
85,95004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
86,95005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
87,95006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
88,96001,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
89,96002,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
90,96003,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
91,96004,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
92,96005,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
93,96006,0,0,1101,10,全国対戦で、マッチングチャンス開催日に累計10試合勝利する
94,97001,0,0,700,150,全国対戦で、ポート占拠時間を150秒達成する
95,97002,0,0,502,20000,全国対戦で、射撃武器で20000ダメージ与える
96,98001,0,0,3000,20,キザナ共闘戦線で、Sランクで20回勝利する
97,98002,0,0,550,100000,キザナ共闘戦線で、敵エース(フェーズ3)に100000ダメージ与える
98,98003,0,0,250,30,キザナ共闘戦線で、Xマグを30体撃破する
99,98004,0,0,3005,10,キザナ共闘戦線で、1度も撃破されずに10回勝利する
100,99001,0,0,700,1000,全国対戦/キザナ共闘戦線で、ポート占拠時間を1000秒達成する
101,99002,0,0,502,100000,全国対戦/キザナ共闘戦線で、射撃武器で100000ダメージ与える
102,99003,0,0,500,100,全国対戦/キザナ共闘戦線で、敵ARを100体撃破する
103,100001,0,0,507,50000,全国対戦/キザナ共闘戦線で、ビーム武器で50000ダメージ与える
104,100002,101,3,100,30,全国対戦/キザナ共闘戦線で、3試合敵マグを30体撃破する
105,100003,0,0,601,100000,全国対戦/キザナ共闘戦線で、アサルトで100000ダメージ与える
106,101001,0,0,508,50000,全国対戦/キザナ共闘戦線で、実弾武器で50000ダメージ与える
107,101002,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
108,101003,0,0,700,3000,全国対戦/キザナ共闘戦線で、ポート占拠時間を3000秒達成する
109,102001,0,0,508,10000,全国対戦/キザナ共闘戦線で、実弾武器で10000ダメージ与える
110,102002,101,3,620,2,全国対戦/キザナ共闘戦線で、3試合サポートで2分対戦する
111,102003,0,0,505,50000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに50000ダメージ与える
