---,MissionId,ConditionGroupId,ClearItemTypeId,ClearItemId
1,1001,1,102,80001
2,1001,1,102,80003
3,1002,1,102,80002
4,1002,1,102,80004
5,1003,1,102,80005
6,9001,1,102,10001
7,9001,2,102,10003
8,9002,1,102,10002
9,9002,1,102,10004
10,9003,1,102,10005
11,4001,1,102,30001
12,4001,1,102,30003
13,4002,1,102,30002
14,4002,1,102,30004
15,4003,1,102,30005
16,4004,1,102,30001
17,4004,1,102,30002
18,4004,1,102,30003
19,4004,1,102,30004
20,4004,1,102,30005
21,5001,1,102,100001
22,5001,1,102,100003
23,5002,1,102,100002
24,5002,1,102,100004
25,5003,1,102,100005
26,5004,1,102,100001
27,5004,1,102,100002
28,5004,1,102,100003
29,5004,1,102,100004
30,5004,1,102,100005
31,7011,1,102,110001
32,7011,1,102,110002
33,7011,1,102,110003
34,7011,1,102,110004
35,7011,1,102,110005
36,7012,1,102,110001
37,7012,1,102,110002
38,7012,1,102,110003
39,7012,1,102,110004
40,7012,1,102,110005
41,7013,1,102,110001
42,7013,1,102,110002
43,7013,1,102,110003
44,7013,1,102,110004
45,7013,1,102,110005
46,7021,1,102,110001
47,7021,1,102,110003
48,7022,1,102,110005
49,7023,1,102,110002
50,7023,1,102,110004
51,10011,1,102,120001
52,10011,1,102,120002
53,10011,1,102,120003
54,10011,1,102,120004
55,10011,1,102,120005
56,10012,1,102,120001
57,10012,1,102,120002
58,10012,1,102,120003
59,10012,1,102,120004
60,10012,1,102,120005
61,10013,1,102,120001
62,10013,1,102,120002
63,10013,1,102,120003
64,10013,1,102,120004
65,10013,1,102,120005
66,10021,1,102,120001
67,10021,1,102,120003
68,10022,1,102,120005
69,10023,1,102,120002
70,10023,1,102,120004
71,106011,1,102,70001
72,106011,1,102,70002
73,106011,1,102,70003
74,106011,1,102,70004
75,106011,1,102,70005
76,106012,1,102,70001
77,106012,1,102,70002
78,106012,1,102,70003
79,106012,1,102,70004
80,106012,1,102,70005
81,106013,1,102,70001
82,106013,1,102,70002
83,106013,1,102,70003
84,106013,1,102,70004
85,106013,1,102,70005
86,106021,1,102,70001
87,106021,1,102,70003
88,106022,1,102,70005
89,106023,1,102,70002
90,106023,1,102,70004
91,103001,1,102,20001
92,103001,1,102,90001
93,103001,1,102,80001
94,103002,1,102,20003
95,103002,1,102,90003
96,103002,1,102,80003
97,103003,1,102,20005
98,103003,1,102,90005
99,103003,1,102,80005
100,116001,1,102,10001
101,116001,1,102,60001
102,116001,1,102,30001
103,116001,1,102,100001
