---,MissionGroupId,MissionGroupName,BeginAt,EndAt,HideAt
1,1,ディスドスキャンペーン,2019-01-15 08:00:00,2019-04-01 06:00:00,2020-04-01 06:00:00
2,2,バレンタインキャンペーン,2019-02-01 08:00:00,2019-02-15 06:00:00,2020-02-15 06:00:00
3,4,スクラッパーキャンペーン,2019-03-06 08:00:00,2019-04-17 06:00:00,2020-04-17 06:00:00
4,9,ソリディアキャンペーン,2018-12-01 08:00:00,2019-02-01 06:00:00,2020-02-01 06:00:00
5,5,ファルマコンキャンペーン,2019-04-22 08:00:00,2019-06-12 06:00:00,2020-06-12 06:00:00
6,6,JBキャンペーン,2019-05-29 08:00:00,2019-06-26 06:00:00,2020-06-26 06:00:00
7,7,ラピスヘッジキャンペーン,2019-06-03 08:00:00,2019-07-24 06:00:00,2020-07-24 06:00:00
8,8,夏休みキャンペーン,2019-07-03 08:00:00,2019-08-02 06:00:00,2020-08-02 06:00:00
9,10,パ・フェクトキャンペーン,2019-08-21 08:00:00,2019-09-04 06:00:00,2020-09-04 06:00:00
10,91,ヒカリマッチング,2020-02-25 08:00:00,2020-02-26 06:00:00,2030-01-01 06:00:00
11,92,レイカマッチング,2020-02-07 08:00:00,2020-02-08 06:00:00,2030-01-01 06:00:00
12,93,シャーリーマッチング,2020-02-13 08:00:00,2020-02-14 06:00:00,2030-01-01 06:00:00
13,94,イサドラマッチング,2020-02-19 08:00:00,2020-02-20 06:00:00,2030-01-01 06:00:00
14,95,ナギマッチング,2020-02-19 08:00:00,2020-02-20 06:00:00,2030-01-01 06:00:00
15,96,カズママッチング,2020-02-25 08:00:00,2020-02-26 06:00:00,2030-01-01 06:00:00
16,97,ハロウィンキャンペーン,2019-10-16 08:00:00,2019-11-15 06:00:00,2020-11-15 06:00:00
17,98,キザナ共闘戦線ミッション,2019-10-30 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
18,99,グングニルミッション,2019-11-06 08:00:00,2019-11-27 06:00:00,2020-11-27 06:00:00
19,100,新武器グラン・ラーゴ先行配備,2019-12-25 08:00:00,2020-01-08 06:00:00,2021-01-08 06:00:00
20,101,新武器フォルツパレット先行配備,2019-12-25 08:00:00,2020-01-08 06:00:00,2021-01-08 06:00:00
21,102,新武器ハープーン・エギユ先行配備,2019-12-25 08:00:00,2020-01-08 06:00:00,2021-01-08 06:00:00
22,103,アンゼロイ先行配備,2020-01-15 08:00:00,2020-01-29 06:00:00,2021-01-29 06:00:00
23,104,キザナ共闘戦線2ミッション,2020-01-08 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
24,105,X7133精製ミッション,2020-01-29 08:00:00,2020-02-19 06:00:00,2021-02-19 06:00:00
25,106,アンゼロイキャンペーン,2020-02-05 08:00:00,2020-02-26 06:00:00,2021-02-26 06:00:00
26,107,ブルームブラスター先行配備,2020-02-26 08:00:00,2020-03-11 06:00:00,2021-03-11 06:00:00
27,108,カラミッタ先行配備,2020-02-26 08:00:00,2020-03-11 06:00:00,2021-03-11 06:00:00
28,109,ヘルシャフト先行配備,2020-02-26 08:00:00,2020-03-11 06:00:00,2021-03-11 06:00:00
29,110,ブーメラング-AS先行配備,2010-04-08 08:00:00,2010-04-22 06:00:00,2011-04-22 06:00:00
30,111,エヴォルフィア先行配備,2010-04-08 08:00:00,2010-04-22 06:00:00,2011-04-22 06:00:00
31,112,マジアステルス先行配備,2010-04-08 08:00:00,2010-04-22 06:00:00,2011-04-22 06:00:00
32,113,単装導弾　双撃先行配備,2020-05-20 08:00:00,2020-06-03 06:00:00,2021-06-03 06:00:00
33,114,斬絶弾　幻月先行配備,2020-05-20 08:00:00,2020-06-03 06:00:00,2021-06-03 06:00:00
34,115,爆撃砲　加具土先行配備,2020-05-20 08:00:00,2020-06-03 06:00:00,2021-06-03 06:00:00
35,116,エタニティ先行配備,2010-06-17 08:00:00,2010-07-01 06:00:00,2011-07-01 06:00:00
36,117,エクステルス先行配備,2020-07-01 08:00:00,2020-07-15 06:00:00,2021-07-15 06:00:00
37,118,大刃　水薙先行配備,2020-07-01 08:00:00,2020-07-15 06:00:00,2021-07-15 06:00:00
38,119,テンペスト先行配備,2020-07-01 08:00:00,2020-07-15 06:00:00,2021-07-15 06:00:00
39,120,O.G.ティターン精製ミッション,2020-03-18 08:00:00,2020-04-29 06:00:00,2021-04-29 06:00:00
40,121,O.G.メテオライト精製ミッション,2020-06-03 08:00:00,2020-07-15 06:00:00,2021-07-15 06:00:00
41,122,オキサイド鹵獲ミッション,2020-05-27 08:00:00,2020-06-17 06:00:00,2021-06-17 06:00:00
42,123,オキサイドカラー入手ミッション,2010-04-29 08:00:00,2010-05-20 06:00:00,2011-05-20 06:00:00
43,124,5000ナイスプレイチャレンジ,2020-07-01 08:00:00,2020-08-26 06:00:00,2021-08-26 06:00:00
44,125,エタニティキャンペーン,2010-07-08 08:00:00,2010-07-29 06:00:00,2011-07-29 06:00:00
45,126,【共通】累計プレイ時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
