---,MissionId,MissionReleaseItemId,IntValue,TimeValue
1,9001,11,0,2018-12-01 08:00:00
2,9001,12,0,2019-02-01 06:00:00
3,9002,11,0,2018-12-01 08:00:00
4,9002,12,0,2019-02-01 06:00:00
5,9003,11,0,2018-12-01 08:00:00
6,9003,12,0,2019-02-01 06:00:00
7,9004,11,0,2018-12-01 08:00:00
8,9004,12,0,2019-02-01 06:00:00
9,9004,1,9001,0001-01-01 00:00:00
10,9004,1,9002,0001-01-01 00:00:00
11,9004,1,9003,0001-01-01 00:00:00
12,4004,1,4001,0001-01-01 00:00:00
13,4004,1,4002,0001-01-01 00:00:00
14,4004,1,4003,0001-01-01 00:00:00
15,5004,1,5001,0001-01-01 00:00:00
16,5004,1,5002,0001-01-01 00:00:00
17,5004,1,5003,0001-01-01 00:00:00
18,7005,1,7004,0001-01-01 00:00:00
19,7004,1,7003,0001-01-01 00:00:00
20,7003,1,7002,0001-01-01 00:00:00
21,7002,1,7001,0001-01-01 00:00:00
22,7021,1,7011,0001-01-01 00:00:00
23,7022,1,7012,0001-01-01 00:00:00
24,7023,1,7013,0001-01-01 00:00:00
25,7102,1,7101,0001-01-01 00:00:00
26,7103,1,7102,0001-01-01 00:00:00
27,7104,1,7103,0001-01-01 00:00:00
28,7105,1,7104,0001-01-01 00:00:00
29,7106,1,7105,0001-01-01 00:00:00
30,10005,1,10004,0001-01-01 00:00:00
31,10004,1,10003,0001-01-01 00:00:00
32,10003,1,10002,0001-01-01 00:00:00
33,10002,1,10001,0001-01-01 00:00:00
34,10021,1,10011,0001-01-01 00:00:00
35,10022,1,10012,0001-01-01 00:00:00
36,10023,1,10013,0001-01-01 00:00:00
37,10102,1,10101,0001-01-01 00:00:00
38,10103,1,10102,0001-01-01 00:00:00
39,10104,1,10103,0001-01-01 00:00:00
40,10105,1,10104,0001-01-01 00:00:00
41,10106,1,10105,0001-01-01 00:00:00
42,8002,1,8001,0001-01-01 00:00:00
43,8003,1,8002,0001-01-01 00:00:00
44,91002,1,91001,0001-01-01 00:00:00
45,91003,1,91002,0001-01-01 00:00:00
46,91004,11,91003,2030-12-01 08:00:00
47,91005,1,91004,0001-01-01 00:00:00
48,91006,1,91005,0001-01-01 00:00:00
49,92002,1,92001,0001-01-01 00:00:00
50,92003,1,92002,0001-01-01 00:00:00
51,92004,11,92003,2030-12-01 08:00:00
52,92005,1,92004,0001-01-01 00:00:00
53,92006,1,92005,0001-01-01 00:00:00
54,93002,1,93001,0001-01-01 00:00:00
55,93003,1,93002,0001-01-01 00:00:00
56,93004,11,93003,2030-12-01 08:00:00
57,93005,1,93004,0001-01-01 00:00:00
58,93006,1,93005,0001-01-01 00:00:00
59,94002,1,94001,0001-01-01 00:00:00
60,94003,1,94002,0001-01-01 00:00:00
61,94004,11,94003,2030-12-01 08:00:00
62,94005,1,94004,0001-01-01 00:00:00
63,94006,1,94005,0001-01-01 00:00:00
64,95002,1,95001,0001-01-01 00:00:00
65,95003,1,95002,0001-01-01 00:00:00
66,95004,11,95003,2030-12-01 08:00:00
67,95005,1,95004,0001-01-01 00:00:00
68,95006,1,95005,0001-01-01 00:00:00
69,96002,1,96001,0001-01-01 00:00:00
70,96003,1,96002,0001-01-01 00:00:00
71,96004,11,96003,2030-12-01 08:00:00
72,96005,1,96004,0001-01-01 00:00:00
73,96006,1,96005,0001-01-01 00:00:00
74,97002,1,97001,0001-01-01 00:00:00
75,99002,1,99001,0001-01-01 00:00:00
76,99003,1,99002,0001-01-01 00:00:00
77,100002,1,100001,0001-01-01 00:00:00
78,100002,11,0,2019-12-26 08:00:00
79,100002,12,0,2020-01-08 06:00:00
80,100003,1,100002,0001-01-01 00:00:00
81,100003,11,0,2019-12-27 08:00:00
82,100003,12,0,2020-01-08 06:00:00
83,101002,1,101001,0001-01-01 00:00:00
84,101002,11,0,2019-12-26 08:00:00
85,101002,12,0,2020-01-08 06:00:00
86,101003,1,101002,0001-01-01 00:00:00
87,101003,11,0,2019-12-27 08:00:00
88,101003,12,0,2020-01-08 06:00:00
89,102002,1,102001,0001-01-01 00:00:00
90,102002,11,0,2019-12-26 08:00:00
91,102002,12,0,2020-01-08 06:00:00
92,102003,1,102002,0001-01-01 00:00:00
93,102003,11,0,2019-12-27 08:00:00
94,102003,12,0,2020-01-08 06:00:00
95,103002,1,103001,0001-01-01 00:00:00
96,103002,11,0,2020-01-16 08:00:00
97,103002,12,0,2020-01-29 06:00:00
98,103003,1,103002,0001-01-01 00:00:00
99,103003,11,0,2020-01-17 08:00:00
100,103003,12,0,2020-01-29 06:00:00
101,105002,1,105001,0001-01-01 00:00:00
102,105003,1,105002,0001-01-01 00:00:00
103,106002,1,106001,0001-01-01 00:00:00
104,106003,1,106002,0001-01-01 00:00:00
105,106004,1,106003,0001-01-01 00:00:00
106,106005,1,106004,0001-01-01 00:00:00
107,106021,1,106011,0001-01-01 00:00:00
108,106022,1,106012,0001-01-01 00:00:00
109,106023,1,106013,0001-01-01 00:00:00
110,106102,1,106101,0001-01-01 00:00:00
111,106103,1,106102,0001-01-01 00:00:00
112,106104,1,106103,0001-01-01 00:00:00
113,106105,1,106104,0001-01-01 00:00:00
114,106106,1,106105,0001-01-01 00:00:00
115,107002,1,107001,0001-01-01 00:00:00
116,107002,11,0,2020-02-26 08:00:00
117,107003,1,107002,0001-01-01 00:00:00
118,107003,11,0,2020-02-26 08:00:00
119,108002,1,108001,0001-01-01 00:00:00
120,108002,11,0,2020-02-26 08:00:00
121,108003,1,108002,0001-01-01 00:00:00
122,108003,11,0,2020-02-26 08:00:00
123,109002,1,109001,0001-01-01 00:00:00
124,109002,11,0,2020-02-26 08:00:00
125,109003,1,109002,0001-01-01 00:00:00
126,109003,11,0,2020-02-26 08:00:00
127,110002,1,110001,0001-01-01 00:00:00
128,110002,11,0,2010-04-08 08:00:00
129,110003,1,110002,0001-01-01 00:00:00
130,110003,11,0,2010-04-08 08:00:00
