---,ID,NicePlayType,NicePlayScoreType,EvaluationType,NicePlayID,EvaluationTargetType,Description,NicePlayTitle,TexturePtr,Level,ScoreValue,IsTickcable,ThresholdCount,DisplayType
1,1,1,1,1,1,1,敵ARをキルした,ARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',1,20,1,1,1
2,2,1,1,2,2,1,敵ARを3回キルした,ARを3キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',2,40,1,3,0
3,3,1,1,2,3,1,敵ARを5回キルした,ARを5キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,80,1,5,0
4,4,1,1,2,4,1,敵ARを8回キルした,ARを8キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',5,150,1,8,0
5,5,1,1,2,5,1,1番最初に敵ARをキルした（敵味方あわせて）,一番最初にARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,50,0,0,0
6,6,1,1,1,6,1,味方をキルしたプレイヤーをキルした,味方の仇をキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',2,20,0,0,1
7,7,1,1,2,7,1,自身をキルしたプレイヤーをキルした,自分の仇をキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',2,20,0,0,1
8,8,1,1,2,8,1,自身よりプレイヤーランクが高い敵ARをキルした,高ランクのARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',4,50,0,0,0
9,9,1,1,2,9,1,1位の敵ARをキルした（対戦開始から2分以上経過後）,スコア1位のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,60,0,0,0
10,10,1,1,1,10,1,敵ARを2連続でキルした（帰還・死亡するまでの間に）,2連続でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',2,30,1,2,0
11,11,1,1,2,11,1,敵ARを3連続でキルした（帰還・死亡するまでの間に）,3連続でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,50,1,3,0
12,12,1,1,2,12,1,敵ARを5連続でキルした（帰還・死亡するまでの間に）,5連続でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',4,80,1,5,0
13,13,1,1,2,13,1,敵ARを7連続でキルした（帰還・死亡するまでの間に）,7連続でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',5,200,1,7,0
14,14,1,1,2,14,1,瀕死状態で敵ARをキルした,瀕死状態でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,40,0,1,0
15,15,1,1,1,15,1,格闘系武器で敵ARをキルした,格闘でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',2,30,1,1,0
16,16,1,1,2,16,1,格闘系武器で敵ARを3機キルした,格闘でARを3キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,50,1,3,0
17,17,1,1,2,17,1,格闘系武器で敵ARを5機キルした,格闘でARを5キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',4,80,1,5,0
18,18,1,1,2,18,2,チーム全員で合計30機の敵ARをキルした,チームでARを合計30キル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',4,150,0,30,0
19,19,1,1,2,19,1,ポート内から、そのポート内にいる敵ARをキルした,ポート内でARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,60,0,0,0
20,20,1,1,2,20,1,ポート外から、ポート内にいる敵ARをキルした,ポート外からARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,60,0,0,0
21,21,1,1,2,21,1,占拠中のポートにいる敵ARをキルした,ポート占拠中のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,50,0,0,0
22,22,1,1,2,22,1,味方ベース内にいる敵ARをキルした,味方ベース内のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,60,1,1,0
23,23,1,1,2,23,1,敵ベース内にいる敵ARをキルした,敵ベース内のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Kill_01.HUD_NicePlay_Icon_Kill_01',3,40,1,1,0
24,24,2,2,1,24,1,マグを合計10体撃破,マグを10体破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',1,10,1,10,1
25,25,2,2,1,25,1,マグを合計50体撃破,マグを50体破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',2,30,1,50,0
26,26,2,2,2,26,1,マグを合計100体撃破,マグを100体破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',4,50,1,100,0
27,27,2,2,2,27,1,Sマグを1体撃破,Sマグを破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',3,70,1,1,0
