---,NormalMissionId,NormalMissionName,NormalMissionTypeId,ValueInt,OptionNormalMissionTypeId,OptionValueInt,RewardId
1,500200,全国対戦50時間プレイ,200,50,0,0,7000124
2,2500200,全国対戦250時間プレイ,200,250,0,0,7000125
3,5000200,全国対戦500時間プレイ,200,500,0,0,7000126
4,1000201,全国対戦100回プレイ,201,100,0,0,7000127
5,10000201,全国対戦1000回プレイ,201,1000,0,0,7000128
6,100000201,全国対戦10000回プレイ,201,10000,0,0,7000129
7,100202,願掛け10回成功,202,10,0,0,7000130
8,500202,願掛け50回成功,202,50,0,0,7000131
9,1000202,願掛け100回成功,202,100,0,0,7000132
10,5000202,願掛け500回成功,202,500,0,0,7000133
11,10000202,願掛け1000回成功,202,1000,0,0,7000134
12,50400,全国対戦5回勝利,400,5,0,0,7000135
13,100400,全国対戦10回勝利,400,10,0,0,7000136
14,1000400,全国対戦100回勝利,400,100,0,0,7000137
15,10000400,全国対戦1000回勝利,400,1000,0,0,7000138
16,30000400,全国対戦3000回勝利,400,3000,0,0,7000139
17,1000000402,累計リザルトスコア100000達成,402,100000,0,0,7000140
18,5000000402,累計リザルトスコア500000達成,402,500000,0,0,7000141
19,10000000402,累計リザルトスコア1000000達成,402,1000000,0,0,7000142
20,50000000402,累計リザルトスコア5000000達成,402,5000000,0,0,7000143
21,200000403,累計アタックスコア20000達成,403,20000,0,0,7000148
22,500000403,累計アタックスコア50000達成,403,50000,0,0,7000149
23,1000000403,累計アタックスコア100000達成,403,100000,0,0,7000150
24,150000404,累計占拠スコア15000達成,404,15000,0,0,7000151
25,300000404,累計占拠スコア30000達成,404,30000,0,0,7000152
26,750000404,累計占拠スコア75000達成,404,75000,0,0,7000153
27,150000405,累計アシストスコア15000達成,405,15000,0,0,7000154
28,300000405,累計アシストスコア30000達成,405,30000,0,0,7000155
29,750000405,累計アシストスコア75000達成,405,75000,0,0,7000156
30,150406,1対戦でナイスプレイ15個達成,406,15,0,0,7000157
31,250406,1対戦でナイスプレイ25個達成,406,25,0,0,7000158
32,400406,1対戦でナイスプレイ40個達成,406,40,0,0,7000159
33,150407,累計キル数15回達成,407,15,0,0,7000160
34,1500407,累計キル数150回達成,407,150,0,0,7000161
35,3000407,累計キル数300回達成,407,300,0,0,7000162
36,1000408,マグを累計100機撃破,408,100,0,0,7000163
37,30000408,マグを累計3000機撃破,408,3000,0,0,7000164
38,100000408,マグを累計10000機撃破,408,10000,0,0,7000165
39,200000409,Sマグへ累計20000ダメージを与えた,409,20000,0,0,7000166
40,3000000409,Sマグへ累計300000ダメージを与えた,409,300000,0,0,7000167
41,10000000409,Sマグへ累計1000000ダメージを与えた,409,1000000,0,0,7000168
42,200000410,タワーへ累計20000ダメージを与えた,410,20000,0,0,7000169
43,3000000410,タワーへ累計300000ダメージを与えた,410,300000,0,0,7000170
44,10000000410,タワーへ累計1000000ダメージを与えた,410,1000000,0,0,7000171
45,200000411,グランデへ累計20000ダメージを与えた,411,20000,0,0,7000172
46,3000000411,グランデへ累計300000ダメージを与えた,411,300000,0,0,7000173
47,10000000411,グランデへ累計1000000ダメージを与えた,411,1000000,0,0,7000174
48,200000412,コアへ累計20000ダメージを与えた,412,20000,0,0,7000175
49,3000000412,コアへ累計300000ダメージを与えた,412,300000,0,0,7000176
50,10000000412,コアへ累計1000000ダメージを与えた,412,1000000,0,0,7000177
51,600413,アサルトで累計60分対戦した,413,60,0,0,7000178
52,4500413,アサルトで累計450分対戦した,413,450,0,0,7000179
53,15000413,アサルトで累計1500分対戦した,413,1500,0,0,7000180
54,600414,ヴァンガードで累計60分対戦した,414,60,0,0,7000181
55,4500414,ヴァンガードで累計450分対戦した,414,450,0,0,7000182
56,15000414,ヴァンガードで累計1500分対戦した,414,1500,0,0,7000183
57,600415,アシストで累計60分対戦した,415,60,0,0,7000184
58,4500415,アシストで累計450分対戦した,415,450,0,0,7000185
59,15000415,アシストで累計1500分対戦した,415,1500,0,0,7000186
60,250100,累計25日ログイン,100,25,0,0,7000187
61,500100,累計50日ログイン,100,50,0,0,7000188
62,1000100,累計100日ログイン,100,100,0,0,7000189
63,2220100,累計222日ログイン,100,222,0,0,7000190
64,3650100,累計365日ログイン,100,365,0,0,7000191
65,40101,連続4日ログイン,101,4,0,0,7000192
66,50101,連続5日ログイン,101,5,0,0,7000193
67,60101,連続6日ログイン,101,6,0,0,7000194
68,70101,連続7日ログイン,101,7,0,0,7000195
69,300300,メカパーツ30個獲得,300,30,0,0,7000196
70,400300,メカパーツ40個獲得,300,40,0,0,7000197
71,500300,メカパーツ50個獲得,300,50,0,0,7000198
72,250301,武器25個獲得,301,25,0,0,7000199
73,350301,武器35個獲得,301,35,0,0,7000200
74,450301,武器45個獲得,301,45,0,0,7000201
75,500302,称号50個獲得,302,50,0,0,7000202
76,1000302,称号100個獲得,302,100,0,0,7000203
77,1500302,称号150個獲得,302,150,0,0,7000204
78,500303,エンブレムパーツ50個獲得,303,50,0,0,7000205
79,1000303,エンブレムパーツ100個獲得,303,100,0,0,7000206
80,1500303,エンブレムパーツ150個獲得,303,150,0,0,7000207
81,120304,ラインカラー12個獲得,304,12,0,0,7000208
82,300305,勝利ポーズ30個獲得,305,30,0,0,7000209
83,360306,アズワンスキル36個獲得,306,36,0,0,7000210
84,7003101,指定プレイヤーIDとマッチング,201,1,100,1062060,7003101
85,7003102,指定プレイヤーIDと同じチーム,400,1,100,1062060,7003102
86,7003103,指定プレイヤーIDと同じチーム,400,5,100,1062060,7003103
87,7003104,指定プレイヤーIDと同じチーム,400,10,100,1062060,7003104
88,7003201,指定プレイヤーIDとマッチング,201,1,100,1103220,7003201
89,7003202,指定プレイヤーIDと同じチーム,400,1,100,1103220,7003202
90,7003203,指定プレイヤーIDと同じチーム,400,5,100,1103220,7003203
91,7003204,指定プレイヤーIDと同じチーム,400,10,100,1103220,7003204
92,7003301,指定プレイヤーIDとマッチング,201,1,100,1100367,7003301
93,7003302,指定プレイヤーIDと同じチーム,400,1,100,1100367,7003302
94,7003303,指定プレイヤーIDと同じチーム,400,5,100,1100367,7003303
95,7003304,指定プレイヤーIDと同じチーム,400,10,100,1100367,7003304
96,7003401,指定プレイヤーIDとマッチング,201,1,100,1103275,7003401
97,7003402,指定プレイヤーIDと同じチーム,400,1,100,1103275,7003402
98,7003403,指定プレイヤーIDと同じチーム,400,5,100,1103275,7003403
99,7003404,指定プレイヤーIDと同じチーム,400,10,100,1103275,7003404
100,7003501,指定プレイヤーIDとマッチング,201,1,100,1103290,7003501
101,7003502,指定プレイヤーIDと同じチーム,400,1,100,1103290,7003502
102,7003503,指定プレイヤーIDと同じチーム,400,5,100,1103290,7003503
103,7003504,指定プレイヤーIDと同じチーム,400,10,100,1103290,7003504
104,7003601,指定プレイヤーIDとマッチング,201,1,100,1103197,7003601
105,7003602,指定プレイヤーIDと同じチーム,400,1,100,1103197,7003602
106,7003603,指定プレイヤーIDと同じチーム,400,5,100,1103197,7003603
107,7003604,指定プレイヤーIDと同じチーム,400,10,100,1103197,7003604
108,7004001,指定プレイヤーIDとマッチング,201,1,100,1000013,7004201
109,7004002,指定プレイヤーIDと同じチーム,400,1,100,1000013,7004202
110,7004003,指定プレイヤーIDと同じチーム,400,5,100,1000013,7004203
111,7004004,指定プレイヤーIDと同じチーム,400,10,100,1000013,7004204
112,7004101,指定プレイヤーIDとマッチング,201,1,100,1000826,7004001
113,7004102,指定プレイヤーIDと同じチーム,400,1,100,1000826,7004002
114,7004103,指定プレイヤーIDと同じチーム,400,5,100,1000826,7004003
115,7004104,指定プレイヤーIDと同じチーム,400,10,100,1000826,7004004
116,7004201,指定プレイヤーIDとマッチング,201,1,100,1000741,7004101
117,7004202,指定プレイヤーIDと同じチーム,400,1,100,1000741,7004102
118,7004203,指定プレイヤーIDと同じチーム,400,5,100,1000741,7004103
119,7004204,指定プレイヤーIDと同じチーム,400,10,100,1000741,7004104
120,7004301,指定プレイヤーIDとマッチング,201,1,100,1030989,7004301
121,7004302,指定プレイヤーIDと同じチーム,400,1,100,1030989,7004302
122,7004303,指定プレイヤーIDと同じチーム,400,5,100,1030989,7004303
123,7004304,指定プレイヤーIDと同じチーム,400,10,100,1030989,7004304
124,7004305,指定プレイヤーIDとマッチング,201,1,100,1002566,7003701
125,7004306,指定プレイヤーIDと同じチーム,400,1,100,1002566,7003702
126,7004307,指定プレイヤーIDと同じチーム,400,5,100,1002566,7003703
127,7004308,指定プレイヤーIDと同じチーム,400,10,100,1002566,7003704
