---,PartId,PartFieldId,RankId,LowerValue
1,1,2,1,50
2,1,2,2,150
3,1,2,3,200
4,1,2,4,250
5,1,2,5,300
6,1,2,6,350
7,1,2,7,400
8,2,2,1,50
9,2,2,2,150
10,2,2,3,200
11,2,2,4,250
12,2,2,5,300
13,2,2,6,350
14,2,2,7,400
15,3,2,1,50
16,3,2,2,150
17,3,2,3,200
18,3,2,4,250
19,3,2,5,300
20,3,2,6,350
21,3,2,7,400
22,4,2,1,50
23,4,2,2,150
24,4,2,3,200
25,4,2,4,250
26,4,2,5,300
27,4,2,6,350
28,4,2,7,400
29,1,19,1,50
30,1,19,2,150
31,1,19,3,200
32,1,19,4,250
33,1,19,5,300
34,1,19,6,350
35,1,19,7,400
36,2,19,1,50
37,2,19,2,150
38,2,19,3,200
39,2,19,4,250
40,2,19,5,300
41,2,19,6,350
42,2,19,7,400
43,3,19,1,50
44,3,19,2,150
45,3,19,3,200
46,3,19,4,250
47,3,19,5,300
48,3,19,6,350
49,3,19,7,400
50,4,19,1,50
51,4,19,2,150
52,4,19,3,200
53,4,19,4,250
54,4,19,5,300
55,4,19,6,350
56,4,19,7,400
57,1,7,1,1
58,1,7,2,2000
59,1,7,3,2200
60,1,7,4,2400
61,1,7,5,2600
62,1,7,6,2800
63,1,7,7,3000
64,1,8,1,1
65,1,8,2,154000
66,1,8,3,230000
67,1,8,4,280000
68,1,8,5,330000
69,1,8,6,360000
70,1,8,7,400000
71,6,1,1,50
72,6,1,2,100
73,6,1,3,150
74,6,1,4,200
75,6,1,5,2500
76,6,1,6,300
77,6,1,7,350
78,2,4,1,100
79,2,4,2,21
80,2,4,3,20
81,2,4,4,18
82,2,4,5,17
83,2,4,6,15
84,2,4,7,10
85,2,3,1,100
86,2,3,2,6
87,2,3,3,5
88,2,3,4,4
89,2,3,5,3.5
90,2,3,6,3
91,2,3,7,2
92,3,5,1,0.4
93,3,5,2,0.6
94,3,5,3,0.8
95,3,5,4,1
96,3,5,5,2500
97,3,5,6,1.4
98,3,5,7,1.6
99,3,11,1,0.5
100,3,11,2,0.7
101,3,11,3,0.9
102,3,11,4,1.1
103,3,11,5,1.3
104,3,11,6,1.5
105,3,11,7,1.7
106,3,6,1,0.5
107,3,6,2,0.7
108,3,6,3,0.9
109,3,6,4,1.1
110,3,6,5,1.3
111,3,6,6,1.5
112,3,6,7,1.7
113,4,9,1,0.01
114,4,9,2,0.6
115,4,9,3,0.8
116,4,9,4,1
117,4,9,5,1.03
118,4,9,6,1.06
119,4,9,7,1.1
120,5,14,1,-400
121,5,14,2,-250
122,5,14,3,-200
123,5,14,4,-180
124,5,14,5,-160
125,5,14,6,-150
126,5,14,7,-100
127,5,13,1,-500
128,5,13,2,-400
129,5,13,3,-360
130,5,13,4,-330
131,5,13,5,-270
132,5,13,6,-200
133,5,13,7,-150
134,5,16,1,2
135,5,16,2,1.25
136,5,16,3,1.2
137,5,16,4,1.1
138,5,16,5,1
139,5,16,6,0.9
140,5,16,7,0.85
141,5,17,1,8
142,5,17,2,9
143,5,17,3,10
144,5,17,4,12
145,5,17,5,13
146,5,17,6,15
147,5,17,7,20
148,5,18,7,0.1
149,5,18,6,0.5
150,5,18,5,0.7
151,5,18,4,1
152,5,18,3,1.05
153,5,18,2,1.1
154,5,18,1,1.2
155,5,10,1,0
156,5,10,2,2
157,5,10,3,4
158,5,10,4,6
159,5,10,5,8
160,5,10,6,10
161,5,10,7,12
218,6,2,1,200
219,6,2,2,600
220,6,2,3,800
221,6,2,4,1000
222,6,2,5,1200
223,6,2,6,1400
224,6,2,7,1600
225,6,19,1,6000
226,6,19,2,7000
227,6,19,3,8000
228,6,19,4,9000
229,6,19,5,10000
230,6,19,6,11000
231,6,19,7,12000
