---,RobotId,PartsId,ParamId,Text1,Text2,PartsInfoId,PartsInfoRankId
1,1,1,3,,,0,0
2,1,2,3,,,0,0
3,1,3,3,,,6,2
4,1,3,3,,,14,2
5,1,4,3,,,0,0
6,1,5,3,,,48,1
7,1,5,1,短距離ダッシュ,,0,0
8,1,5,2,長距離スタンダード,,0,0
9,1,1,4,ロックオン距離、ロックオン範囲\n共に標準的な性能を持つ頭部。\nヒカリの要望により戦況に合わせた\nロールでの活躍が見込める。,,0,0
10,1,2,4,耐久値が高めの標準的な胴部。\nアーマー値も高いが、回復速度がやや遅い。,,0,0
11,1,3,4,耐久値が高く、両手で使用する武器の\nリロード速度が上昇する。\n様々な武器との相性が良い標準的な腕部。,,0,0
12,1,4,4,耐久値が高めの標準的な脚部。\n突出した特性がなく基準となる性能で\n癖がなく扱いやすい。,,0,0
13,1,5,4,耐久値が高めの標準的なウィング。\nダッシュ・回避は、移動量もあり、\n回数も多く、一番星になるために如何なる\n戦闘にも向いている。,,0,0
14,1,6,4,エア・リアルの基礎モデルとなる機体。\n4枚の羽根が特徴的な、ヒカリの愛機。\n背面には、星血エネルギーを吸収し、\n永久に可動させる装置が付いているが、\nどことなく顔に見えるという。,,0,0
15,1,6,5,XZM-011,,0,0
16,1,1,5,XZM-011(H),,0,0
17,1,2,5,XZM-011(B),,0,0
18,1,3,5,XZM-011(A),,0,0
19,1,4,5,XZM-011(L),,0,0
20,1,5,5,XZM-011(W),,0,0
21,2,1,3,,,3,2
22,2,2,3,状態異常耐性　小,ブースト消費量が少し多くなる,4,2
23,2,3,3,,,10,1
24,2,3,3,,,8,3
25,2,4,3,,,0,0
26,2,5,3,,,45,3
27,2,5,3,,,57,0
28,2,5,1,高速ダッシュ,,0,0
29,2,5,2,短距離高速,,0,0
30,2,1,4,ロックオン距離は短いが\nロックオン範囲が広く相手を捉え続け易い。\nナギの生真面目さが表れた性能に\nなっている。,,0,0
31,2,2,4,耐久値、アーマー値共に低いが、\nアーマー値の回復までの時間が短く、\n持続的な戦闘がやり易い。\nまた、状態異常耐性を持ち\n状態異常である時間を短くする。,ブースト消費量が少し多くなる,0,0
32,2,3,4,格闘のリロード速度が特に速く、\n連続で接近戦を狙っていける。\nナギの誠心誠意の心に準じた性能に\nなっている。,,0,0
33,2,4,4,耐久値は低いが、ポート占拠速度が速い。\n赤に染まるその見た目は見るものを\n脅かす。,,0,0
34,2,5,4,旋回性能や持続力は低いが、\nダッシュ力が特に高く、相手を翻弄する。\n格闘時にブースト消費がないのも特徴。\nフルドライブは瞬発力のある高速移動が\n可能。,,0,0
35,2,6,4,耐久性や持久力を犠牲にしつつ、一瞬で\n相手の懐に飛び込む瞬発力に特化した\n高機動型エア・リアル。\nまっすぐ突き進むナギの愛機。\n意匠は、鳥のイメージとなっている。,,0,0
36,2,6,5,XKT-015,,0,0
