---,RobotId,FlavorText,SerialNumberText,LockonDistance,LockonRange,CameraSpeed,DashType,DashInitialVelocity,DashMaxSpeed,DashCount,SuperDashType,SuperDashActionReservoirTime,SuperDashInitivalVelocity,SuperDashMaxspeed,SuperDashDistance,AREffectText,ARSetInfoId,ARSetInfoRankId,ARSetInfoId2,ARSetInfoRankId2
1,1,移動において癖がなく扱いやすい機体。\nSPウェポンのリロード速度が早く、他の機体\nより攻撃回数を増やす事ができる。\n撃ち上げ、撃ち落としの両対応が可能なため\n味方次第で戦い方を切り替えることができる。,XZM-011,3,3,3,短距離ダッシュ,3,3,3,長距離スタンダード,3,3,3,3,自チームの残チームゲージに応じて、\n自身と味方のスペシャルウェポンの\nリロード速度が上昇する。,0,0,0,0
2,2,主に近距離戦闘を得意とし、耐久値が\n低い代わりに移動性能を高めた機体。\n自身が敵を撃ち上げた際、バースト状態の\n時間を伸ばす機体効果により\nクロスバーストの成功率を上げることが出来る。,XKT-015,1,4,4,高速ダッシュ,4,2,4,短距離高速,4,4,3,2,自身が撃ち上げた敵の\nバースト状態の時間を延長させる。,57,0,0,0
3,3,フルドライブの飛行時間が他機体と比べ長く\nフルドライブ中の攻撃力を上昇させる\n機体効果がある。遠距離から接近し、\n強襲や追い打ちを得意とする。\n動きながら攻撃できる武器を多く装備している。,XZM-020,4,3,3,溜めダッシュ,2,3,2,長距離持続,2,3,1,5,フルドライブ中の攻撃力が上昇する。,0,0,0,0
4,4,長いロックオン距離と速い継続ダッシュを\n持った遠距離狙撃型機体。\n味方のリロード速度が上昇する機体効果と\n遠距離武器での火力支援で味方を援護する。,XIS-005,5,1,3,加速ダッシュ,1,5,4,長距離スタンダード,4,2,4,4,味方の1st武器、2nd武器の\nリロード速度を上昇させる。,0,0,0,0
5,5,上昇性能に優れた、少し癖のある機体。\n味方のバースト武器、クロスバースト武器の\nリロード速度を上昇させる機体効果がある。\n上空から敵を攻撃しつつ、味方を\n支援することが可能な援護型機体。,XIS-006,4,4,3,短距離ダッシュ,2,3,3,長距離スタンダード,3,3,2,3,味方のバースト武器、クロスバースト武器の\nリロード速度を上昇させる。,4,0,0,0
6,6,重量感のある機動性能と高耐久が特徴。\n耐久値が一定値以下になると\nクロスバースト成功時の攻撃力が上昇する。\n耐久値を活かして敵機の注意を引き付け味方\nの撃ち上げに合わせて大ダメージを狙う。,XZH-007,3,4,2,溜めダッシュ,1,4,3,短距離加速,4,2,3,2,自身の耐久値に応じて、\n自身がクロスバーストを成功させた際の\nダメージが上昇する。,0,0,0,0
7,7,移動性能、機敏さを極限まで高めた機体で\n攻撃時の硬直をキャンセルできる。\n耐久値が低く撃墜されやすい面を持つが、\nチームゲージの残量に応じて自分と味方の\nブースト消費量を軽減させる機体効果がある。,XKT-101,2,2,4,高速ダッシュ,4,3,4,短距離高速,3,5,4,2,自チームの残チームゲージに応じて、\n自身と味方のブースト消費量を軽減させる。,64,0,0,0
8,8,バースト状態の敵を遠距離からでも\n撃ち落とすことが可能な、範囲攻撃武器を\n装備している重量型機体。攻撃を当てた際、\nバーストゲージが回復する時間を\n延長させる機体効果がある。,XKH-102,4,2,2,短距離ダッシュ,3,4,3,長距離スタンダード,1,4,3,4,自身が敵に攻撃を当てた際、\n敵のバーストゲージが回復するまでの\n時間を延長させる。,75,0,0,0
9,9,ダッシュ回数が多く機敏な動きが行える。\n味方が敵をバースト状態にしやすくする\n機体効果がある。主に近距離戦闘を得意とし\nクロスバースト時にダメージを与えやすい\n武器を装備している。,XKM-010,2,3,3,高速ダッシュ,5,2,5,短距離スタンダード,3,4,3,3,味方が敵を攻撃した際の\nバースト値を上昇させる。,0,0,0,0
10,10,回避時に透明化する機能を備える軽量機体。\n味方の2nd武器のリロード速度を上昇させる\n機体効果がある。投擲系の武器を多く持つため\n空間範囲攻撃を得意とし、\n敵を引っ掛けるような戦いが出来る。,XZS-025,1,4,4,短距離ダッシュ,4,2,4,短距離高速,3,4,2,2,味方の2nd武器の\nリロード速度を上昇させる。,36,0,0,0
11,11,圧倒的な耐久値を誇り、バースト状態に\nなりにくい機体効果がある重量型機体。\n継続的に火力を出せる武器を装備しており\n射撃合戦を制しやすい。,XIH-014,4,4,2,溜めダッシュ,3,4,4,短距離加速,4,1,2,2,自身が攻撃を受けた際の\nバースト値を軽減する。,0,0,0,0
12,12,標準的な性能に加え、他の機体より\nフルドライブ中の操作や速度に秀でており\n高速移動を主体に戦闘を行える万能型機体。\nクロスバースト成功毎に自チームの\n撃ち落とし攻撃力を増幅させる機体効果がある。,XIT-030,3,3,3,短距離ダッシュ,2,3,2,短距離スタンダード,3,4,2,3,クロスバーストを成功させるたびに、\n自チームのクロスバーストでのダメージを\n徐々に上昇させる。,56,0,0,0
13,13,豊富な武器種によりどの射程距離でも\n対応可能な機体。自分と味方の\nSPウェポンのLVアップタイミングを\n繰り上げる機体効果があり、早い段階で\n最大火力を出すことが出来る。,XXH-010,4,2,3,高速ダッシュ,5,3,2,短距離加速,5,1,4,2,自身と味方の、スペシャルウェポンの\nLvアップタイミングを繰り上げる。,65,0,0,0
14,14,1度のブーストダッシュで移動できる量が多く\n弧を描く軌道が特徴の重量型機体。\n自チームのチームゲージが25％以下になると\n自分と味方の全ての武器のリロード速度が上昇\n劣勢状態においても逆転の可能性を秘める。,XXH-020,3,5,1,円弧移動ダッシュ,4,4,2,短距離高速,4,1,4,2,自チームのチームゲージが25%以下の時、\n自身と味方の、全ての武器の\nリロード速度を上昇させる。,38,0,0,0
