---,PlayerTitleId,PlayerTitleBigCategory,PlayerTitleSmallCategory,GradeId,PlateId,Text,Descprition,IsDefault,IsDefaultEquipped,GameModeId
0,0,0,0,0,0,装備なし,※Dip上必要なデータ,True,True,0
1,1,1,12,0,1,新米パイロット,初期所持称号,True,False,0
2,2,1,12,0,2,中級者パイロット,未配布,False,False,0
3,3,1,20,4,101,初心者アズワン,シングルスター>に初めて到達,False,False,0
4,4,1,20,4,102,見習いアズワン,シングルスター>>に初めて到達,False,False,0
5,5,1,20,4,103,新米アズワン,シングルスター>>>に初めて到達,False,False,0
6,6,1,20,4,104,新参アズワン,ダブルスター>に初めて到達,False,False,0
7,7,1,20,4,105,新星アズワン,ダブルスター>>に初めて到達,False,False,0
8,8,1,20,4,106,下級アズワン,ダブルスター>>>に初めて到達,False,False,0
9,9,1,20,4,107,噂のアズワン,トリプルスター>に初めて到達,False,False,0
10,10,1,20,4,108,期待のアズワン,トリプルスター>>に初めて到達,False,False,0
11,11,1,20,4,109,中級アズワン,トリプルスター>>>に初めて到達,False,False,0
12,12,1,20,4,110,,フォースター>に初めて到達,False,False,0
13,13,1,20,4,111,,フォースター>>に初めて到達,False,False,0
14,14,1,20,4,112,,フォースター>>>に初めて到達,False,False,0
15,15,1,20,4,113,,ファイブスター>に初めて到達,False,False,0
16,16,1,20,4,114,,ファイブスター>>に初めて到達,False,False,0
17,17,1,20,4,115,,ファイブスター>>>に初めて到達,False,False,0
18,18,1,20,4,116,,ノヴァ>に初めて到達,False,False,0
19,19,1,20,4,117,,ノヴァ>>に初めて到達,False,False,0
20,20,1,20,4,118,,ノヴァ>>>に初めて到達,False,False,0
21,21,1,20,4,119,,スーパーノヴァ>に初めて到達,False,False,0
22,22,1,20,4,120,,スーパーノヴァ>>に初めて到達,False,False,0
23,23,1,20,4,121,,スーパーノヴァ>>>に初めて到達,False,False,0
24,24,3,30,8,101,ヒカリの同僚,ヒカリとのDePSを500獲得,False,False,0
25,25,3,30,8,102,ヒカリのマブダチ,ヒカリとのDePSを2500獲得,False,False,0
26,26,3,30,8,103,ヒカリの相棒,ヒカリとのDePSを4500獲得,False,False,0
27,27,3,30,8,104,ホワイトハート,ヒカリとのDePSを6500獲得,False,False,0
28,28,3,30,8,105,,ヒカリとのDePSを8500獲得,False,False,0
29,29,3,30,8,201,レイカの同僚,レイカとのDePSを500獲得,False,False,0
30,30,3,30,8,202,レイカのマブダチ,レイカとのDePSを2500獲得,False,False,0
31,31,3,30,8,203,レイカの相棒,レイカとのDePSを4500獲得,False,False,0
32,32,3,30,8,204,ブルーハート,レイカとのDePSを6500獲得,False,False,0
33,33,3,30,8,205,,レイカとのDePSを8500獲得,False,False,0
34,34,3,30,8,301,シャーリーの同僚,シャーリーとのDePSを500獲得,False,False,0
35,35,3,30,8,302,シャーリーのマブダチ,シャーリーとのDePSを2500獲得,False,False,0
36,36,3,30,8,303,シャーリーの相棒,シャーリーとのDePSを4500獲得,False,False,0
37,37,3,30,8,304,イエローハート,シャーリーとのDePSを6500獲得,False,False,0
38,38,3,30,8,305,,シャーリーとのDePSを8500獲得,False,False,0
39,39,3,30,8,401,イサドラの同僚,イサドラとのDePSを500獲得,False,False,0
40,40,3,30,8,402,イサドラのマブダチ,イサドラとのDePSを2500獲得,False,False,0
41,41,3,30,8,403,イサドラの相棒,イサドラとのDePSを4500獲得,False,False,0
42,42,3,30,8,404,グリーンハート,イサドラとのDePSを6500獲得,False,False,0
43,43,3,30,8,405,,イサドラとのDePSを8500獲得,False,False,0
44,44,3,30,8,501,ナギの同僚,ナギとのDePSを500獲得,False,False,0
45,45,3,30,8,502,ナギのマブダチ,ナギとのDePSを2500獲得,False,False,0
46,46,3,30,8,503,ナギの相棒,ナギとのDePSを4500獲得,False,False,0
47,47,3,30,8,504,レッドハート,ナギとのDePSを6500獲得,False,False,0
48,48,3,30,8,505,,ナギとのDePSを8500獲得,False,False,0
49,49,3,30,8,601,カズマの同僚,カズマとのDePSを500獲得,False,False,0
50,50,3,30,8,602,カズマのマブダチ,カズマとのDePSを2500獲得,False,False,0
51,51,3,30,8,603,カズマの相棒,カズマとのDePSを4500獲得,False,False,0
52,52,3,30,8,604,グレイハート,カズマとのDePSを6500獲得,False,False,0
53,53,3,30,8,605,,カズマとのDePSを8500獲得,False,False,0
54,54,3,34,9,101,ヒカリの物語,クエスト「コミュニケーション」をクリア,False,False,0
55,55,3,34,9,102,ヒカリの依頼人,クエスト「ヒカリと特訓１」をクリア,False,False,0
56,56,3,34,9,103,,未配布,False,False,0
57,57,3,34,9,201,レイカの物語,クエスト「コミュニケーション」をクリア,False,False,0
58,58,3,34,9,202,レイカの依頼人,クエスト「レイカと特訓１」をクリア,False,False,0
59,59,3,34,9,203,,未配布,False,False,0
60,60,3,34,9,301,シャーリーの物語,クエスト「コミュニケーション」をクリア,False,False,0
61,61,3,34,9,302,シャーリーの依頼人,クエスト「シャーリーと特訓１」をクリア,False,False,0
62,62,3,34,9,303,,未配布,False,False,0
63,63,3,34,9,401,イサドラの物語,クエスト「コミュニケーション」をクリア,False,False,0
64,64,3,34,9,402,イサドラの依頼人,クエスト「イサドラと特訓１」をクリア,False,False,0
65,65,3,34,9,403,,未配布,False,False,0
66,66,3,34,9,501,ナギの物語,クエスト「コミュニケーション」をクリア,False,False,0
67,67,3,34,9,502,ナギの依頼人,クエスト「ナギと特訓１」をクリア,False,False,0
68,68,3,34,9,503,,未配布,False,False,0
69,69,3,34,9,601,カズマの物語,クエスト「コミュニケーション」をクリア,False,False,0
70,70,3,34,9,602,カズマの依頼人,クエスト「カズマと特訓１」をクリア,False,False,0
71,71,3,34,9,603,,未配布,False,False,0
72,1000,0,0,0,100,ヴ・レード惺王国,未配布,False,False,0
73,1001,0,0,0,101,轟ア・スレッガ,未配布,False,False,0
