---,PlateID,BodyTexture,AlphaTexture,Animation,Descprition
999_001,999_001,Texture2D'/Game/_Test/Texture/PlayerTitle/ui_com_playertitle_999_001.ui_com_playertitle_999_001',None,-1,
000_001,000_001,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_000_001.ui_com_playertitle_000_001,None,-1,
000_002,000_002,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_000_002.ui_com_playertitle_000_002,None,-1,
000_003,000_003,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_000_003.ui_com_playertitle_000_003,None,-1,
010_001,010_001,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_010_001.ui_com_playertitle_010_001,None,-1,
010_002,010_002,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_010_002.ui_com_playertitle_010_002,None,-1,
010_003,010_003,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_010_003.ui_com_playertitle_010_003,None,-1,
020_001,020_001,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_020_001.ui_com_playertitle_020_001,None,-1,
020_002,020_002,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_020_002.ui_com_playertitle_020_002,None,-1,
020_003,020_003,/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_020_003.ui_com_playertitle_020_003,None,-1,
000_100,000_100,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_vlade.ui_com_playertitle_vlade',None,-1,CPU用_ヴレード称号
000_101,000_101,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_aslegga.ui_com_playertitle_aslegga',None,-1,CPU用_アスレッガ称号
001_001,001_001,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_001_001.ui_com_playertitle_001_001',None,-1,ガンストコラボ称号
001_002,001_002,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/ui_com_playertitle_001_002.ui_com_playertitle_001_002',None,-1,クリスマス称号
008_101,008_101,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_101.playertitle_008_101',None,-1,
008_102,008_102,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_102.playertitle_008_102',None,-1,
008_103,008_103,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_103.playertitle_008_103',None,-1,
008_104,008_104,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_104.playertitle_008_104',None,-1,
008_105,008_105,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_105.playertitle_008_105',None,-1,
008_201,008_201,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_201.playertitle_008_201',None,-1,
008_202,008_202,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_202.playertitle_008_202',None,-1,
008_203,008_203,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_203.playertitle_008_203',None,-1,
008_204,008_204,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_204.playertitle_008_204',None,-1,
008_205,008_205,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_205.playertitle_008_205',None,-1,
008_301,008_301,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_301.playertitle_008_301',None,-1,
008_302,008_302,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_302.playertitle_008_302',None,-1,
008_303,008_303,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_303.playertitle_008_303',None,-1,
008_304,008_304,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_304.playertitle_008_304',None,-1,
008_305,008_305,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_305.playertitle_008_305',None,-1,
008_401,008_401,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_401.playertitle_008_401',None,-1,
008_402,008_402,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_402.playertitle_008_402',None,-1,
008_403,008_403,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_403.playertitle_008_403',None,-1,
008_404,008_404,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_404.playertitle_008_404',None,-1,
008_405,008_405,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_405.playertitle_008_405',None,-1,
008_501,008_501,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_501.playertitle_008_501',None,-1,
008_502,008_502,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_502.playertitle_008_502',None,-1,
008_503,008_503,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_503.playertitle_008_503',None,-1,
008_504,008_504,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_504.playertitle_008_504',None,-1,
008_505,008_505,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_505.playertitle_008_505',None,-1,
008_601,008_601,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_601.playertitle_008_601',None,-1,
008_602,008_602,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_602.playertitle_008_602',None,-1,
008_603,008_603,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_603.playertitle_008_603',None,-1,
008_604,008_604,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_604.playertitle_008_604',None,-1,
008_605,008_605,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_008_605.playertitle_008_605',None,-1,
006_101,006_101,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_101.playertitle_006_101',None,-1,
006_102,006_102,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_102.playertitle_006_102',None,-1,
006_103,006_103,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_103.playertitle_006_103',None,-1,
006_104,006_104,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_104.playertitle_006_104',None,-1,
006_105,006_105,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_105.playertitle_006_105',None,-1,
006_201,006_201,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_201.playertitle_006_201',None,-1,
006_202,006_202,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_202.playertitle_006_202',None,-1,
006_203,006_203,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_203.playertitle_006_203',None,-1,
006_204,006_204,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_204.playertitle_006_204',None,-1,
006_205,006_205,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_205.playertitle_006_205',None,-1,
006_301,006_301,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_301.playertitle_006_301',None,-1,
006_302,006_302,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_302.playertitle_006_302',None,-1,
006_303,006_303,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_303.playertitle_006_303',None,-1,
006_304,006_304,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_304.playertitle_006_304',None,-1,
006_305,006_305,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_305.playertitle_006_305',None,-1,
006_401,006_401,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_401.playertitle_006_401',None,-1,
006_402,006_402,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_402.playertitle_006_402',None,-1,
006_403,006_403,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_403.playertitle_006_403',None,-1,
006_404,006_404,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_404.playertitle_006_404',None,-1,
006_405,006_405,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_405.playertitle_006_405',None,-1,
006_501,006_501,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_501.playertitle_006_501',None,-1,
006_502,006_502,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_502.playertitle_006_502',None,-1,
006_503,006_503,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_503.playertitle_006_503',None,-1,
006_504,006_504,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_504.playertitle_006_504',None,-1,
006_505,006_505,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_505.playertitle_006_505',None,-1,
006_601,006_601,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_601.playertitle_006_601',None,-1,
006_602,006_602,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_602.playertitle_006_602',None,-1,
006_603,006_603,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_603.playertitle_006_603',None,-1,
006_604,006_604,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_604.playertitle_006_604',None,-1,
006_605,006_605,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_006_605.playertitle_006_605',None,-1,
007_101,007_101,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_101.playertitle_007_101',None,-1,
007_102,007_102,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_102.playertitle_007_102',None,-1,
007_103,007_103,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_103.playertitle_007_103',None,-1,
007_201,007_201,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_201.playertitle_007_201',None,-1,
007_202,007_202,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_202.playertitle_007_202',None,-1,
007_203,007_203,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_203.playertitle_007_203',None,-1,
007_301,007_301,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_301.playertitle_007_301',None,-1,
007_302,007_302,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_302.playertitle_007_302',None,-1,
007_303,007_303,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_303.playertitle_007_303',None,-1,
007_401,007_401,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_401.playertitle_007_401',None,-1,
007_402,007_402,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_402.playertitle_007_402',None,-1,
007_403,007_403,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_403.playertitle_007_403',None,-1,
007_501,007_501,Texture2D'/Game/GUI/Common/Tex/PlayerTitle/playertitle_007_501.playertitle_007_501',None,-1,
