---,Id,Name
1,1,北海道
2,2,青森県
3,3,岩手県
4,4,宮城県
5,5,秋田県
6,6,山形県
7,7,福島県
8,8,茨城県
9,9,栃木県
10,10,群馬県
11,11,埼玉県
12,12,千葉県
13,13,東京都
14,14,神奈川県
15,15,山梨県
16,16,長野県
17,17,新潟県
18,18,富山県
19,19,石川県
20,20,福井県
21,21,静岡県
22,22,愛知県
23,23,岐阜県
24,24,三重県
25,25,滋賀県
26,26,京都府
27,27,大阪府
28,28,兵庫県
29,29,奈良県
30,30,和歌山県
31,31,岡山県
32,32,広島県
33,33,鳥取県
34,34,島根県
35,35,山口県
36,36,徳島県
37,37,香川県
38,38,愛媛県
39,39,高知県
40,40,福岡県
41,41,佐賀県
42,42,長崎県
43,43,熊本県
44,44,大分県
45,45,宮崎県
46,46,鹿児島県
47,47,沖縄県
48,10101,HKG
49,10103,TWN
50,10104,NZL
51,10105,SGP
52,10106,CAN
53,10107,CHN
54,10108,AUS
55,10109,KOR
56,10110,THA
57,10111,MYS
58,10112,IDN
59,10113,USA
60,10114,PHL
