---,PrjName,PrjAssetPath,AttackID,GrapID,HitGroup,HitCheckThis,HitCheckPlayer,HitCheckMob,HitCheckBuilding,HitCheckObject,HitCheckShield,InitSpeed,LimitSpeed,FinalSpeed,InitSpeedKeepTime,SpeedUpTime,LimitSpeedKeepTime,FinalSpeedUpTime,Gravity,InitPitch,InitYaw,ForceTargetPitch,ForceTargetYaw,ApplyOwnerPitch,ApplyOwnerYaw,ApplyOwnerRoll,InitSizeX,InitSizeY,InitSizeZ,InitRadius,InitScale,MaxScale,ScaleTime,LifeSpan,StopAfterLifeSpan,LimitMoveLength,AddLimitMoveLength,CrossBreakExtensionRate,MultiHitMaxPlayer,MultiHitMaxNotPlayer,MultiHitInterval,HitCharaProc,HitBGProc,HitBgCharaProc,HitShieldProc,LimitMoveLengthProc,DestroyOwnerDie,IgnorePreHitCheck,DistanceAttenuation,DistanceAttenuation_Max,DistanceAttenuation_MinDamageRate,StrongholdDistanceAttenuation,DodgeCheckEnable,IsHyperHoming,HomingNearOutLookAngle,HomingNearOutLookRange,HomingFarOutLookAngle,HomingFarOutLookRange,HorizontalHomingAbility_Start,HorizontalHomingAbility_End,HorizontalHomingAbility_Time,VerticalHomingAbility_Start,VerticalHomingAbility_End,VerticalHomingAbility_Time,HomingStartTime,HomingEndNearTargetRange,HomingEndTotalMovingDistance,HomingEndTime,IsHorizontalHomingSiteRate,IsVerticalHomingSiteRate,SuperHomingRate,TargetPositionOffset,MinRandomTargetOffset,MaxRandomTargetOffset,MinRandomTargetOffsetTime,MaxRandomTargetOffsetTime,RandomTargetOffsetNearLength,HorizontalVelocityRandomMin,HorizontalVelocityRandomMax,VerticalVelocityRandomMin,VerticalVelocityRandomMax,ShieldType,PrjVital,CoopProjectileID_LifeSpan,CoopProjectileID_HitChara,CoopProjectileID_HitBG,CoopProjectileID_Order,PierceEffectPath,IsObject,ShowHomingAlert,ReportFlag
Empty,無し,,0,0,None,Through,Through,Through,Through,Through,Enemy,0,0,0,-1,0,-1,-1,0,0,0,False,False,False,False,False,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,Ignore,Ignore,Ignore,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,False
PRJ_MachineGun_Bullet01,ミトライユ　　　　　　　　　　　（マシンガン・AS）,/Game/Projectile/wp00001/BP_PrjMachineGunBullet01.uasset,1,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,52000,54000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1.5,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,90,500,90,500,45,45,0,45,45,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_HandGun_Bullet01,拳銃 天火　　 　　　　　　　　（ハンドガン・AS）,/Game/Projectile/wp00002/BP_PrjHandGunBullet01.uasset,2,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,55000,55000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1.25,0.15,1.5,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,90,500,90,500,45,45,0,45,45,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_PulseGun_Bullet01,パルスガン(散弾1回目),/Game/Projectile/wp00003/BP_PrjPulseGunBullet01.uasset,3,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,55000,20000,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1,0,9500,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,231,231,231,0,,False,False,True
PRJ_PulseGun_Bullet02,パルスガン(散弾2回目),/Game/Projectile/wp00003/BP_PrjPulseGunBullet02.uasset,4,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,57000,21500,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1,0,6000,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,231,231,231,0,,False,False,True
PRJ_PulseGun_Bullet03,パルスガン(散弾3回目),/Game/Projectile/wp00003/BP_PrjPulseGunBullet03.uasset,5,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,59000,23000,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1,0,8000,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,231,231,231,0,,False,False,True
PRJ_PulseGun_Bullet04,パルスガン(散弾4回目),/Game/Projectile/wp00003/BP_PrjPulseGunBullet04.uasset,6,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,61000,24500,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1,0,7000,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,231,231,231,0,,False,False,True
PRJ_PulseGun_Bullet05,パルスガン(散弾5回目),/Game/Projectile/wp00003/BP_PrjPulseGunBullet05.uasset,7,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,63000,26000,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1,0,9000,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,231,231,231,0,,False,False,True
PRJ_BeamRifle_Bullet01,グレイン-AS　　　　　　　　　（ビームライフル・AS）,/Game/Projectile/wp00004/BP_PrjBeamRifleBullet01.uasset,8,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,63000,68000,0.3,-1,0.3,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,2,0,50000,0,1,0,0,0,Ignore,Die,Die,Die,Die,False,False,0,0,1,0,True,False,45,500,45,500,32,32,0,32,32,0,0,2000,0,0,True,True,2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_RocketLauncher_Bullet01,ロケットランチャー【対人】,/Game/Projectile/wp00005/BP_PrjRocketLauncherBullet01.uasset,9,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,20000,40000,0,-1,0.2,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,0.6,1,1,2.5,0,50000,0,1,0,0,0,Ignore,Die,Die,Ignore,StopDie,False,False,0,0,1,0,True,False,30,50000,30,50000,0,0,0,0,0,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,-1,2,-2,2,None,0,232,232,232,0,,False,False,True
