---,QuestId,Order,OptionClearTypeId,OptionClearNum,ClearTypeId,ClearNum
1,1001,1,0,0,500,1
2,1002,1,0,0,100,30
3,1003,1,0,0,700,50
4,1004,1,0,0,201,2000
5,1005,1,0,0,601,5000
6,1006,1,0,0,611,5000
7,1007,1,0,0,621,1500
8,1008,1,0,0,502,30000
9,1009,1,0,0,503,30000
10,1010,1,0,0,1000,1
11,1011,1,0,0,1003,1
12,1012,1,0,0,1002,3
13,1013,1,0,0,1101,5
14,1014,1,0,0,1103,5
15,1015,1,103,10,1100,5
16,1016,1,103,10,1100,1
17,1017,1,0,0,504,2019
18,1018,1,0,0,1001,3
19,1019,1,0,0,300,1
20,1020,1,0,0,600,10
21,1020,2,100,0,100,40
22,1021,1,0,0,1003,2
23,1021,2,103,1,1101,1
24,1022,1,0,0,401,5000
25,1023,1,100,0,100,40
26,1023,2,0,0,500,10
27,1024,1,0,0,900,10
28,1024,2,0,0,1001,1
29,1025,1,0,0,501,3
30,1026,1,0,0,600,20
31,1026,2,0,0,502,10000
32,1026,3,0,0,503,10000
33,1027,1,0,0,901,15
34,1027,2,0,0,501,6
35,1028,1,0,0,1100,5
36,1029,1,0,0,1100,3
37,1029,2,0,0,500,30
38,1029,3,100,0,700,100
39,1030,1,100,0,621,1500
40,1030,2,0,0,1003,1
41,1031,1,0,0,400,1
42,1031,2,100,0,200,1
43,1032,1,0,0,900,3
44,1032,2,100,0,100,20
45,1033,1,0,0,502,3000
46,1033,2,100,0,300,1
47,1034,1,100,0,621,1500
48,1034,2,0,0,502,3000
49,1035,1,0,0,1103,5
50,1036,1,0,0,504,10
51,1037,1,0,0,1103,2
52,1038,1,0,0,1003,1
53,1038,2,0,0,700,100
54,1039,1,0,0,1003,2
55,1039,2,0,0,1102,70
56,1040,1,0,0,1003,2
57,1040,2,0,0,1101,1
58,1041,1,0,0,1102,70
59,1042,1,0,0,1103,3
60,1043,1,0,0,600,5
61,1043,2,0,0,1102,30
62,1044,1,0,0,610,5
63,1044,2,0,0,1102,30
64,1045,1,0,0,620,5
65,1045,2,0,0,1102,30
66,1046,1,100,0,700,70
67,1046,2,0,0,1102,80
68,1047,1,0,0,301,4000
69,1047,2,0,0,401,6000
70,1048,1,102,2,1100,3
71,1048,2,100,0,1102,35
72,1049,1,0,0,1003,3
73,1050,1,0,0,1002,5
74,1050,2,103,5,1101,1
75,1051,1,0,0,1102,60
76,1051,2,103,10,1100,4
77,1052,1,0,0,1002,3
78,1053,1,0,0,1003,3
79,1053,2,0,0,1101,3
80,1054,1,0,0,1102,110
81,1054,2,0,0,1101,4
82,1055,1,0,0,1102,210
83,1055,2,0,0,1101,7
84,1056,1,100,0,500,5
85,1057,1,103,1,800,5
86,1058,1,0,0,1101,1
87,1059,1,0,0,1300,1
88,1060,1,0,0,1300,3
89,1060,2,0,0,1000,3
90,1061,1,0,0,1300,6
91,1061,2,0,0,901,12
92,1066,1,0,0,1002,1
93,1067,1,0,0,1003,2
94,1067,2,0,0,700,100
95,1068,1,0,0,501,1
96,1069,1,0,0,1102,80
97,1069,2,0,0,900,15
98,1070,1,0,0,1003,1
99,1071,1,0,0,1103,2
100,1071,2,0,0,900,5
101,1072,1,0,0,100,30
102,1072,2,0,0,1102,50
103,1073,1,0,0,1002,3
104,1073,2,0,0,1000,1
105,1074,1,0,0,1400,2
106,1074,2,0,0,701,3
107,1075,1,0,0,1002,2
108,1075,2,0,0,900,15
109,1076,1,0,0,1003,2
110,1076,2,0,0,901,5
111,1077,1,0,0,3002,2
112,1077,2,0,0,251,1000
113,1078,1,0,0,502,2000
114,1078,2,0,0,500,1
115,1079,1,0,0,250,1
116,1079,2,0,0,550,2000
117,1080,1,0,0,1102,60
118,1080,2,0,0,700,60
119,1081,1,0,0,700,250
120,1082,1,0,0,900,30
121,1083,1,0,0,1102,77
122,1084,1,0,0,1002,1
123,1085,1,0,0,1003,2
124,1085,2,0,0,900,15
125,1086,1,0,0,700,180
126,1086,2,0,0,901,5
127,1087,1,0,0,501,1
128,1087,2,0,0,1102,100
129,1088,1,0,0,1002,1
130,1088,2,0,0,504,2020
131,1089,1,0,0,900,15
132,1089,2,0,0,502,12000
133,1090,1,0,0,1003,3
134,1090,2,0,0,503,15000
135,1091,1,0,0,1102,90
136,1091,2,0,0,621,1000
137,1092,1,0,0,1002,1
138,1093,1,0,0,1003,2
139,1093,2,0,0,1102,90
140,1094,1,0,0,1001,3
141,1094,2,0,0,100,15
142,1095,1,0,0,1300,2
143,1100,1,0,0,504,20000
144,1101,1,0,0,501,10
145,1102,1,0,0,1001,5
146,1103,1,0,0,1003,10
147,1104,1,0,0,1003,1
148,1105,1,0,0,1002,2
149,1105,2,0,0,901,10
150,1106,1,0,0,1001,3
151,1106,2,0,0,100,15
152,1107,1,0,0,1101,1
153,1107,2,0,0,621,222
154,1108,1,0,0,1003,1
155,1109,1,0,0,1002,2
156,1109,2,0,0,901,10
157,1110,1,0,0,1001,3
158,1110,2,0,0,100,15
159,1111,1,0,0,1101,1
160,1111,2,0,0,504,426
161,1112,1,0,0,1003,1
162,1113,1,0,0,1002,2
163,1113,2,0,0,901,10
164,1114,1,0,0,1001,3
165,1114,2,0,0,100,15
166,1115,1,0,0,1101,1
167,1115,2,0,0,505,617
168,1116,1,0,0,1003,1
169,1117,1,0,0,1002,2
170,1117,2,0,0,901,10
171,1118,1,0,0,1001,3
172,1118,2,0,0,100,15
173,1119,1,0,0,1101,1
174,1119,2,0,0,611,812
175,1120,1,0,0,1002,1
176,1121,1,0,0,1003,2
177,1121,2,0,0,1102,90
178,1122,1,0,0,1001,3
179,1122,2,0,0,100,15
180,1123,1,0,0,1300,2
181,1124,1,0,0,1003,1
182,1125,1,0,0,900,15
183,1125,2,0,0,611,5000
184,1126,1,0,0,1002,3
185,1126,2,0,0,503,10000
186,1127,1,0,0,1003,3
187,1127,2,0,0,1101,1
188,1128,1,0,0,1001,1
189,1129,1,101,2,600,3
190,1130,1,101,2,610,3
191,1131,1,101,3,620,2
192,1132,1,0,0,901,7
193,1133,1,0,0,1102,77
194,1133,2,0,0,504,7777
195,1134,1,0,0,701,7
196,1134,2,0,0,507,7777
197,1135,1,0,0,1101,1
198,1135,2,0,0,508,7777
199,1136,1,0,0,1002,1
200,1137,1,0,0,700,300
201,1137,2,0,0,504,10000
202,1138,1,0,0,1003,3
203,1138,2,0,0,610,10
204,1139,1,0,0,1102,90
205,1139,2,0,0,503,10000
206,1140,1,0,0,1001,1
207,1141,1,0,0,1003,2
208,1141,2,0,0,100,15
209,1142,1,0,0,901,5
210,1142,2,0,0,201,1000
211,1143,1,0,0,1002,3
212,1143,2,0,0,301,3000
213,2001,1,0,0,500,1
214,2002,1,0,0,100,30
215,2003,1,0,0,700,50
216,2004,1,0,0,201,2000
217,2005,1,0,0,601,5000
218,2006,1,0,0,611,5000
219,2007,1,0,0,621,1500
220,2008,1,0,0,502,30000
221,2009,1,0,0,503,30000
222,2010,1,0,0,1000,1
