---,ClearTypeId,Name,Text
1,0,-,
2,100,敵マグをn体撃破する,敵マグを?体撃破する
3,200,敵Sマグをn体撃破する,敵Sマグを?体撃破する
4,201,敵Sマグにnダメージ与える,敵Sマグに?ダメージ与える
5,250,敵Xマグをn体撃破する,敵Xマグを?体撃破する
6,251,敵Xマグにnダメージ与える,敵Xマグに?ダメージ与える
7,300,敵タワーをn機撃破する,敵タワーを?機撃破する
8,301,敵タワーにnダメージ与える,敵タワーに?ダメージ与える
9,400,敵エア・グランデをn体撃破する,敵エア・グランデを?体撃破する
10,401,敵エア・グランデにnダメージ与える,敵エア・グランデに?ダメージ与える
11,500,敵ARをn体撃破する,敵ARを?体撃破する
12,501,ポート内にいる状態で敵ARをn体撃破する,ポート内にいる状態で敵ARを?体撃破する
13,502,射撃武器でnダメージ与える,射撃武器で?ダメージ与える
14,503,格闘武器でnダメージ与える,格闘武器で?ダメージ与える
15,504,敵ARにnダメージ与える,敵ARに?ダメージ与える
16,505,ポート占拠中に敵ARにnダメージ与える,ポート占拠中に敵ARに?ダメージ与える
17,506,ポート占拠中の敵ARにnダメージ与える,ポート占拠中の敵ARに?ダメージ与える
18,507,ビーム武器でnダメージ与える,ビーム武器で?ダメージ与える
19,508,実弾武器でnダメージ与える,実弾武器で?ダメージ与える
20,550,敵エース(フェーズ3)にnダメージ与える,敵エース(フェーズ3)に?ダメージ与える
21,600,アサルトでn分対戦する,アサルトで?分対戦する
22,601,アサルトでnダメージ与える,アサルトで?ダメージ与える
23,610,ヴァンガードでn分対戦する,ヴァンガードで?分対戦する
24,611,ヴァンガードでnダメージ与える,ヴァンガードで?ダメージ与える
25,620,サポートでn分対戦する,サポートで?分対戦する
26,621,味方ARの耐久値をn回復する,味方ARの耐久値を?回復する
27,630,レンジャーでn分対戦する,レンジャーで?分対戦する
28,631,レンジャーでnダメージ与える,レンジャーで?ダメージ与える
29,700,ポート占拠時間をn秒達成する,ポート占拠時間を?秒達成する
30,701,ポートをn回占拠する,ポートを?回占拠する
31,800,敵チームより先にチームレベルをnにする,敵チームより先にチームレベルを?にする
32,900,n回フルドライブする,?回フルドライブする
33,901,n回ドリフトする,?回ドリフトする
34,1000,n回帰還する,?回帰還する
35,1001,n試合ミニマップのシンボルチャットをする,?試合ミニマップのシンボルチャットをする
36,1002,n回ブリーフィングで「あいさつ」する,?回ブリーフィングで「あいさつ」する
37,1003,n回願掛けを成功する,?回願掛けを成功する
38,1100,チーム内でn位以上になる,チーム内で?位以上になる
39,1101,勝利する,勝利する
40,1102,ナイスプレイをn回達成する,ナイスプレイを?回達成する
41,1103,n回出撃する,?回出撃する
42,1200,敵コアにnダメージ与える,敵コアに?ダメージ与える
43,1300,同時出撃をn回プレイする,同時出撃を?回プレイする
44,1400,キザナ共闘戦線をn回プレイする,キザナ共闘戦線を?回プレイする
45,2000,他のクエストを全てクリア,他のクエストを全てクリア
46,3000,Sランクでn回勝利する,Sランクで?回勝利する
47,3001,A+ランク以上でn回勝利する,A+ランク以上で?回勝利する
48,3002,Aランク以上でn回勝利する,Aランク以上で?回勝利する
49,3003,B+ランク以上でn回勝利する,B+ランク以上で?回勝利する
50,3004,Bランク以上でn回勝利する,Bランク以上で?回勝利する
51,3005,1度も撃破されずにn回勝利する,1度も撃破されずに?回勝利する
