---,QuestKindId,Name
0,0,なし
1,1,クリスマス作戦１
2,2,クリスマス作戦２
3,3,クリスマス作戦３
4,4,お正月
5,5,バレンタイン
6,6,ジューン・ブライド
7,7,夏休み１
8,8,夏休み２
9,9,夏休み３
10,10,夏休み４
11,11,バースト１
12,12,バースト２
13,13,バースト３
14,14,バースト４
15,15,月より団子１
16,16,月より団子２
17,17,月より団子３
18,18,月より団子４
19,19,ベロベロバー！１
20,20,ベロベロバー！２
21,21,ベロベロバー！３
22,22,ベロベロバー！４
23,23,キザナ共闘戦線１
24,24,キザナ共闘戦線２
25,25,キザナ共闘戦線３
26,26,キザナ共闘戦線４
27,27,キザナ共闘戦線５
28,28,キザナ共闘戦線６
29,29,キザナ共闘戦線７
30,30,メリークリスマス１
31,31,メリークリスマス２
32,32,メリークリスマス３
33,33,メリークリスマス４
34,34,お正月チャレンジ１
35,35,お正月チャレンジ２
36,36,お正月チャレンジ４
37,38,チョコっと甘～い１
38,39,チョコっと甘～い２
39,40,チョコっと甘～い３
40,41,チョコっと甘～い４
41,37,お正月チャレンジ３
42,42,お返しチョ～だい！１
43,43,お返しチョ～だい！２
44,44,お返しチョ～だい！３
45,45,お返しチョ～だい！４
46,46,花より団子だべ１
47,47,花より団子だべ２
48,48,花より団子だべ３
49,49,花より団子だべ４
50,50,あっぱれ五月晴れ！１
51,51,あっぱれ五月晴れ！２
52,52,あっぱれ五月晴れ！３
53,53,あっぱれ五月晴れ！４
54,54,宇宙でめぐり会う二人１
55,55,宇宙でめぐり会う二人２
56,56,宇宙でめぐり会う二人３
57,57,宇宙でめぐり会う二人４
58,58,初夏を駆ける１
59,59,初夏を駆ける２
60,60,初夏を駆ける３
61,61,初夏を駆ける４
62,62,あっちぃーの夏盛り！１
63,63,あっちぃーの夏盛り！２
64,64,あっちぃーの夏盛り！３
65,65,あっちぃーの夏盛り！４
