---,QuestId,QuestReleaseId,QuestReleaseItemId,IntValue,TimeValue
1,1001,1,3,5,0001-01-01 00:00:00
2,1002,1,3,5,0001-01-01 00:00:00
3,1003,1,3,5,0001-01-01 00:00:00
4,1004,1,3,6,0001-01-01 00:00:00
5,1005,1,3,6,0001-01-01 00:00:00
6,1006,1,3,6,0001-01-01 00:00:00
7,1007,1,3,6,0001-01-01 00:00:00
8,1008,1,3,7,0001-01-01 00:00:00
9,1009,1,3,7,0001-01-01 00:00:00
10,1010,1,2,2,0001-01-01 00:00:00
11,1011,1,2,3,0001-01-01 00:00:00
12,1012,1,11,0,2018-12-12 08:00:00
13,1012,1,2,3,0001-01-01 00:00:00
14,1012,2,1,1010,0001-01-01 00:00:00
15,1012,2,1,1011,0001-01-01 00:00:00
16,1013,1,11,7,2019-07-03 08:00:00
17,1013,1,1,1042,0001-01-01 00:00:00
18,1014,1,11,0,2018-12-12 08:00:00
19,1014,1,12,0,2018-12-26 06:00:00
20,1015,1,1,1014,0001-01-01 00:00:00
21,1015,1,11,0,2018-12-12 08:00:00
22,1015,1,12,0,2018-12-26 06:00:00
23,1016,1,1,1015,0001-01-01 00:00:00
24,1016,1,11,0,2018-12-12 08:00:00
25,1016,1,12,0,2018-12-26 06:00:00
26,1017,1,11,0,2019-01-01 08:00:00
27,1017,1,12,0,2019-02-01 06:00:00
28,1018,1,11,0,2019-01-09 08:00:00
29,1018,1,2,4,0001-01-01 00:00:00
30,1018,2,1,1012,0001-01-01 00:00:00
31,1019,1,11,1013,2036-01-01 08:00:00
32,1019,1,3,7,0001-01-01 00:00:00
33,1020,1,11,10,2036-01-01 08:00:00
34,1020,1,3,10,0001-01-01 00:00:00
35,1021,1,11,0,2019-02-20 08:00:00
36,1021,1,2,4,0001-01-01 00:00:00
37,1021,2,1,1018,0001-01-01 00:00:00
38,1022,1,11,0,2019-01-09 08:00:00
39,1022,1,3,7,0001-01-01 00:00:00
40,1022,2,1,1004,0001-01-01 00:00:00
41,1023,1,11,13,2036-01-01 08:00:00
42,1024,1,11,0,2019-03-27 08:00:00
43,1024,1,1,1021,0001-01-01 00:00:00
44,1025,1,11,7,2036-01-01 08:00:00
45,1026,1,11,16,2036-01-01 08:00:00
46,1027,1,11,4,2019-04-24 08:00:00
47,1027,1,1,1024,0001-01-01 00:00:00
48,1028,1,11,5,2036-01-01 08:00:00
49,1029,1,11,19,2036-01-01 08:00:00
50,1030,1,11,5,2036-01-01 08:00:00
51,1031,1,11,5,2036-01-01 08:00:00
52,1032,1,11,5,2036-01-01 08:00:00
53,1033,1,11,5,2036-01-01 08:00:00
54,1034,1,11,5,2036-01-01 08:00:00
55,1035,1,11,0,2019-02-01 08:00:00
56,1035,1,12,0,2019-02-15 06:00:00
57,1036,1,11,3,2036-01-01 08:00:00
58,1037,1,11,0,2010-04-22 08:00:00
59,1037,1,12,0,2010-05-06 08:00:00
60,1038,1,11,0,2010-04-22 08:00:00
61,1038,1,1,1037,0001-01-01 00:00:00
62,1038,1,12,0,2010-05-06 08:00:00
63,1039,1,11,0,2010-04-22 08:00:00
64,1039,1,1,1038,0001-01-01 00:00:00
65,1039,1,12,0,2010-05-06 08:00:00
66,1040,1,11,0,2010-04-22 08:00:00
67,1040,1,1,1039,0001-01-01 00:00:00
68,1040,1,12,0,2010-05-06 08:00:00
69,1041,1,11,0,2019-02-20 08:00:00
70,1041,1,3,8,0001-01-01 00:00:00
71,1042,1,11,0,2019-02-20 08:00:00
72,1042,1,3,7,0001-01-01 00:00:00
73,1042,2,1,1001,0001-01-01 00:00:00
74,1043,1,11,0,2019-03-27 08:00:00
75,1043,1,3,9,0001-01-01 00:00:00
76,1043,1,1,1005,0001-01-01 00:00:00
77,1044,1,11,0,2019-03-27 08:00:00
78,1044,1,3,9,0001-01-01 00:00:00
79,1044,1,1,1006,0001-01-01 00:00:00
80,1045,1,11,0,2019-03-27 08:00:00
81,1045,1,3,9,0001-01-01 00:00:00
82,1045,1,1,1007,0001-01-01 00:00:00
83,1046,1,11,0,2019-04-24 08:00:00
84,1046,1,1,1042,0001-01-01 00:00:00
85,1046,1,3,10,0001-01-01 00:00:00
86,1047,1,11,0,2019-05-29 08:00:00
87,1047,1,1,1027,0001-01-01 00:00:00
88,1048,1,11,0,2036-01-01 08:00:00
89,1048,2,2,6,0001-01-01 00:00:00
90,1049,1,3,5,0001-01-01 00:00:00
91,1049,1,12,0,2019-06-26 08:00:00
92,1050,1,1,1049,0001-01-01 00:00:00
93,1050,1,12,0,2019-06-26 08:00:00
94,1051,1,1,1050,0001-01-01 00:00:00
95,1051,1,12,0,2019-06-26 08:00:00
96,1052,1,3,5,0001-01-01 00:00:00
97,1052,1,12,0,2019-07-31 06:00:00
98,1053,1,1,1052,0001-01-01 00:00:00
99,1053,1,12,0,2019-07-31 06:00:00
100,1054,1,1,1053,0001-01-01 00:00:00
101,1054,1,12,0,2019-07-31 06:00:00
102,1055,1,1,1054,0001-01-01 00:00:00
103,1055,1,12,0,2019-07-31 06:00:00
104,1056,1,11,0,2019-08-07 06:00:00
105,1056,1,1,1047,0001-01-01 00:00:00
106,1057,1,11,0,2019-08-07 06:00:00
107,1057,1,1,1013,0001-01-01 00:00:00
