---,Id,Name,TexturePtr,InitialPoint,RequiredPoint,RankTypeId,RankGradeTypeId,InitialPoint_2on2,RequiredPoint_2on2,RankTypeId_2on2,RankGradeTypeId_2on2
1,1,ライジングスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_RS_1.Tex_RankIcon_RS_1',0,20000,1,1,0,10000,1,1
2,2,ライジングスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_RS_2.Tex_RankIcon_RS_2',22000,40000,1,1,13000,20000,1,1
3,3,ライジングスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_RS_3.Tex_RankIcon_RS_3',42000,60000,1,2,23000,30000,1,2
4,4,シングルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_1S_1.Tex_RankIcon_1S_1',60000,80000,2,2,33000,40000,2,2
5,5,シングルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_1S_2.Tex_RankIcon_1S_2',90000,110000,2,2,43000,50000,2,2
6,6,シングルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_1S_3.Tex_RankIcon_1S_3',120000,140000,2,2,53000,60000,2,2
7,7,ダブルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_2S_1.Tex_RankIcon_2S_1',150000,170000,2,2,63000,70000,2,2
8,8,ダブルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_2S_2.Tex_RankIcon_2S_2',180000,200000,2,2,73000,80000,2,2
9,9,ダブルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_2S_3.Tex_RankIcon_2S_3',210000,230000,2,2,83000,90000,2,2
10,10,トリプルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_3S_1.Tex_RankIcon_3S_1',240000,260000,2,2,93000,100000,2,2
11,11,トリプルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_3S_2.Tex_RankIcon_3S_2',270000,290000,2,2,103000,110000,2,2
12,12,トリプルスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_3S_3.Tex_RankIcon_3S_3',300000,320000,2,2,113000,120000,2,2
13,13,フォースター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_4S_1.Tex_RankIcon_4S_1',330000,350000,2,2,123000,130000,2,2
14,14,フォースター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_4S_2.Tex_RankIcon_4S_2',360000,380000,2,2,133000,140000,2,2
15,15,フォースター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_4S_3.Tex_RankIcon_4S_3',390000,410000,2,2,143000,150000,2,2
16,16,ファイブスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_5S_1.Tex_RankIcon_5S_1',420000,440000,2,3,153000,160000,2,3
17,17,ファイブスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_5S_2.Tex_RankIcon_5S_2',450000,470000,2,3,163000,170000,2,3
