---,RankId,EvalPoint,RankPoint
1,1,0,10000
2,1,1,10000
3,1,2,10000
4,1,3,10000
5,1,4,10000
6,1,5,10000
7,1,6,10000
8,1,7,10000
9,1,8,10000
10,1,9,10000
11,1,10,10000
12,1,11,10000
13,2,0,10000
14,2,1,10000
15,2,2,10000
16,2,3,5000
17,2,4,5000
18,2,5,10000
19,2,6,10000
20,2,7,10000
21,2,8,10000
22,2,9,10000
23,2,10,10000
24,2,11,10000
25,3,0,10000
26,3,1,10000
27,3,2,10000
28,3,3,5000
29,3,4,5000
30,3,5,10000
31,3,6,10000
32,3,7,10000
33,3,8,10000
34,3,9,10000
35,3,10,10000
36,3,11,10000
37,4,0,50
38,4,1,100
39,4,2,200
40,4,3,300
41,4,4,500
42,4,5,1000
43,4,6,1500
44,4,7,2500
45,4,8,3000
46,4,9,4000
47,4,10,5000
48,4,11,7500
49,5,0,50
50,5,1,100
51,5,2,200
52,5,3,300
53,5,4,500
54,5,5,1000
55,5,6,1500
56,5,7,2500
57,5,8,3000
58,5,9,4000
59,5,10,5000
60,5,11,7500
61,6,0,50
62,6,1,100
63,6,2,200
64,6,3,300
65,6,4,500
66,6,5,1000
67,6,6,1500
68,6,7,2500
69,6,8,3000
70,6,9,4000
71,6,10,5000
72,6,11,7500
73,7,0,-50
74,7,1,-25
75,7,2,0
76,7,3,100
77,7,4,200
78,7,5,300
79,7,6,400
80,7,7,500
81,7,8,750
82,7,9,1000
83,7,10,2000
84,7,11,3000
85,8,0,-50
86,8,1,-25
87,8,2,0
88,8,3,100
89,8,4,200
90,8,5,300
91,8,6,400
92,8,7,500
93,8,8,750
94,8,9,1000
95,8,10,2000
96,8,11,3000
97,9,0,-50
98,9,1,-25
99,9,2,0
100,9,3,100
101,9,4,200
102,9,5,300
103,9,6,400
104,9,7,500
105,9,8,750
106,9,9,1000
107,9,10,2000
108,9,11,3000
109,10,0,-75
110,10,1,-50
111,10,2,-25
112,10,3,25
113,10,4,50
114,10,5,100
115,10,6,200
116,10,7,330
117,10,8,400
118,10,9,500
119,10,10,750
120,10,11,1000
121,11,0,-75
122,11,1,-50
123,11,2,-25
124,11,3,25
125,11,4,50
126,11,5,100
127,11,6,200
128,11,7,330
129,11,8,400
130,11,9,500
131,11,10,750
132,11,11,1000
133,12,0,-75
134,12,1,-50
135,12,2,-25
136,12,3,25
137,12,4,50
138,12,5,100
139,12,6,200
140,12,7,330
141,12,8,400
142,12,9,500
143,12,10,750
144,12,11,1000
145,13,0,-150
146,13,1,-100
147,13,2,-75
148,13,3,-50
149,13,4,0
150,13,5,100
151,13,6,200
152,13,7,300
153,13,8,400
154,13,9,500
155,13,10,750
156,13,11,1000
157,14,0,-150
158,14,1,-100
159,14,2,-75
160,14,3,-50
161,14,4,0
162,14,5,100
163,14,6,200
164,14,7,300
165,14,8,400
166,14,9,500
167,14,10,750
168,14,11,1000
169,15,0,-150
170,15,1,-100
171,15,2,-75
172,15,3,-50
173,15,4,0
174,15,5,100
175,15,6,200
176,15,7,300
177,15,8,400
178,15,9,500
179,15,10,750
180,15,11,1000
181,16,0,-175
182,16,1,-125
183,16,2,-100
184,16,3,-75
185,16,4,0
186,16,5,100
187,16,6,200
188,16,7,300
189,16,8,400
190,16,9,500
191,16,10,750
192,16,11,1000
193,17,0,-175
194,17,1,-125
195,17,2,-100
196,17,3,-75
197,17,4,0
198,17,5,100
199,17,6,200
200,17,7,300
201,17,8,400
202,17,9,500
203,17,10,750
204,17,11,1000
205,18,0,-200
206,18,1,-150
207,18,2,-125
208,18,3,-100
209,18,4,0
210,18,5,100
211,18,6,200
212,18,7,300
213,18,8,400
214,18,9,500
215,18,10,750
216,18,11,1000
217,19,0,-225
218,19,1,-175
219,19,2,-150
220,19,3,-125
221,19,4,-100
222,19,5,0
223,19,6,150
224,19,7,300
225,19,8,400
226,19,9,500
227,19,10,750
228,19,11,1000
229,20,0,-225
230,20,1,-175
231,20,2,-150
232,20,3,-125
233,20,4,-100
234,20,5,0
235,20,6,150
236,20,7,300
237,20,8,400
238,20,9,500
239,20,10,750
240,20,11,1000
241,21,0,-260
242,21,1,-210
243,21,2,-185
244,21,3,-160
245,21,4,-135
246,21,5,0
247,21,6,150
248,21,7,300
249,21,8,400
250,21,9,500
251,21,10,750
252,21,11,1000
253,22,0,-225
