---,RewardId,ItemTypeId,ItemId,ItemName,Count
1000001,1000001,1,1,CP × 1,1
1000010,1000010,1,1,CP × 10,10
1000020,1000020,1,1,CP × 20,20
1000030,1000030,1,1,CP × 30,30
1000040,1000040,1,1,CP × 40,40
1000050,1000050,1,1,CP × 50,50
1000060,1000060,1,1,CP × 60,60
1000100,1000100,1,1,CP × 100,100
1000200,1000200,1,1,CP × 200,200
1000300,1000300,1,1,CP × 300,300
1000400,1000400,1,1,CP × 400,400
1000500,1000500,1,1,CP × 500,500
1001000,1001000,1,1,CP × 1000,1000
1001500,1001500,1,1,CP × 1500,1500
1001600,1001600,1,1,CP × 1600,1600
1002000,1002000,1,1,CP × 2000,2000
1003000,1003000,1,1,CP × 3000,3000
1004000,1004000,1,1,CP × 4000,4000
1005000,1005000,1,1,CP × 5000,5000
1007000,1007000,1,1,CP × 7000,7000
1010000,1010000,1,1,CP × 10000,10000
2000001,2000001,2,1,うさぎ,1
2000002,2000002,2,2,アイテム名,1
3000001,3000001,3,1,ミトライユ,1
3000002,3000002,3,2,拳銃 天火,1
3000004,3000004,3,4,グレイン-AS,1
3000006,3000006,3,6,ラーゴ,1
3000008,3000008,3,8,ブートフィールド,1
3000009,3000009,3,9,レブンパレット,1
3000010,3000010,3,10,電磁網弾 縛鎖,1
3000011,3000011,3,11,カラミッタ,1
3000012,3000012,3,12,ミトライユ・コルト,1
3000013,3000013,3,13,ブリリオン,1
3000014,3000014,3,14,斬絶弾 幻月,1
3000015,3000015,3,15,多連装導弾 大蛇,1
3000017,3000017,3,17,デ・ディヴァルガン,1
3000018,3000018,3,18,メディク,1
3000019,3000019,3,19,フォルツァ-Ａ,1
3000020,3000020,3,20,機関砲 騎神,1
3000023,3000023,3,23,拳銃 月牙,1
3000024,3000024,3,24,火炎砲 散華,1
3000025,3000025,3,25,アイスランガー,1
3000026,3000026,3,26,プレストヒール,1
3000027,3000027,3,27,グレイン-VG,1
3000028,3000028,3,28,単装導弾 堕撃,1
3000029,3000029,3,29,O.G. メテオライト,1
3000030,3000030,3,30,エスプロジオ,1
3000031,3000031,3,31,単装導弾 双撃,1
3000032,3000032,3,32,デモリッシュ,1
3000033,3000033,3,33,爆撃砲 龍星,1
3000034,3000034,3,34,プロトンブラスター,1
3000035,3000035,3,35,ミトラーム,1
3000038,3000038,3,38,エステジオン・ボム,1
3000040,3000040,3,40,ハープーン・エギユ,1
3000042,3000042,3,42,ブランキアル,1
3000044,3000044,3,44,ラゼル,1
3000045,3000045,3,45,エステジオン・レイ,1
3000046,3000046,3,46,爆撃砲 加具土,1
3000047,3000047,3,47,O.G. グングニル,1
3000048,3000048,3,48,跳射爆弾 泡沫,1
3000049,3000049,3,49,フォルツァ-Ｂ,1
3000052,3000052,3,52,斬縛弾 月読,1
3000053,3000053,3,53,マーノムガン,1
3000057,3000057,3,57,ブルームブラスター,1
3000058,3000058,3,58,刃刀刃,1
3000060,3000060,3,60,ブーメラング,1
3000061,3000061,3,61,飛翔拳 単冥,1
3000063,3000063,3,63,ファイアサイス,1
3000064,3000064,3,64,デトネイトランス,1
3000065,3000065,3,65,飛翔拳 双天,1
3000067,3000067,3,67,ブレードジップ,1
3000068,3000068,3,68,大刃 水薙,1
3000069,3000069,3,69,ブラックスミス,1
3000070,3000070,3,70,O.G. ティターン,1
3000071,3000071,3,71,ターレットBR,1
3000072,3000072,3,72,グルナード,1
3000074,3000074,3,74,ソワン・ヒーリア,1
3000076,3000076,3,76,ボンバルド,1
3000077,3000077,3,77,デ・ファーリア,1
3000078,3000078,3,78,ジャメル,1
3000080,3000080,3,80,バースト・ボム,1
3000082,3000082,3,82,ドール,1
3000084,3000084,3,84,テレ・ヴ二ール,1
3000085,3000085,3,85,エレクトリット,1
3000087,3000087,3,87,ガレオン,1
3000088,3000088,3,88,テンペスト,1
3000091,3000091,3,91,デ・ファンス,1
3000092,3000092,3,92,エクステルス,1
3000093,3000093,3,93,レイスレイヴ Xt-S,1
3000096,3000096,3,96,ヘルシャフト,1
3000097,3000097,3,97,シールドヴァイト,1
3000099,3000099,3,99,X7133,1
3000100,3000100,3,100,ターレットMI,1
3000103,3000103,3,103,エヴォルフィア,1
3000105,3000105,3,105,エクレイル,1
3000106,3000106,3,106,マジアステルス,1
3000107,3000107,3,107,グレイスピラ,1
3000111,3000111,3,111,ブーメラング-Ａ,1
3000113,3000113,3,113,グラン・ラーゴ,1
3000114,3000114,3,114,ミトライユ・バル,1
3000118,3000118,3,118,ラジオパレット,1
3000119,3000119,3,119,グレイン-SP,1
3000120,3000120,3,120,ディトーレ,1
3000121,3000121,3,121,ジャック・オー・ガン,1
3000122,3000122,3,122,単装導弾 三皇,1
3000123,3000123,3,123,------,1
3000124,3000124,3,124,カラビスピラ,1
3000125,3000125,3,125,インパルスショット,1
3000126,3000126,3,126,インパルスシュート,1
3000127,3000127,3,127,L.O.V.E,1
3000128,3000128,3,128,烈火弾 煉獄,1
3000129,3000129,3,129,ハープーン・フォール,1
3000130,3000130,3,130,ブランシュテル,1
3000131,3000131,3,131,ディオグラント,1
3000132,3000132,3,132,ブラストサイス,1
3000133,3000133,3,133,グルナード・レイド,1
3000134,3000134,3,134,電導弾 虚無,1
3000135,3000135,3,135,三星・桜白蓬,1
3000136,3000136,3,136,凍剣・氷菓,1
3000137,3000137,3,137,ベツレヘイム-X,1
3000138,3000138,3,138,ブーメラング・メア,1
3000139,3000139,3,139,A.M,1
3000140,3000140,3,140,バースト・ボム改,1
3000141,3000141,3,141,レイスレイヴ Xt-A,1
3000142,3000142,3,142,レイスレイヴ Xt-V,1
3000143,3000143,3,143,フォルツパレット,1
3000201,3000201,3,201,拳銃 雲雀,1
3000202,3000202,3,202,多連装導弾 冥鎚,1
3000203,3000203,3,203,多連装導弾 竜爪,1
3000204,3000204,3,204,新・単装導弾01,1
3000205,3000205,3,205,新・単装導弾02,1
3000206,3000206,3,206,マーノムガン-AS,1
3000207,3000207,3,207,新・マーノムガン02,1
4010011,4010011,4,10011,ソリディア・Ｈ,1
4010012,4010012,4,10012,ソリディア・Ｂ,1
4010013,4010013,4,10013,ソリディア・Ａ,1
4010014,4010014,4,10014,ソリディア・Ｌ,1
4010015,4010015,4,10015,ソリディア・Ｗ,1
