---,RewardSetId,RewardId
1,10001,4080011
2,10001,4080013
3,10002,4080012
4,10002,4080014
5,10003,4030051
6,10003,4030053
7,10004,4030052
8,10004,4030054
9,10005,6030086
10,10005,7002005
11,10006,4100021
12,10006,4100023
13,10007,4100022
14,10007,4100024
15,10008,6030093
16,10008,7002006
17,10009,4110041
18,10009,4110043
19,10010,4110042
20,10010,4110045
21,10011,6030094
22,10011,7002007
23,10012,6001014
24,10012,4011041
25,10012,4021041
26,10012,4051041
27,10013,1000500
28,10013,4011042
29,10013,4021042
30,10013,4051042
31,10014,1000500
32,10014,4011043
33,10014,4021043
34,10014,4051043
35,10015,1000500
36,10015,4011044
37,10015,4021044
38,10015,4051044
39,10016,1001000
40,10016,4011045
41,10016,4021045
42,10016,4051045
43,10017,4061041
44,10017,4041041
45,10017,4091041
46,10017,4031041
47,10018,4061042
48,10018,4041042
49,10018,4091042
50,10018,4031042
51,10019,4061043
52,10019,4041043
53,10019,4091043
54,10019,4031043
55,10020,4061044
56,10020,4041044
57,10020,4091044
58,10020,4031044
59,10021,4061045
60,10021,4041045
61,10021,4091045
62,10021,4031045
63,10022,4081041
64,10022,4101041
65,10022,4111041
66,10022,4121041
67,10023,4081042
68,10023,4101042
69,10023,4111042
70,10023,4121042
71,10024,4081043
72,10024,4101043
73,10024,4111043
74,10024,4121043
75,10025,4081044
76,10025,4101044
77,10025,4111044
78,10025,4121044
79,10026,4081045
80,10026,4101045
81,10026,4111045
82,10026,4121045
83,10027,4110121
84,10027,4110122
85,10027,4110123
86,10027,4110124
87,10027,4110125
88,10028,4120111
89,10028,4120112
90,10028,4120113
91,10028,4120114
92,10028,4120115
93,10029,4070071
94,10029,4070072
95,10030,4070073
96,10030,4070074
97,10031,4030111
98,10031,4030112
99,10031,4030113
100,10031,4030114
101,10031,4030115
102,10032,4110031
103,10032,4110032
104,10032,4110033
105,10032,4110034
106,10032,4110035
107,10033,4010041
108,10033,4010042
109,10033,4010043
110,10033,4010044
111,10033,4010045
112,10034,4040011
113,10034,4040012
114,10034,4040013
115,10034,4040014
116,10034,4040015
117,10035,4020061
118,10035,4020062
119,10035,4020063
120,10035,4020064
121,10035,4020065
122,10036,4090061
123,10036,4090062
124,10036,4090063
125,10036,4090064
126,10036,4090065
127,10037,4090051
128,10037,4090052
129,10037,4090053
130,10037,4090054
131,10037,4090055
132,10038,4050091
133,10038,4050092
134,10038,4050093
135,10038,4050094
136,10038,4050095
137,10039,4080101
138,10039,4080102
139,10039,4080103
140,10039,4080104
141,10039,4080105
142,10040,4100081
143,10040,4100082
144,10040,4100083
145,10040,4100084
146,10040,4100085
147,10041,4120061
148,10041,4120062
149,10041,4120063
150,10041,4120064
151,10041,4120065
152,10042,4060121
153,10042,4060122
154,10042,4060123
155,10042,4060124
156,10042,4060125
157,10043,4020141
158,10043,4040141
159,10044,4020142
160,10044,4040142
161,10045,4020143
162,10045,4040143
163,10046,4020144
164,10046,4040144
165,10047,4020145
166,10047,4040145
167,10048,4130131
168,10048,4130132
169,10049,4130133
170,10049,4130134
