---,RewardId,ItemId,ChangeItemId
1,7003101,3101,103101
2,7003102,3102,103102
3,7003103,3103,103103
4,7003104,3104,103104
5,7003105,3105,103105
6,7003106,3106,103106
7,7003107,3107,103107
8,7003108,3108,103108
9,7003109,3109,103109
10,7003110,3110,103110
11,7103101,103101,3101
12,7103102,103102,3102
13,7103103,103103,3103
14,7103104,103104,3104
15,7103105,103105,3105
16,7103106,103106,3106
17,7103107,103107,3107
18,7103108,103108,3108
19,7103109,103109,3109
20,7103110,103110,3110
21,7003201,3201,103201
22,7003202,3202,103202
23,7003203,3203,103203
24,7003204,3204,103204
25,7003205,3205,103205
26,7003206,3206,103206
27,7003207,3207,103207
28,7003208,3208,103208
29,7003209,3209,103209
30,7003210,3210,103210
31,7103201,103201,3201
32,7103202,103202,3202
33,7103203,103203,3203
34,7103204,103204,3204
35,7103205,103205,3205
36,7103206,103206,3206
37,7103207,103207,3207
38,7103208,103208,3208
39,7103209,103209,3209
40,7103210,103210,3210
41,7003301,3301,103301
42,7003302,3302,103302
43,7003303,3303,103303
44,7003304,3304,103304
45,7003305,3305,103305
46,7003306,3306,103306
47,7003307,3307,103307
48,7003308,3308,103308
49,7003309,3309,103309
50,7003310,3310,103310
51,7103301,103301,3301
52,7103302,103302,3302
53,7103303,103303,3303
54,7103304,103304,3304
55,7103305,103305,3305
56,7103306,103306,3306
57,7103307,103307,3307
58,7103308,103308,3308
59,7103309,103309,3309
60,7103310,103310,3310
61,7003401,3401,103401
62,7003402,3402,103402
63,7003403,3403,103403
64,7003404,3404,103404
65,7003405,3405,103405
66,7003406,3406,103406
67,7003407,3407,103407
68,7003408,3408,103408
69,7003409,3409,103409
70,7003410,3410,103410
71,7103401,103401,3401
72,7103402,103402,3402
73,7103403,103403,3403
74,7103404,103404,3404
75,7103405,103405,3405
76,7103406,103406,3406
77,7103407,103407,3407
78,7103408,103408,3408
79,7103409,103409,3409
80,7103410,103410,3410
81,7003501,3501,103501
82,7003502,3502,103502
83,7003503,3503,103503
84,7003504,3504,103504
85,7003505,3505,103505
86,7003506,3506,103506
87,7003507,3507,103507
88,7003508,3508,103508
89,7003509,3509,103509
90,7003510,3510,103510
91,7103501,103501,3501
92,7103502,103502,3502
93,7103503,103503,3503
94,7103504,103504,3504
95,7103505,103505,3505
96,7103506,103506,3506
97,7103507,103507,3507
98,7103508,103508,3508
99,7103509,103509,3509
100,7103510,103510,3510
101,7003601,3601,103601
102,7003602,3602,103602
103,7003603,3603,103603
104,7003604,3604,103604
105,7003605,3605,103605
106,7003606,3606,103606
107,7003607,3607,103607
108,7003608,3608,103608
109,7003609,3609,103609
110,7003610,3610,103610
111,7103601,103601,3601
112,7103602,103602,3602
113,7103603,103603,3603
114,7103604,103604,3604
115,7103605,103605,3605
116,7103606,103606,3606
117,7103607,103607,3607
118,7103608,103608,3608
119,7103609,103609,3609
120,7103610,103610,3610
121,7003701,3701,103701
122,7003702,3702,103702
123,7003703,3703,103703
124,7003704,3704,103704
125,7103701,103701,3701
126,7103702,103702,3702
127,7103703,103703,3703
128,7103704,103704,3704
129,7004001,4001,104001
130,7004002,4002,104002
131,7004003,4003,104003
132,7004004,4004,104004
133,7104001,104001,4001
134,7104002,104002,4002
135,7104003,104003,4003
136,7104004,104004,4004
137,7004101,4101,104101
138,7004102,4102,104102
139,7004103,4103,104103
140,7004104,4104,104104
141,7104101,104101,4101
142,7104102,104102,4102
143,7104103,104103,4103
144,7104104,104104,4104
145,7004201,4201,104201
146,7004202,4202,104202
147,7004203,4203,104203
148,7004204,4204,104204
149,7104201,104201,4201
150,7104202,104202,4202
151,7104203,104203,4203
152,7104204,104204,4204
153,7004301,4301,104301
154,7004302,4302,104302
155,7004303,4303,104303
156,7004304,4304,104304
157,7104301,104301,4301
158,7104302,104302,4302
159,7104303,104303,4303
160,7104304,104304,4304
