---,RobotID,RobotName,RobotShortName,Maker,BuddyId,ModelNumber,Height,Weight,Thrust,Output,RobotProfile,Mobility,Durable,ReleaseLevel,RobotSortID,Release2on2Date
0,0,None,None,0,0,,,,,,,0,0,999999,99999,2999-01-01 00:00:00
1,1,ソリディア,ソリディア,1,1,,,,,,,0,0,90000,1,2020-09-01 08:00:00
2,2,カーディナル,カーディナル,2,5,,,,,,,0,0,90000,5,2020-09-01 08:00:00
3,3,スクラッパー,スクラッパー,1,0,,,,,,,0,0,100040,8,2020-09-01 08:00:00
4,4,サイトヘッド,サイトヘッド,3,4,,,,,,,0,0,100000,4,2020-09-01 08:00:00
5,5,シーユー・レイター,ＣＵ・レイター,3,2,,,,,,,0,0,90000,2,2020-09-01 08:00:00
6,6,ゴールテン・ダー,ゴールテン・ダー,1,3,,,,,,,0,0,100000,3,2020-09-01 08:00:00
7,7,アンゼロイ,アンゼロイ,2,0,,,,,,,0,0,101030,12,2020-09-01 08:00:00
8,8,ディスドス,ディスドス,2,0,,,,,,,0,0,100020,7,2020-09-01 08:00:00
9,9,サブライガ,サブライガ,2,6,,,,,,,0,0,100000,6,2020-09-01 08:00:00
10,10,ファルマコン,ファルマコン,1,0,,,,,,,0,0,100060,9,2020-09-01 08:00:00
11,11,ラピスヘッジ,ラピスヘッジ,3,0,,,,,,,0,0,100080,10,2020-09-01 08:00:00
12,12,パ・フェクト,パ・フェクト,3,0,,,,,,,0,0,101000,11,2020-09-01 08:00:00
13,13,エタニティ,エタニティ,4,0,,,,,,,0,0,101040,14,2020-09-01 08:00:00
14,14,オキサイド,オキサイド,4,0,,,,,,,0,0,101040,13,2020-09-01 08:00:00
