---,MechaPartBaseId,Name,MechaId,PartId
1,10001,ソリディア・Ｈ,1,1
2,10002,ソリディア・Ｂ,1,2
3,10003,ソリディア・Ａ,1,3
4,10004,ソリディア・Ｌ,1,4
5,10005,ソリディア・Ｗ,1,5
6,20001,カーディナル・Ｈ,2,1
7,20002,カーディナル・Ｂ,2,2
8,20003,カーディナル・Ａ,2,3
9,20004,カーディナル・Ｌ,2,4
10,20005,カーディナル・Ｗ,2,5
11,30001,スクラッパー・Ｈ,3,1
12,30002,スクラッパー・Ｂ,3,2
13,30003,スクラッパー・Ａ,3,3
14,30004,スクラッパー・Ｌ,3,4
15,30005,スクラッパー・Ｗ,3,5
16,40001,サイトヘッド・Ｈ,4,1
17,40002,サイトヘッド・Ｂ,4,2
18,40003,サイトヘッド・Ａ,4,3
19,40004,サイトヘッド・Ｌ,4,4
20,40005,サイトヘッド・Ｗ,4,5
21,50001,CU・レイター・Ｈ,5,1
22,50002,CU・レイター・Ｂ,5,2
23,50003,CU・レイター・Ａ,5,3
24,50004,CU・レイター・Ｌ,5,4
25,50005,CU・レイター・Ｗ,5,5
26,60001,ゴールテン・D・Ｈ,6,1
27,60002,ゴールテン・D・Ｂ,6,2
28,60003,ゴールテン・D・Ａ,6,3
29,60004,ゴールテン・D・Ｌ,6,4
30,60005,ゴールテン・D・Ｗ,6,5
31,70001,アンゼロイ・Ｈ,7,1
32,70002,アンゼロイ・Ｂ,7,2
33,70003,アンゼロイ・Ａ,7,3
34,70004,アンゼロイ・Ｌ,7,4
35,70005,アンゼロイ・Ｗ,7,5
36,80001,ディスドス・Ｈ,8,1
37,80002,ディスドス・Ｂ,8,2
38,80003,ディスドス・Ａ,8,3
39,80004,ディスドス・Ｌ,8,4
40,80005,ディスドス・Ｗ,8,5
41,90001,サブライガ・Ｈ,9,1
42,90002,サブライガ・Ｂ,9,2
43,90003,サブライガ・Ａ,9,3
44,90004,サブライガ・Ｌ,9,4
45,90005,サブライガ・Ｗ,9,5
46,100001,ファルマコン・Ｈ,10,1
47,100002,ファルマコン・Ｂ,10,2
48,100003,ファルマコン・Ａ,10,3
49,100004,ファルマコン・Ｌ,10,4
50,100005,ファルマコン・Ｗ,10,5
51,110001,ラピスヘッジ・Ｈ,11,1
52,110002,ラピスヘッジ・Ｂ,11,2
53,110003,ラピスヘッジ・Ａ,11,3
54,110004,ラピスヘッジ・Ｌ,11,4
55,110005,ラピスヘッジ・Ｗ,11,5
56,120001,パ・フェクト・Ｈ,12,1
57,120002,パ・フェクト・Ｂ,12,2
58,120003,パ・フェクト・Ａ,12,3
59,120004,パ・フェクト・Ｌ,12,4
60,120005,パ・フェクト・Ｗ,12,5
61,130001,エタニティ・Ｈ,13,1
62,130002,エタニティ・Ｂ,13,2
63,130003,エタニティ・Ａ,13,3
64,130004,エタニティ・Ｌ,13,4
65,130005,エタニティ・Ｗ,13,5
66,140001,オキサイド・Ｈ,14,1
67,140002,オキサイド・Ｂ,14,2
68,140003,オキサイド・Ａ,14,3
69,140004,オキサイド・Ｌ,14,4
70,140005,オキサイド・Ｗ,14,5
