---,MechaPartColorId,Name,R,G,B,Roughness,Metallic,Texture,IsDefault
0,0,デフォルトカラー,0,0,0,0,0,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_00.Tex_Custom_AR_Main_ColorIcon_00',True
1,1,レッド,100,10,10,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_01.Tex_Custom_AR_Main_ColorIcon_01',True
2,2,バーミリオン,115,40,5,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_02.Tex_Custom_AR_Main_ColorIcon_02',False
3,3,オレンジ,115,65,5,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_03.Tex_Custom_AR_Main_ColorIcon_03',True
4,4,イエロー,85,70,5,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_04.Tex_Custom_AR_Main_ColorIcon_04',True
5,5,クリームイエロー,100,85,50,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_05.Tex_Custom_AR_Main_ColorIcon_05',False
6,6,リーフグリーン,90,125,20,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_06.Tex_Custom_AR_Main_ColorIcon_06',False
7,7,ライトグリーン,60,130,20,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_07.Tex_Custom_AR_Main_ColorIcon_07',False
8,8,グリーン,30,130,20,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_08.Tex_Custom_AR_Main_ColorIcon_08',True
9,9,ビリジアン,5,110,40,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_09.Tex_Custom_AR_Main_ColorIcon_09',False
10,10,ピーコックグリーン,10,110,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_10.Tex_Custom_AR_Main_ColorIcon_10',False
11,11,ブルーグリーン,10,130,130,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_11.Tex_Custom_AR_Main_ColorIcon_11',False
12,12,ターコイズブルー,10,110,150,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_12.Tex_Custom_AR_Main_ColorIcon_12',False
13,13,スカイブルー,10,110,180,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_13.Tex_Custom_AR_Main_ColorIcon_13',False
14,14,ブルー,10,80,170,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_14.Tex_Custom_AR_Main_ColorIcon_14',True
15,15,コバルトブルー,20,60,170,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_15.Tex_Custom_AR_Main_ColorIcon_15',False
16,16,マリンブルー,20,30,170,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_16.Tex_Custom_AR_Main_ColorIcon_16',False
17,17,ウルトラマリンディープ,20,0,130,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_17.Tex_Custom_AR_Main_ColorIcon_17',False
18,18,ディープパープル,40,0,130,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_18.Tex_Custom_AR_Main_ColorIcon_18',False
19,19,バイオレット,60,0,130,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_19.Tex_Custom_AR_Main_ColorIcon_19',True
