---,MechaPartDesignId,Name,MechaId,PartId,DesignId,IsDefault
1,10011,ソリディア・Ｈ,1,1,1,True
2,10012,ソリディア・Ｂ,1,2,1,True
3,10013,ソリディア・Ａ,1,3,1,True
4,10014,ソリディア・Ｌ,1,4,1,True
5,10015,ソリディア・Ｗ,1,5,1,True
6,10021,ソリディア・Ｈ\nカーディナルカラー,1,1,2,False
7,10022,ソリディア・Ｂ\nカーディナルカラー,1,2,2,False
8,10023,ソリディア・Ａ\nカーディナルカラー,1,3,2,False
9,10024,ソリディア・Ｌ\nカーディナルカラー,1,4,2,False
10,10025,ソリディア・Ｗ\nカーディナルカラー,1,5,2,False
11,10031,ソリディア・Ｈ\nスクラッパーカラー,1,1,3,False
12,10032,ソリディア・Ｂ\nスクラッパーカラー,1,2,3,False
13,10033,ソリディア・Ａ\nスクラッパーカラー,1,3,3,False
14,10034,ソリディア・Ｌ\nスクラッパーカラー,1,4,3,False
15,10035,ソリディア・Ｗ\nスクラッパーカラー,1,5,3,False
16,10041,ソリディア・Ｈ\nサイトヘッドカラー,1,1,4,False
17,10042,ソリディア・Ｂ\nサイトヘッドカラー,1,2,4,False
18,10043,ソリディア・Ａ\nサイトヘッドカラー,1,3,4,False
19,10044,ソリディア・Ｌ\nサイトヘッドカラー,1,4,4,False
20,10045,ソリディア・Ｗ\nサイトヘッドカラー,1,5,4,False
21,10051,ソリディア・Ｈ\nCU・レイターカラー,1,1,5,False
22,10052,ソリディア・Ｂ\nCU・レイターカラー,1,2,5,False
23,10053,ソリディア・Ａ\nCU・レイターカラー,1,3,5,False
24,10054,ソリディア・Ｌ\nCU・レイターカラー,1,4,5,False
25,10055,ソリディア・Ｗ\nCU・レイターカラー,1,5,5,False
26,10061,ソリディア・Ｈ\nゴールテン・Dカラー,1,1,6,False
27,10062,ソリディア・Ｂ\nゴールテン・Dカラー,1,2,6,False
28,10063,ソリディア・Ａ\nゴールテン・Dカラー,1,3,6,False
29,10064,ソリディア・Ｌ\nゴールテン・Dカラー,1,4,6,False
30,10065,ソリディア・Ｗ\nゴールテン・Dカラー,1,5,6,False
31,10071,ソリディア・Ｈ\nアンゼロイカラー,1,1,7,False
32,10072,ソリディア・Ｂ\nアンゼロイカラー,1,2,7,False
33,10073,ソリディア・Ａ\nアンゼロイカラー,1,3,7,False
34,10074,ソリディア・Ｌ\nアンゼロイカラー,1,4,7,False
35,10075,ソリディア・Ｗ\nアンゼロイカラー,1,5,7,False
36,10081,ソリディア・Ｈ\nディスドスカラー,1,1,8,False
37,10082,ソリディア・Ｂ\nディスドスカラー,1,2,8,False
38,10083,ソリディア・Ａ\nディスドスカラー,1,3,8,False
39,10084,ソリディア・Ｌ\nディスドスカラー,1,4,8,False
40,10085,ソリディア・Ｗ\nディスドスカラー,1,5,8,False
41,10091,ソリディア・Ｈ\nサブライガカラー,1,1,9,False
42,10092,ソリディア・Ｂ\nサブライガカラー,1,2,9,False
43,10093,ソリディア・Ａ\nサブライガカラー,1,3,9,False
44,10094,ソリディア・Ｌ\nサブライガカラー,1,4,9,False
45,10095,ソリディア・Ｗ\nサブライガカラー,1,5,9,False
46,10101,ソリディア・Ｈ\nファルマコンカラー,1,1,10,False
47,10102,ソリディア・Ｂ\nファルマコンカラー,1,2,10,False
48,10103,ソリディア・Ａ\nファルマコンカラー,1,3,10,False
49,10104,ソリディア・Ｌ\nファルマコンカラー,1,4,10,False
50,10105,ソリディア・Ｗ\nファルマコンカラー,1,5,10,False
51,10111,ソリディア・Ｈ\nラピスヘッジカラー,1,1,11,False
52,10112,ソリディア・Ｂ\nラピスヘッジカラー,1,2,11,False
53,10113,ソリディア・Ａ\nラピスヘッジカラー,1,3,11,False
54,10114,ソリディア・Ｌ\nラピスヘッジカラー,1,4,11,False
55,10115,ソリディア・Ｗ\nラピスヘッジカラー,1,5,11,False
56,10121,ソリディア・Ｈ\nパ・フェクトカラー,1,1,12,False
57,10122,ソリディア・Ｂ\nパ・フェクトカラー,1,2,12,False
58,10123,ソリディア・Ａ\nパ・フェクトカラー,1,3,12,False
59,10124,ソリディア・Ｌ\nパ・フェクトカラー,1,4,12,False
60,10125,ソリディア・Ｗ\nパ・フェクトカラー,1,5,12,False
61,10131,ソリディア・Ｈ\nエタニティカラー,1,1,13,False
62,10132,ソリディア・Ｂ\nエタニティカラー,1,2,13,False
63,10133,ソリディア・Ａ\nエタニティカラー,1,3,13,False
64,10134,ソリディア・Ｌ\nエタニティカラー,1,4,13,False
65,10135,ソリディア・Ｗ\nエタニティカラー,1,5,13,False
66,10141,ソリディア・Ｈ\nオキサイドカラー,1,1,14,False
67,10142,ソリディア・Ｂ\nオキサイドカラー,1,2,14,False
68,10143,ソリディア・Ａ\nオキサイドカラー,1,3,14,False
69,10144,ソリディア・Ｌ\nオキサイドカラー,1,4,14,False
70,10145,ソリディア・Ｗ\nオキサイドカラー,1,5,14,False
71,11011,ソリディア・Ｈ\n深森,1,1,101,False
72,11012,ソリディア・Ｂ\n深森,1,2,101,False
73,11013,ソリディア・Ａ\n深森,1,3,101,False
74,11014,ソリディア・Ｌ\n深森,1,4,101,False
75,11015,ソリディア・Ｗ\n深森,1,5,101,False
76,11021,ソリディア・Ｈ\n岩塊,1,1,102,False
77,11022,ソリディア・Ｂ\n岩塊,1,2,102,False
78,11023,ソリディア・Ａ\n岩塊,1,3,102,False
79,11024,ソリディア・Ｌ\n岩塊,1,4,102,False
80,11025,ソリディア・Ｗ\n岩塊,1,5,102,False
81,11031,ソリディア・Ｈ\n土漠,1,1,103,False
82,11032,ソリディア・Ｂ\n土漠,1,2,103,False
83,11033,ソリディア・Ａ\n土漠,1,3,103,False
84,11034,ソリディア・Ｌ\n土漠,1,4,103,False
85,11035,ソリディア・Ｗ\n土漠,1,5,103,False
86,11041,ソリディア・Ｈ\n青碧,1,1,104,False
87,11042,ソリディア・Ｂ\n青碧,1,2,104,False
88,11043,ソリディア・Ａ\n青碧,1,3,104,False
89,11044,ソリディア・Ｌ\n青碧,1,4,104,False
90,11045,ソリディア・Ｗ\n青碧,1,5,104,False
91,11051,ソリディア・Ｈ\n海響,1,1,105,False
92,11052,ソリディア・Ｂ\n海響,1,2,105,False
93,11053,ソリディア・Ａ\n海響,1,3,105,False
94,11054,ソリディア・Ｌ\n海響,1,4,105,False
95,11055,ソリディア・Ｗ\n海響,1,5,105,False
96,11061,ソリディア・Ｈ\n桜花,1,1,106,False
97,11062,ソリディア・Ｂ\n桜花,1,2,106,False
98,11063,ソリディア・Ａ\n桜花,1,3,106,False
99,11064,ソリディア・Ｌ\n桜花,1,4,106,False
100,11065,ソリディア・Ｗ\n桜花,1,5,106,False
101,20021,カーディナル・Ｈ,2,1,2,False
102,20022,カーディナル・Ｂ,2,2,2,False
103,20023,カーディナル・Ａ,2,3,2,False
104,20024,カーディナル・Ｌ,2,4,2,False
105,20025,カーディナル・Ｗ,2,5,2,False
106,20011,カーディナル・Ｈ\nソリディアカラー,2,1,1,False
