---,MechaSetId,MechaSetName,MechaId,DesignId,Texture
1,1001,ソリディアセット\nソリディアタイプ,1,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
2,1002,ソリディアセット\nカーディナルタイプ,1,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
3,1003,ソリディアセット\nスクラッパータイプ,1,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
4,1004,ソリディアセット\nサイトヘッドタイプ,1,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
5,1005,ソリディアセット\nシーユー・レイタータイプ,1,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
6,1006,ソリディアセット\nゴールテン・ダータイプ,1,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
7,1007,ソリディアセット\nアンゼロイタイプ,1,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
8,1008,ソリディアセット\nディスドスタイプ,1,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
9,1009,ソリディアセット\nサブライガタイプ,1,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
10,1010,ソリディアセット\nファルマコンタイプ,1,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
11,1011,ソリディアセット\nラピスヘッジタイプ,1,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
12,1012,ソリディアセット\nパ・フェクトタイプ,1,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
13,1013,ソリディアセット\nエタニティタイプ,1,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
14,1014,ソリディアセット\nオキサイドタイプ,1,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
