---,CoefficientId,ScoreTypeId,CoefficientItemId,AssaultCoefficientValue,AssaultFixedValue,VanguardCoefficientValue,VanguardFixedValue,SupportCoefficientValue,SupportFixedValue,BossModeAssaultCoefficientValue,BossModeAssaultFixedValue,BossModeVanguardCoefficientValue,BossModeVanguardFixedValue,BossModeSupportCoefficientValue,BossModeSupportFixedValue,Mode2vs2CoefficientValue,Mode2vs2FixedValue
1,1,1,1,0.28,0,0.3,0,0.28,0,0.6,0,0.65,0,0.6,0,1,0
2,2,1,2,0.08,0,0.08,0,0.08,0,0.2,0,0.2,0,0.2,0,0,0
3,3,1,3,0.11,0,0.1,0,0.1,0,0.32,0,0.3,0,0.3,0,0,0
4,4,1,4,0.11,0,0.1,0,0.1,0,0.11,0,0.1,0,0.1,0,0,0
5,5,1,5,0.11,0,0.1,0,0.1,0,0.11,0,0.1,0,0.1,0,0,0
6,6,1,6,0.14,0,0.14,0,0.14,0,0.14,0,0.14,0,0.14,0,0,0
7,7,1,7,1,30,1,30,1,30,1,30,1,30,1,30,0,0
8,8,2,8,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0,0
9,9,2,9,1,30,1,30,1,30,1,30,1,30,1,30,1,200
10,10,2,10,1,20,1,20,1,20,1,20,1,20,1,20,0,0
11,11,2,11,1,15,1,15,1,15,1,15,1,15,1,15,1,0
12,12,2,12,1,15,1,15,1,15,1,15,1,15,1,15,1,0
13,13,2,13,1,5,1,5,1,5,1,5,1,5,1,5,0,0
14,14,2,14,1,5,1,5,1,5,1,5,1,5,1,5,1,0
15,15,2,15,1,20,1,20,1,20,1,20,1,20,1,20,1,200
16,16,2,16,1,5,1,5,1,5,1,5,1,5,1,5,1,150
17,17,2,17,1,20,1,20,1,20,1,20,1,20,1,20,1,300
18,18,2,18,1,10,1,10,1,10,1,10,1,10,1,10,1,50
19,19,2,19,1,20,1,20,1,20,1,20,1,20,1,20,1,50
20,20,2,20,1,20,1,20,1,20,1,20,1,20,1,20,1,100
21,21,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,2,23,1,10,1,10,1,10,1,10,1,10,1,10,1,50
24,24,2,24,1,20,1,20,1,20,1,20,1,20,1,20,1,100
25,25,2,25,1,30,1,30,1,30,1,30,1,30,1,30,1,120
26,26,3,26,2,0,3,0,2,0,2,0,3,0,2,0,0,0
27,27,3,27,12,0,13,0,12,0,12,0,13,0,12,0,0,0
28,28,3,28,12,0,14,0,12,0,12,0,14,0,12,0,0,0
29,29,3,29,11,0,13,0,11,0,11,0,13,0,11,0,0,0
30,30,3,30,11,0,13,0,11,0,11,0,13,0,11,0,0,0
31,31,3,31,10,0,13,0,10,0,10,0,13,0,10,0,0,0
32,32,3,32,10,0,13,0,10,0,10,0,13,0,10,0,0,0
33,33,3,33,9,0,12,0,9,0,9,0,12,0,9,0,0,0
34,34,4,34,1,30,1,30,1,30,1,30,1,30,1,30,0,0
35,35,3,35,1,15,1,15,1,15,1,15,1,15,1,15,0,0
36,36,4,36,1,1500,1,1500,1,1500,1,1500,1,1500,1,1500,1,4000
37,37,3,37,1,5,1,5,1,5,1,5,1,5,1,5,0,0
38,38,3,38,1,10,1,10,1,10,1,10,1,10,1,10,0,0
39,39,3,39,1,20,1,20,1,20,1,20,1,20,1,20,0,0
40,40,3,40,1,5,1,5,1,5,1,5,1,5,1,5,0,0
41,41,1,41,1,50,1,50,1,50,1,50,1,50,1,50,1,0
42,42,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,1,44,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.2,0
45,45,1,45,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.2,0
46,46,1,49,0.28,0,0.3,0,0.28,0,0.8,0,0.8,0,0.8,0,0,0
47,47,1,50,0.28,0,0.3,0,0.28,0,10,0,20,0,30,0,0,0
48,48,1,51,0.28,0,0.3,0,0.28,0,10,0,20,0,30,0,0,0
49,49,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,50,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
51,51,2,54,0,0,0,0,0,0,0,0,0,0,0,0,20,0
52,52,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,2,56,0,0,0,0,0,0,0,0,0,0,0,0,-1,1000
54,54,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
55,55,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
56,56,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
57,57,2,60,0,0,0,0,0,0,0,0,0,0,0,0,1,200
58,58,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
